context: Where are you!? response:	Where are you!?
context: Where are you!?\Where are you!? response:	Where did you run off to, Vegeta!?
context: Where are you!?\Where are you!?\Where did you run off to, Vegeta!? response:	He couldn't have gotten away that fast.
context: Where are you!?\Where are you!?\Where did you run off to, Vegeta!?\He couldn't have gotten away that fast. response:	He must be hiding somewhere.
context: Where are you!?\Where are you!?\Where did you run off to, Vegeta!?\He couldn't have gotten away that fast.\He must be hiding somewhere. response:	Have you not found him yet, Zarbon- san!?
context: Where are you!?\Where are you!?\Where did you run off to, Vegeta!?\He couldn't have gotten away that fast.\He must be hiding somewhere.\Have you not found him yet, Zarbon- san!? response:	If you disgracefully allow him to escape you like this,
context: Where are you!?\Where are you!?\Where did you run off to, Vegeta!?\He couldn't have gotten away that fast.\He must be hiding somewhere.\Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this, response:	I will have you take responsibility with your life.
context: Where are you!?\Where are you!?\Where did you run off to, Vegeta!?\He couldn't have gotten away that fast.\He must be hiding somewhere.\Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life. response:	Fool! Go ahead and search outside as much as you like.
context: Where are you!?\Where did you run off to, Vegeta!?\He couldn't have gotten away that fast.\He must be hiding somewhere.\Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like. response:	There are indeed five of them here.
context: Where did you run off to, Vegeta!?\He couldn't have gotten away that fast.\He must be hiding somewhere.\Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like.\There are indeed five of them here. response:	Not only have they healed my injuries,
context: He couldn't have gotten away that fast.\He must be hiding somewhere.\Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like.\There are indeed five of them here.\Not only have they healed my injuries, response:	they're going to have every last one of their Dragon Balls taken from them.
context: He must be hiding somewhere.\Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like.\There are indeed five of them here.\Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them. response:	But I can't get away carrying all five of them.
context: Have you not found him yet, Zarbon- san!?\If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like.\There are indeed five of them here.\Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them. response:	What's more, it doesn't look like I have the time to calmly think this over.
context: If you disgracefully allow him to escape you like this,\I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like.\There are indeed five of them here.\Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over. response:	All right...
context: I will have you take responsibility with your life.\Fool! Go ahead and search outside as much as you like.\There are indeed five of them here.\Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over.\All right... response:	Please, let this work!
context: Fool! Go ahead and search outside as much as you like.\There are indeed five of them here.\Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over.\All right...\Please, let this work! response:	Hey! You fell for it! I'm still inside the ship!
context: There are indeed five of them here.\Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over.\All right...\Please, let this work!\Hey! You fell for it! I'm still inside the ship! response:	What was that!?
context: Not only have they healed my injuries,\they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over.\All right...\Please, let this work!\Hey! You fell for it! I'm still inside the ship!\What was that!? response:	D- damn it all!
context: they're going to have every last one of their Dragon Balls taken from them.\But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over.\All right...\Please, let this work!\Hey! You fell for it! I'm still inside the ship!\What was that!?\D- damn it all! response:	Now!
context: But I can't get away carrying all five of them.\What's more, it doesn't look like I have the time to calmly think this over.\All right...\Please, let this work!\Hey! You fell for it! I'm still inside the ship!\What was that!?\D- damn it all!\Now! response:	Where is Vegeta!?
context: What's more, it doesn't look like I have the time to calmly think this over.\All right...\Please, let this work!\Hey! You fell for it! I'm still inside the ship!\What was that!?\D- damn it all!\Now!\Where is Vegeta!? response:	D- do not tell me that Vegeta is after the Dragon Balls!
context: All right...\Please, let this work!\Hey! You fell for it! I'm still inside the ship!\What was that!?\D- damn it all!\Now!\Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls! response:	All right, and now for me!
context: Please, let this work!\Hey! You fell for it! I'm still inside the ship!\What was that!?\D- damn it all!\Now!\Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me! response:	T- the Dragon Balls!
context: Hey! You fell for it! I'm still inside the ship!\What was that!?\D- damn it all!\Now!\Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me!\T- the Dragon Balls! response:	That bastard!!
context: What was that!?\D- damn it all!\Now!\Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me!\T- the Dragon Balls!\That bastard!! response:	W- where is he this time!?
context: D- damn it all!\Now!\Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me!\T- the Dragon Balls!\That bastard!!\W- where is he this time!? response:	Freeza- sama, is he still inside the spaceship?
context: Now!\Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me!\T- the Dragon Balls!\That bastard!!\W- where is he this time!?\Freeza- sama, is he still inside the spaceship? response:	Look for him!
context: Where is Vegeta!?\D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me!\T- the Dragon Balls!\That bastard!!\W- where is he this time!?\Freeza- sama, is he still inside the spaceship?\Look for him! response:	Y- yes, sir!
context: D- do not tell me that Vegeta is after the Dragon Balls!\All right, and now for me!\T- the Dragon Balls!\That bastard!!\W- where is he this time!?\Freeza- sama, is he still inside the spaceship?\Look for him!\Y- yes, sir! response:	lf I were to unwisely escape through the air,
context: All right, and now for me!\T- the Dragon Balls!\That bastard!!\W- where is he this time!?\Freeza- sama, is he still inside the spaceship?\Look for him!\Y- yes, sir!\lf I were to unwisely escape through the air, response:	Freeza would overtake me in an instant.
context: T- the Dragon Balls!\That bastard!!\W- where is he this time!?\Freeza- sama, is he still inside the spaceship?\Look for him!\Y- yes, sir!\lf I were to unwisely escape through the air,\Freeza would overtake me in an instant. response:	What disgraceful behavior!
context: That bastard!!\W- where is he this time!?\Freeza- sama, is he still inside the spaceship?\Look for him!\Y- yes, sir!\lf I were to unwisely escape through the air,\Freeza would overtake me in an instant.\What disgraceful behavior! response:	Not only did you allow Vegeta to escape,
context: W- where is he this time!?\Freeza- sama, is he still inside the spaceship?\Look for him!\Y- yes, sir!\lf I were to unwisely escape through the air,\Freeza would overtake me in an instant.\What disgraceful behavior!\Not only did you allow Vegeta to escape, response:	but with the Dragon Balls, as well!
context: Freeza- sama, is he still inside the spaceship?\Look for him!\Y- yes, sir!\lf I were to unwisely escape through the air,\Freeza would overtake me in an instant.\What disgraceful behavior!\Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well! response:	There is no way that he could have run away
context: Look for him!\Y- yes, sir!\lf I were to unwisely escape through the air,\Freeza would overtake me in an instant.\What disgraceful behavior!\Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well!\There is no way that he could have run away response:	with all five Dragon Balls in that short moment!
context: Y- yes, sir!\lf I were to unwisely escape through the air,\Freeza would overtake me in an instant.\What disgraceful behavior!\Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well!\There is no way that he could have run away\with all five Dragon Balls in that short moment! response:	I will search the inside of the spaceship,
context: lf I were to unwisely escape through the air,\Freeza would overtake me in an instant.\What disgraceful behavior!\Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well!\There is no way that he could have run away\with all five Dragon Balls in that short moment!\I will search the inside of the spaceship, response:	so you are to thoroughly search outside!
context: Freeza would overtake me in an instant.\What disgraceful behavior!\Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well!\There is no way that he could have run away\with all five Dragon Balls in that short moment!\I will search the inside of the spaceship,\so you are to thoroughly search outside! response:	Yes, sir.
context: What disgraceful behavior!\Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well!\There is no way that he could have run away\with all five Dragon Balls in that short moment!\I will search the inside of the spaceship,\so you are to thoroughly search outside!\Yes, sir. response:	You are prepared to answer for this, yes?
context: Not only did you allow Vegeta to escape,\but with the Dragon Balls, as well!\There is no way that he could have run away\with all five Dragon Balls in that short moment!\I will search the inside of the spaceship,\so you are to thoroughly search outside!\Yes, sir.\You are prepared to answer for this, yes? response:	If you are unable to bring Vegeta back here in one hour...
context: but with the Dragon Balls, as well!\There is no way that he could have run away\with all five Dragon Balls in that short moment!\I will search the inside of the spaceship,\so you are to thoroughly search outside!\Yes, sir.\You are prepared to answer for this, yes?\If you are unable to bring Vegeta back here in one hour... response:	Y- yes, sir!
