context: My plan is already finished. response:	What?!
context: My plan is already finished.\What?! response:	Okuyasu's big bro was a pretty great danger.
context: My plan is already finished.\What?!\Okuyasu's big bro was a pretty great danger. response:	Koichi, let's get the heck out of this house.
context: My plan is already finished.\What?!\Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house. response:	Huh?
context: My plan is already finished.\What?!\Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house.\Huh? response:	Wh-What about the bow and arrow that sh-shot me?
context: My plan is already finished.\What?!\Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house.\Huh?\Wh-What about the bow and arrow that sh-shot me? response:	The bow and arrow?
context: My plan is already finished.\What?!\Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house.\Huh?\Wh-What about the bow and arrow that sh-shot me?\The bow and arrow? response:	Looks like Okuyasu's big bro hid them somewhere.
context: My plan is already finished.\What?!\Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house.\Huh?\Wh-What about the bow and arrow that sh-shot me?\The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere. response:	Are we going to look for them?
context: What?!\Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house.\Huh?\Wh-What about the bow and arrow that sh-shot me?\The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them? response:	Y-Yeah...
context: Okuyasu's big bro was a pretty great danger.\Koichi, let's get the heck out of this house.\Huh?\Wh-What about the bow and arrow that sh-shot me?\The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them?\Y-Yeah... response:	You know, I could swear they mentioned having a dad around.
context: Koichi, let's get the heck out of this house.\Huh?\Wh-What about the bow and arrow that sh-shot me?\The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them?\Y-Yeah...\You know, I could swear they mentioned having a dad around. response:	I took some pretty major damage, so let's just leave for today.
context: Huh?\Wh-What about the bow and arrow that sh-shot me?\The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them?\Y-Yeah...\You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today. response:	W-We can't!
context: Wh-What about the bow and arrow that sh-shot me?\The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them?\Y-Yeah...\You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today.\W-We can't! response:	I-I'm alive because you healed my wounds for me, but...
context: The bow and arrow?\Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them?\Y-Yeah...\You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today.\W-We can't!\I-I'm alive because you healed my wounds for me, but... response:	If someone else is shot with that bow and arrow again,
context: Looks like Okuyasu's big bro hid them somewhere.\Are we going to look for them?\Y-Yeah...\You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today.\W-We can't!\I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again, response:	they might actually die!
context: Are we going to look for them?\Y-Yeah...\You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today.\W-We can't!\I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again,\they might actually die! response:	Here in this town!
context: Y-Yeah...\You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today.\W-We can't!\I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again,\they might actually die!\Here in this town! response:	S-Stay here. I-I'll go look for them myself!
context: You know, I could swear they mentioned having a dad around.\I took some pretty major damage, so let's just leave for today.\W-We can't!\I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again,\they might actually die!\Here in this town!\S-Stay here. I-I'll go look for them myself! response:	N-Not to mention, I don't think their dad is here right now.
context: I took some pretty major damage, so let's just leave for today.\W-We can't!\I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again,\they might actually die!\Here in this town!\S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now. response:	I-If he was, I'm s-sure he would have shown himself by now.
context: W-We can't!\I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again,\they might actually die!\Here in this town!\S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now. response:	He's a lot braver than he looks.
context: I-I'm alive because you healed my wounds for me, but...\If someone else is shot with that bow and arrow again,\they might actually die!\Here in this town!\S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks. response:	He can be tough when it counts... Or maybe just reckless.
context: If someone else is shot with that bow and arrow again,\they might actually die!\Here in this town!\S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless. response:	But right now, we should really hurry up and get out of this house.
context: they might actually die!\Here in this town!\S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house. response:	Hey...
context: Here in this town!\S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house.\Hey... response:	Wh-What? D-Don't try to stop me.
context: S-Stay here. I-I'll go look for them myself!\N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house.\Hey...\Wh-What? D-Don't try to stop me. response:	I won't.
context: N-Not to mention, I don't think their dad is here right now.\I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house.\Hey...\Wh-What? D-Don't try to stop me.\I won't. response:	Let's hurry up, snap that bow and arrow in half,
context: I-If he was, I'm s-sure he would have shown himself by now.\He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house.\Hey...\Wh-What? D-Don't try to stop me.\I won't.\Let's hurry up, snap that bow and arrow in half, response:	and get the hell outta here together,
context: He's a lot braver than he looks.\He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house.\Hey...\Wh-What? D-Don't try to stop me.\I won't.\Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together, response:	Koichi.
context: He can be tough when it counts... Or maybe just reckless.\But right now, we should really hurry up and get out of this house.\Hey...\Wh-What? D-Don't try to stop me.\I won't.\Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together,\Koichi. response:	Jojo's Bizarre Adventure
context: But right now, we should really hurry up and get out of this house.\Hey...\Wh-What? D-Don't try to stop me.\I won't.\Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together,\Koichi.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Hey...\Wh-What? D-Don't try to stop me.\I won't.\Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together,\Koichi.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 5 The Nijimura Brothers, Part 3
context: Wh-What? D-Don't try to stop me.\I won't.\Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together,\Koichi.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3 response:	They have an attic. Maybe the bow and arrow are up here.
context: I won't.\Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together,\Koichi.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here. response:	Th-There they are!
context: Let's hurry up, snap that bow and arrow in half,\and get the hell outta here together,\Koichi.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here.\Th-There they are! response:	The bow and arrow!
context: and get the hell outta here together,\Koichi.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here.\Th-There they are!\The bow and arrow! response:	They're hanging on the far wall!
context: Koichi.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here.\Th-There they are!\The bow and arrow!\They're hanging on the far wall! response:	Hey, I think this was a bad idea. There's something in there.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here.\Th-There they are!\The bow and arrow!\They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there. response:	Is something chained up in there?
context: Diamond is Unbreakable\Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here.\Th-There they are!\The bow and arrow!\They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there.\Is something chained up in there? response:	I-Is it a dog?
context: Episode 5 The Nijimura Brothers, Part 3\They have an attic. Maybe the bow and arrow are up here.\Th-There they are!\The bow and arrow!\They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there.\Is something chained up in there?\I-Is it a dog? response:	Those sounds can't be from a human...
context: They have an attic. Maybe the bow and arrow are up here.\Th-There they are!\The bow and arrow!\They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there.\Is something chained up in there?\I-Is it a dog?\Those sounds can't be from a human... response:	I-It sounds like an animal.
context: Th-There they are!\The bow and arrow!\They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there.\Is something chained up in there?\I-Is it a dog?\Those sounds can't be from a human...\I-It sounds like an animal. response:	No, I'm scared! What should we do?!
context: The bow and arrow!\They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there.\Is something chained up in there?\I-Is it a dog?\Those sounds can't be from a human...\I-It sounds like an animal.\No, I'm scared! What should we do?! response:	What should we do?
context: They're hanging on the far wall!\Hey, I think this was a bad idea. There's something in there.\Is something chained up in there?\I-Is it a dog?\Those sounds can't be from a human...\I-It sounds like an animal.\No, I'm scared! What should we do?!\What should we do? response:	It was you who insisted on going!
context: Hey, I think this was a bad idea. There's something in there.\Is something chained up in there?\I-Is it a dog?\Those sounds can't be from a human...\I-It sounds like an animal.\No, I'm scared! What should we do?!\What should we do?\It was you who insisted on going! response:	Yeah, but...
context: Is something chained up in there?\I-Is it a dog?\Those sounds can't be from a human...\I-It sounds like an animal.\No, I'm scared! What should we do?!\What should we do?\It was you who insisted on going!\Yeah, but... response:	We're just gonna have to do this.
context: I-Is it a dog?\Those sounds can't be from a human...\I-It sounds like an animal.\No, I'm scared! What should we do?!\What should we do?\It was you who insisted on going!\Yeah, but...\We're just gonna have to do this. response:	Listen up, Koichi.
context: Those sounds can't be from a human...\I-It sounds like an animal.\No, I'm scared! What should we do?!\What should we do?\It was you who insisted on going!\Yeah, but...\We're just gonna have to do this.\Listen up, Koichi. response:	You're gonna kick in the door as hard as you can on the count of three.
context: I-It sounds like an animal.\No, I'm scared! What should we do?!\What should we do?\It was you who insisted on going!\Yeah, but...\We're just gonna have to do this.\Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three. response:	We're gonna scare it.
context: No, I'm scared! What should we do?!\What should we do?\It was you who insisted on going!\Yeah, but...\We're just gonna have to do this.\Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it. response:	Then, I'm gonna run over and snap the bow and arrow in half.
context: What should we do?\It was you who insisted on going!\Yeah, but...\We're just gonna have to do this.\Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half. response:	Got it?
context: It was you who insisted on going!\Yeah, but...\We're just gonna have to do this.\Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half.\Got it? response:	Yeah.
context: Yeah, but...\We're just gonna have to do this.\Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half.\Got it?\Yeah. response:	Here we go.
context: We're just gonna have to do this.\Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half.\Got it?\Yeah.\Here we go. response:	One...
context: Listen up, Koichi.\You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half.\Got it?\Yeah.\Here we go.\One... response:	Two...
context: You're gonna kick in the door as hard as you can on the count of three.\We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half.\Got it?\Yeah.\Here we go.\One...\Two... response:	Three!
context: We're gonna scare it.\Then, I'm gonna run over and snap the bow and arrow in half.\Got it?\Yeah.\Here we go.\One...\Two...\Three! response:	Grab
context: Then, I'm gonna run over and snap the bow and arrow in half.\Got it?\Yeah.\Here we go.\One...\Two...\Three!\Grab response:	What the hell is that?!
context: Got it?\Yeah.\Here we go.\One...\Two...\Three!\Grab\What the hell is that?! response:	Koichi!
context: Yeah.\Here we go.\One...\Two...\Three!\Grab\What the hell is that?!\Koichi! response:	Help!
context: Here we go.\One...\Two...\Three!\Grab\What the hell is that?!\Koichi!\Help! response:	That hand doesn't belong to a Stand. It's real!
context: One...\Two...\Three!\Grab\What the hell is that?!\Koichi!\Help!\That hand doesn't belong to a Stand. It's real! response:	That's a real body!
