context: Wind Scar! response:	I used the Tetsusaiga to break through Naraku's barrier
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier response:	and I almost had him!
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier\and I almost had him! response:	But he abandoned his castle
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier\and I almost had him!\But he abandoned his castle response:	and he disappeared leaving no trace at all... not even his scent.
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier\and I almost had him!\But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent. response:	Naraku had completely disappeared!
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier\and I almost had him!\But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared! response:	The demon Naraku had left behind in his castle
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier\and I almost had him!\But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared!\The demon Naraku had left behind in his castle response:	told us that Naraku had gone to a place where no one could touch him.
context: Wind Scar!\I used the Tetsusaiga to break through Naraku's barrier\and I almost had him!\But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared!\The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him. response:	Is there really such a place?
context: I used the Tetsusaiga to break through Naraku's barrier\and I almost had him!\But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared!\The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him.\Is there really such a place? response:	He was probably so confident that he wouldn't be found
context: and I almost had him!\But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared!\The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him.\Is there really such a place?\He was probably so confident that he wouldn't be found response:	that he allowed the demon to say such a thing.
context: But he abandoned his castle\and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared!\The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him.\Is there really such a place?\He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing. response:	I'll devour you, Sacred Jewel shards and all!
context: and he disappeared leaving no trace at all... not even his scent.\Naraku had completely disappeared!\The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him.\Is there really such a place?\He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all! response:	You're just huge, that's all!
context: Naraku had completely disappeared!\The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him.\Is there really such a place?\He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all! response:	Watch!
context: The demon Naraku had left behind in his castle\told us that Naraku had gone to a place where no one could touch him.\Is there really such a place?\He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all!\Watch! response:	Take this!
context: told us that Naraku had gone to a place where no one could touch him.\Is there really such a place?\He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all!\Watch!\Take this! response:	Why you...!
context: Is there really such a place?\He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all!\Watch!\Take this!\Why you...! response:	Koga!
context: He was probably so confident that he wouldn't be found\that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all!\Watch!\Take this!\Why you...!\Koga! response:	Ayame!
context: that he allowed the demon to say such a thing.\I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all!\Watch!\Take this!\Why you...!\Koga!\Ayame! response:	Koga!
context: I'll devour you, Sacred Jewel shards and all!\You're just huge, that's all!\Watch!\Take this!\Why you...!\Koga!\Ayame!\Koga! response:	Ayame!
context: You're just huge, that's all!\Watch!\Take this!\Why you...!\Koga!\Ayame!\Koga!\Ayame! response:	As if I'd die so easily!
context: Watch!\Take this!\Why you...!\Koga!\Ayame!\Koga!\Ayame!\As if I'd die so easily! response:	But we can't stay idle!
context: Take this!\Why you...!\Koga!\Ayame!\Koga!\Ayame!\As if I'd die so easily!\But we can't stay idle! response:	This time, I'll find Naraku and destroy him forgood!
context: Why you...!\Koga!\Ayame!\Koga!\Ayame!\As if I'd die so easily!\But we can't stay idle!\This time, I'll find Naraku and destroy him forgood! response:	Where are you?! Where, Naraku?!
context: Koga!\Ayame!\Koga!\Ayame!\As if I'd die so easily!\But we can't stay idle!\This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?! response:	What's this?
context: Ayame!\Koga!\Ayame!\As if I'd die so easily!\But we can't stay idle!\This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?!\What's this? response:	Uh-huh, I sensed it too.
context: Koga!\Ayame!\As if I'd die so easily!\But we can't stay idle!\This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?!\What's this?\Uh-huh, I sensed it too. response:	The demonic aura's been getting stronger and stronger.
context: Ayame!\As if I'd die so easily!\But we can't stay idle!\This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?!\What's this?\Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger. response:	Ademon?!
context: As if I'd die so easily!\But we can't stay idle!\This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?!\What's this?\Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger.\Ademon?! response:	Hey! Wait, Inuyasha!
context: But we can't stay idle!\This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?!\What's this?\Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger.\Ademon?!\Hey! Wait, Inuyasha! response:	Appear, apparition!
context: This time, I'll find Naraku and destroy him forgood!\Where are you?! Where, Naraku?!\What's this?\Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger.\Ademon?!\Hey! Wait, Inuyasha!\Appear, apparition! response:	So there you are!
