context: Back then, I wasn't really able to love someone properly. response:	Yet, I couldn't help but want to be loved.
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved. response:	When I was darkness at that time
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved.\When I was darkness at that time response:	With trembling lips
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: Back then, I wasn't really able to love someone properly.\Yet, I couldn't help but want to be loved.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: Yet, I couldn't help but want to be loved.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	What's that supposed to mean?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What's that supposed to mean? response:	You went to Nana's place because you were worried, right?
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What's that supposed to mean?\You went to Nana's place because you were worried, right? response:	Then what good will lecturing her do?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What's that supposed to mean?\You went to Nana's place because you were worried, right?\Then what good will lecturing her do? response:	But it just came out that way.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\What's that supposed to mean?\You went to Nana's place because you were worried, right?\Then what good will lecturing her do?\But it just came out that way. response:	How can you say things so bluntly
context: I wanna need your love\I'm a broken rose\I wanna need your love\What's that supposed to mean?\You went to Nana's place because you were worried, right?\Then what good will lecturing her do?\But it just came out that way.\How can you say things so bluntly response:	to someone who's heart's been shattered?
context: I'm a broken rose\I wanna need your love\What's that supposed to mean?\You went to Nana's place because you were worried, right?\Then what good will lecturing her do?\But it just came out that way.\How can you say things so bluntly\to someone who's heart's been shattered? response:	But I did it for Nana's sake.
context: I wanna need your love\What's that supposed to mean?\You went to Nana's place because you were worried, right?\Then what good will lecturing her do?\But it just came out that way.\How can you say things so bluntly\to someone who's heart's been shattered?\But I did it for Nana's sake. response:	If so, you could've chosen a better time.
context: What's that supposed to mean?\You went to Nana's place because you were worried, right?\Then what good will lecturing her do?\But it just came out that way.\How can you say things so bluntly\to someone who's heart's been shattered?\But I did it for Nana's sake.\If so, you could've chosen a better time. response:	But there's meaning in talking to her about it now because of what happened.
context: You went to Nana's place because you were worried, right?\Then what good will lecturing her do?\But it just came out that way.\How can you say things so bluntly\to someone who's heart's been shattered?\But I did it for Nana's sake.\If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened. response:	What? Hey Nobo, where's Koichi Sato?
context: Then what good will lecturing her do?\But it just came out that way.\How can you say things so bluntly\to someone who's heart's been shattered?\But I did it for Nana's sake.\If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato? response:	He caught a cold, so he's off today.
context: But it just came out that way.\How can you say things so bluntly\to someone who's heart's been shattered?\But I did it for Nana's sake.\If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today. response:	Really? I guess, with the change in temperature lately.
context: How can you say things so bluntly\to someone who's heart's been shattered?\But I did it for Nana's sake.\If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately. response:	Could we have two beers?
