context: We're going to lose anyway. response:	Otani.
context: We're going to lose anyway.\Otani. response:	You idiot!
context: We're going to lose anyway.\Otani.\You idiot! response:	You slacker!
context: We're going to lose anyway.\Otani.\You idiot!\You slacker! response:	DO YOUR BEST OTANI
context: We're going to lose anyway.\Otani.\You idiot!\You slacker!\DO YOUR BEST OTANI response:	Do your best!
context: We're going to lose anyway.\Otani.\You idiot!\You slacker!\DO YOUR BEST OTANI\Do your best! response:	I guess I'm just... no good without you, Koizumi.
context: We're going to lose anyway.\Otani.\You idiot!\You slacker!\DO YOUR BEST OTANI\Do your best!\I guess I'm just... no good without you, Koizumi. response:	The Best Birthday in History
context: We're going to lose anyway.\Otani.\You idiot!\You slacker!\DO YOUR BEST OTANI\Do your best!\I guess I'm just... no good without you, Koizumi.\The Best Birthday in History response:	I'm just no good without you, Koizumi.
context: Otani.\You idiot!\You slacker!\DO YOUR BEST OTANI\Do your best!\I guess I'm just... no good without you, Koizumi.\The Best Birthday in History\I'm just no good without you, Koizumi. response:	Otani...
context: You idiot!\You slacker!\DO YOUR BEST OTANI\Do your best!\I guess I'm just... no good without you, Koizumi.\The Best Birthday in History\I'm just no good without you, Koizumi.\Otani... response:	And so, summer vacation starts tomorrow.
context: You slacker!\DO YOUR BEST OTANI\Do your best!\I guess I'm just... no good without you, Koizumi.\The Best Birthday in History\I'm just no good without you, Koizumi.\Otani...\And so, summer vacation starts tomorrow. response:	Stop that!
context: DO YOUR BEST OTANI\Do your best!\I guess I'm just... no good without you, Koizumi.\The Best Birthday in History\I'm just no good without you, Koizumi.\Otani...\And so, summer vacation starts tomorrow.\Stop that! response:	Me too...
context: Do your best!\I guess I'm just... no good without you, Koizumi.\The Best Birthday in History\I'm just no good without you, Koizumi.\Otani...\And so, summer vacation starts tomorrow.\Stop that!\Me too... response:	Koizumi-san!
context: I guess I'm just... no good without you, Koizumi.\The Best Birthday in History\I'm just no good without you, Koizumi.\Otani...\And so, summer vacation starts tomorrow.\Stop that!\Me too...\Koizumi-san! response:	What are you going to do over summer vacation?
context: The Best Birthday in History\I'm just no good without you, Koizumi.\Otani...\And so, summer vacation starts tomorrow.\Stop that!\Me too...\Koizumi-san!\What are you going to do over summer vacation? response:	What a nice dream.
context: I'm just no good without you, Koizumi.\Otani...\And so, summer vacation starts tomorrow.\Stop that!\Me too...\Koizumi-san!\What are you going to do over summer vacation?\What a nice dream. response:	Summer. The last summer of my high school life.
context: Otani...\And so, summer vacation starts tomorrow.\Stop that!\Me too...\Koizumi-san!\What are you going to do over summer vacation?\What a nice dream.\Summer. The last summer of my high school life. response:	I still don't know how Otani feels, but...
context: And so, summer vacation starts tomorrow.\Stop that!\Me too...\Koizumi-san!\What are you going to do over summer vacation?\What a nice dream.\Summer. The last summer of my high school life.\I still don't know how Otani feels, but... response:	I'm gonna have some fun!
context: Stop that!\Me too...\Koizumi-san!\What are you going to do over summer vacation?\What a nice dream.\Summer. The last summer of my high school life.\I still don't know how Otani feels, but...\I'm gonna have some fun! response:	SUMMER SCHOOL SIGN UP
context: Me too...\Koizumi-san!\What are you going to do over summer vacation?\What a nice dream.\Summer. The last summer of my high school life.\I still don't know how Otani feels, but...\I'm gonna have some fun!\SUMMER SCHOOL SIGN UP response:	You've forgotten you'll be taking entrance exams soon, haven't you?
context: Koizumi-san!\What are you going to do over summer vacation?\What a nice dream.\Summer. The last summer of my high school life.\I still don't know how Otani feels, but...\I'm gonna have some fun!\SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you? response:	Yes. I completely forgot.
context: What are you going to do over summer vacation?\What a nice dream.\Summer. The last summer of my high school life.\I still don't know how Otani feels, but...\I'm gonna have some fun!\SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot. response:	For the little idiots I just named,
context: What a nice dream.\Summer. The last summer of my high school life.\I still don't know how Otani feels, but...\I'm gonna have some fun!\SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot.\For the little idiots I just named, response:	Little Idiot
context: Summer. The last summer of my high school life.\I still don't know how Otani feels, but...\I'm gonna have some fun!\SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot.\For the little idiots I just named,\Little Idiot response:	You have to work hard to make up for your past laziness.
context: I still don't know how Otani feels, but...\I'm gonna have some fun!\SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot.\For the little idiots I just named,\Little Idiot\You have to work hard to make up for your past laziness. response:	Got it?
context: I'm gonna have some fun!\SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot.\For the little idiots I just named,\Little Idiot\You have to work hard to make up for your past laziness.\Got it? response:	You exam students don't get a summer vacation.
context: SUMMER SCHOOL SIGN UP\You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot.\For the little idiots I just named,\Little Idiot\You have to work hard to make up for your past laziness.\Got it?\You exam students don't get a summer vacation. response:	No...
context: You've forgotten you'll be taking entrance exams soon, haven't you?\Yes. I completely forgot.\For the little idiots I just named,\Little Idiot\You have to work hard to make up for your past laziness.\Got it?\You exam students don't get a summer vacation.\No... response:	My precious summer...
context: Yes. I completely forgot.\For the little idiots I just named,\Little Idiot\You have to work hard to make up for your past laziness.\Got it?\You exam students don't get a summer vacation.\No...\My precious summer... response:	So in the end,
context: For the little idiots I just named,\Little Idiot\You have to work hard to make up for your past laziness.\Got it?\You exam students don't get a summer vacation.\No...\My precious summer...\So in the end, response:	That's because they have study dates at the library every day.
context: Little Idiot\You have to work hard to make up for your past laziness.\Got it?\You exam students don't get a summer vacation.\No...\My precious summer...\So in the end,\That's because they have study dates at the library every day. response:	They're not dates. We just study.
context: You have to work hard to make up for your past laziness.\Got it?\You exam students don't get a summer vacation.\No...\My precious summer...\So in the end,\That's because they have study dates at the library every day.\They're not dates. We just study. response:	But we'll be attending summer classes, too.
context: Got it?\You exam students don't get a summer vacation.\No...\My precious summer...\So in the end,\That's because they have study dates at the library every day.\They're not dates. We just study.\But we'll be attending summer classes, too. response:	And here I thought I'd have the chance to have loads of fun...
context: You exam students don't get a summer vacation.\No...\My precious summer...\So in the end,\That's because they have study dates at the library every day.\They're not dates. We just study.\But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun... response:	What do you mean, loads of fun?
context: No...\My precious summer...\So in the end,\That's because they have study dates at the library every day.\They're not dates. We just study.\But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun? response:	An idiot like you who misses all the important stuff,
context: My precious summer...\So in the end,\That's because they have study dates at the library every day.\They're not dates. We just study.\But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun?\An idiot like you who misses all the important stuff, response:	What's got you so angry these days?!
context: So in the end,\That's because they have study dates at the library every day.\They're not dates. We just study.\But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun?\An idiot like you who misses all the important stuff,\What's got you so angry these days?! response:	So we've got to attend summer school again this year?
context: That's because they have study dates at the library every day.\They're not dates. We just study.\But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun?\An idiot like you who misses all the important stuff,\What's got you so angry these days?!\So we've got to attend summer school again this year? response:	And here I thought I could have fun, now that I'm done with the basketball club.
context: They're not dates. We just study.\But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun?\An idiot like you who misses all the important stuff,\What's got you so angry these days?!\So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club. response:	I though you resigned so that you could concentrate on your studies?
context: But we'll be attending summer classes, too.\And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun?\An idiot like you who misses all the important stuff,\What's got you so angry these days?!\So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies? response:	Oh well...
context: And here I thought I'd have the chance to have loads of fun...\What do you mean, loads of fun?\An idiot like you who misses all the important stuff,\What's got you so angry these days?!\So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies?\Oh well... response:	Well,
context: What do you mean, loads of fun?\An idiot like you who misses all the important stuff,\What's got you so angry these days?!\So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies?\Oh well...\Well, response:	I guess it's not so bad.
context: An idiot like you who misses all the important stuff,\What's got you so angry these days?!\So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies?\Oh well...\Well,\I guess it's not so bad. response:	Nobu-chan, why didn't you plan study dates with Nakao-chi too?
context: What's got you so angry these days?!\So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies?\Oh well...\Well,\I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too? response:	I don't see why the one with red crosses all over her work should be asking me that.
