context: Galactic Imperial Calendar, Year 211 response:	This is the first time you've been here, isn't it, Highness?
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness? response:	I've heard lots of stories about it. It's in textbooks, too.
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too. response:	It's Rune light!
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too.\It's Rune light! response:	Is that it?
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too.\It's Rune light!\Is that it? response:	Yes, that's Sakimori Academy.
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too.\It's Rune light!\Is that it?\Yes, that's Sakimori Academy. response:	Where our empire began.
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too.\It's Rune light!\Is that it?\Yes, that's Sakimori Academy.\Where our empire began. response:	And a land of curses and blessings.
context: Galactic Imperial Calendar, Year 211\This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too.\It's Rune light!\Is that it?\Yes, that's Sakimori Academy.\Where our empire began.\And a land of curses and blessings. response:	Inuzuka-senpai...
context: This is the first time you've been here, isn't it, Highness?\I've heard lots of stories about it. It's in textbooks, too.\It's Rune light!\Is that it?\Yes, that's Sakimori Academy.\Where our empire began.\And a land of curses and blessings.\Inuzuka-senpai... response:	What am... What am I gonna do?
context: I've heard lots of stories about it. It's in textbooks, too.\It's Rune light!\Is that it?\Yes, that's Sakimori Academy.\Where our empire began.\And a land of curses and blessings.\Inuzuka-senpai...\What am... What am I gonna do? response:	I'm not picking up any radio signals. Tetraxion particle interference?
context: It's Rune light!\Is that it?\Yes, that's Sakimori Academy.\Where our empire began.\And a land of curses and blessings.\Inuzuka-senpai...\What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference? response:	Calculating our location based on the position of artificial
