context: Is Natsu okay? response:	There's nothing to worry about with him.
context: Is Natsu okay?\There's nothing to worry about with him. response:	He just has motion sickness.
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness. response:	What about Wendy?
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy? response:	She's recovered a lot.
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot. response:	Are you back to normal, Carla?
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla? response:	Yes...
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes... response:	Well, thank goodness for that!
context: Is Natsu okay?\There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that! response:	Everyone's waiting, so I'll be going.
context: There's nothing to worry about with him.\He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going. response:	You don't intend to say anything?
context: He just has motion sickness.\What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything? response:	What good would telling her about that future do?
context: What about Wendy?\She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do? response:	There's no way she would believe me.
context: She's recovered a lot.\Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me. response:	Mercurius collapsing...
context: Are you back to normal, Carla?\Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\Mercurius collapsing... response:	It was Lucy...
context: Yes...\Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\Mercurius collapsing...\It was Lucy... response:	The Grand Magic Games are held once a year.
context: Well, thank goodness for that!\Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\Mercurius collapsing...\It was Lucy...\The Grand Magic Games are held once a year. response:	Natsu and company participated in the elimination round,
context: Everyone's waiting, so I'll be going.\You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\Mercurius collapsing...\It was Lucy...\The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round, response:	and just barely placed eighth, qualifying them for the actual Games.
context: You don't intend to say anything?\What good would telling her about that future do?\There's no way she would believe me.\Mercurius collapsing...\It was Lucy...\The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games. response:	The Grand Magic Games began.
context: What good would telling her about that future do?\There's no way she would believe me.\Mercurius collapsing...\It was Lucy...\The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began. response:	Between the competition part on the first day, Hidden, and the battle part,
context: There's no way she would believe me.\Mercurius collapsing...\It was Lucy...\The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part, response:	Natsu and his compatriots were shut out, gaining zero points.
context: Mercurius collapsing...\It was Lucy...\The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points. response:	Zero points? That makes it fun, don't ya think?
context: It was Lucy...\The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think? response:	We're gonna turn it around from this point on.
context: The Grand Magic Games are held once a year.\Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on. response:	Yeah! I'm fired up!
context: Natsu and company participated in the elimination round,\and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on.\Yeah! I'm fired up! response:	In the competition of the second day, Chariot,
