context: Aah... response:	Another peaceful day...
context: Aah...\Another peaceful day... response:	How right you are, Master!
context: Aah...\Another peaceful day...\How right you are, Master! response:	This room is... the picture of peace for me!
context: Aah...\Another peaceful day...\How right you are, Master!\This room is... the picture of peace for me! response:	'Sup, Kirie?!
context: Aah...\Another peaceful day...\How right you are, Master!\This room is... the picture of peace for me!\'Sup, Kirie?! response:	I've told you...
context: Aah...\Another peaceful day...\How right you are, Master!\This room is... the picture of peace for me!\'Sup, Kirie?!\I've told you... response:	stop barging into my room!
context: Aah...\Another peaceful day...\How right you are, Master!\This room is... the picture of peace for me!\'Sup, Kirie?!\I've told you...\stop barging into my room! response:	And that room... is the picture of HELL for me.
context: Aah...\Another peaceful day...\How right you are, Master!\This room is... the picture of peace for me!\'Sup, Kirie?!\I've told you...\stop barging into my room!\And that room... is the picture of HELL for me. response:	I wish things could stay like this forever!
context: Another peaceful day...\How right you are, Master!\This room is... the picture of peace for me!\'Sup, Kirie?!\I've told you...\stop barging into my room!\And that room... is the picture of HELL for me.\I wish things could stay like this forever! response:	Huh? Someone's here.
context: How right you are, Master!\This room is... the picture of peace for me!\'Sup, Kirie?!\I've told you...\stop barging into my room!\And that room... is the picture of HELL for me.\I wish things could stay like this forever!\Huh? Someone's here. response:	Alex!
context: This room is... the picture of peace for me!\'Sup, Kirie?!\I've told you...\stop barging into my room!\And that room... is the picture of HELL for me.\I wish things could stay like this forever!\Huh? Someone's here.\Alex! response:	As of today... I'LL be your girlfriend, Big Brother!
context: 'Sup, Kirie?!\I've told you...\stop barging into my room!\And that room... is the picture of HELL for me.\I wish things could stay like this forever!\Huh? Someone's here.\Alex!\As of today... I'LL be your girlfriend, Big Brother! response:	I bought this on the way over!
context: I've told you...\stop barging into my room!\And that room... is the picture of HELL for me.\I wish things could stay like this forever!\Huh? Someone's here.\Alex!\As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over! response:	My Younger Sister is My Girlfriend (BOOM!)
context: stop barging into my room!\And that room... is the picture of HELL for me.\I wish things could stay like this forever!\Huh? Someone's here.\Alex!\As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!) response:	Or, YoungBOOM! for short.
context: And that room... is the picture of HELL for me.\I wish things could stay like this forever!\Huh? Someone's here.\Alex!\As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short. response:	Hold on, Sensei. Who is this person?
context: I wish things could stay like this forever!\Huh? Someone's here.\Alex!\As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person? response:	Sensei?!
context: Huh? Someone's here.\Alex!\As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person?\Sensei?! response:	Uh, this is my friend, Kirie.
context: Alex!\As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person?\Sensei?!\Uh, this is my friend, Kirie. response:	F-f-friend...?
context: As of today... I'LL be your girlfriend, Big Brother!\I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person?\Sensei?!\Uh, this is my friend, Kirie.\F-f-friend...? response:	This is Alex. He works with my brother.
context: I bought this on the way over!\My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person?\Sensei?!\Uh, this is my friend, Kirie.\F-f-friend...?\This is Alex. He works with my brother. response:	It's a pleasure. Please, call me Alex.
