context: Something seems off. It just somehow felt that way. response:	One out, with the score still seven to zero.
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero. response:	One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV, response:	I had absolutely no interest in the prefectural baseball game on TV,
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV, response:	The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV, response:	I had absolutely no interest in the prefectural baseball game on TV,
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV, response:	but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV, response:	but Kumamoto still has a chance if they can hold out here.
context: Something seems off. It just somehow felt that way.\One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. response:	But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side.
context: One out, with the score still seven to zero.\One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side. response:	But I kind of ended up rooting for the losing side.
context: One out, with the score still seven to zero. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side. response:	Once I did, I kind of got the feeling that Haruhi was going to start something.
context: I had absolutely no interest in the prefectural baseball game on TV,\The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\Once I did, I kind of got the feeling that Haruhi was going to start something. response:	The passionate voices cheering from the third base bleachers have not died down. Once I did, I kind of got the feeling that Haruhi was going to start something.
context: The gap between the scores is big, I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\Once I did, I kind of got the feeling that Haruhi was going to start something.\The passionate voices cheering from the third base bleachers have not died down. Once I did, I kind of got the feeling that Haruhi was going to start something. response:	There's Suzuki, they need him to do his best, don't they, Mr. Kiru?
context: I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\Once I did, I kind of got the feeling that Haruhi was going to start something.\The passionate voices cheering from the third base bleachers have not died down. Once I did, I kind of got the feeling that Haruhi was going to start something.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru? response:	That's true. Kyon, the phone's ringing.
context: but Kumamoto still has a chance if they can hold out here. I had absolutely no interest in the prefectural baseball game on TV,\but Kumamoto still has a chance if they can hold out here.\But Kumamoto still has a chance if they can hold out here. But I kind of ended up rooting for the losing side.\But I kind of ended up rooting for the losing side.\Once I did, I kind of got the feeling that Haruhi was going to start something.\The passionate voices cheering from the third base bleachers have not died down. Once I did, I kind of got the feeling that Haruhi was going to start something.\There's Suzuki, they need him to do his best, don't they, Mr. Kiru?\That's true. Kyon, the phone's ringing. response:	After all, you never know how a match is going to turn out. They still have hope. I know, you don't have to tell me.
