context: All right, let's go. response:	We'll split up here.
context: All right, let's go.\We'll split up here. response:	Okay.
context: All right, let's go.\We'll split up here.\Okay. response:	We have at least three intruders
context: All right, let's go.\We'll split up here.\Okay.\We have at least three intruders response:	who have defeated Terada and Koyama.
context: All right, let's go.\We'll split up here.\Okay.\We have at least three intruders\who have defeated Terada and Koyama. response:	It's finally time for you, the Awakened, to shine!
context: All right, let's go.\We'll split up here.\Okay.\We have at least three intruders\who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine! response:	I'm sure that you have all endured rigorous training.
context: All right, let's go.\We'll split up here.\Okay.\We have at least three intruders\who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training. response:	And now it's time to show them how powerful we can be!
context: All right, let's go.\We'll split up here.\Okay.\We have at least three intruders\who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be! response:	Yeah!
context: We'll split up here.\Okay.\We have at least three intruders\who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be!\Yeah! response:	Though...
context: Okay.\We have at least three intruders\who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be!\Yeah!\Though... response:	You probably don't stand a chance.
context: We have at least three intruders\who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be!\Yeah!\Though...\You probably don't stand a chance. response:	Mob Psycho 100
context: who have defeated Terada and Koyama.\It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be!\Yeah!\Though...\You probably don't stand a chance.\Mob Psycho 100 response:	The Heinous Aura Mastermind
context: It's finally time for you, the Awakened, to shine!\I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be!\Yeah!\Though...\You probably don't stand a chance.\Mob Psycho 100\The Heinous Aura Mastermind response:	All the Scars were sent after the intruders?
context: I'm sure that you have all endured rigorous training.\And now it's time to show them how powerful we can be!\Yeah!\Though...\You probably don't stand a chance.\Mob Psycho 100\The Heinous Aura Mastermind\All the Scars were sent after the intruders? response:	This must be a huge deal.
context: And now it's time to show them how powerful we can be!\Yeah!\Though...\You probably don't stand a chance.\Mob Psycho 100\The Heinous Aura Mastermind\All the Scars were sent after the intruders?\This must be a huge deal. response:	Just how long will we have to be babysitters or errand boys?
context: Yeah!\Though...\You probably don't stand a chance.\Mob Psycho 100\The Heinous Aura Mastermind\All the Scars were sent after the intruders?\This must be a huge deal.\Just how long will we have to be babysitters or errand boys? response:	Let it go, man.
context: Though...\You probably don't stand a chance.\Mob Psycho 100\The Heinous Aura Mastermind\All the Scars were sent after the intruders?\This must be a huge deal.\Just how long will we have to be babysitters or errand boys?\Let it go, man. response:	Those of us who don't awaken will always be stuck at the bottom.
context: You probably don't stand a chance.\Mob Psycho 100\The Heinous Aura Mastermind\All the Scars were sent after the intruders?\This must be a huge deal.\Just how long will we have to be babysitters or errand boys?\Let it go, man.\Those of us who don't awaken will always be stuck at the bottom. response:	Eventually, we'll end up subordinates of kids like him.
context: Mob Psycho 100\The Heinous Aura Mastermind\All the Scars were sent after the intruders?\This must be a huge deal.\Just how long will we have to be babysitters or errand boys?\Let it go, man.\Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him. response:	Speaking of kids,
context: The Heinous Aura Mastermind\All the Scars were sent after the intruders?\This must be a huge deal.\Just how long will we have to be babysitters or errand boys?\Let it go, man.\Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him.\Speaking of kids, response:	did you hear about the kid who was sent from HQ as a temp?
context: All the Scars were sent after the intruders?\This must be a huge deal.\Just how long will we have to be babysitters or errand boys?\Let it go, man.\Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him.\Speaking of kids,\did you hear about the kid who was sent from HQ as a temp? response:	Apparently he's an Awakened Child created by HQ.
context: This must be a huge deal.\Just how long will we have to be babysitters or errand boys?\Let it go, man.\Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him.\Speaking of kids,\did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ. response:	What?
context: Just how long will we have to be babysitters or errand boys?\Let it go, man.\Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him.\Speaking of kids,\did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ.\What? response:	Are you saying a normal kid survived that insane awakening experiment?
context: Let it go, man.\Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him.\Speaking of kids,\did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ.\What?\Are you saying a normal kid survived that insane awakening experiment? response:	Man...
context: Those of us who don't awaken will always be stuck at the bottom.\Eventually, we'll end up subordinates of kids like him.\Speaking of kids,\did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ.\What?\Are you saying a normal kid survived that insane awakening experiment?\Man... response:	I want to be in an experiment at HQ, too.
context: Eventually, we'll end up subordinates of kids like him.\Speaking of kids,\did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ.\What?\Are you saying a normal kid survived that insane awakening experiment?\Man...\I want to be in an experiment at HQ, too. response:	Don't even think about it. You'd die.
context: Speaking of kids,\did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ.\What?\Are you saying a normal kid survived that insane awakening experiment?\Man...\I want to be in an experiment at HQ, too.\Don't even think about it. You'd die. response:	It does much worse things than just destroy your mind.
context: did you hear about the kid who was sent from HQ as a temp?\Apparently he's an Awakened Child created by HQ.\What?\Are you saying a normal kid survived that insane awakening experiment?\Man...\I want to be in an experiment at HQ, too.\Don't even think about it. You'd die.\It does much worse things than just destroy your mind. response:	You know about HQ, Gen-san?
