context: How do you like the pleasure of being enveloped by Junketsu? response:	I had no idea...
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea... response:	In all the world, only you and I can savor this pleasure.
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea...\In all the world, only you and I can savor this pleasure. response:	Enjoy it to the fullest.
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea...\In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest. response:	She's right, not even I know it! I'm so jealous, Ryuko!
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea...\In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko! response:	The Life Fibers within Nui's body repel other fibers,
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea...\In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers, response:	so even if she puts on a Kamui, she can't draw on its power.
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea...\In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power. response:	Yep. That's why I chose to become Grand Couturier.
context: How do you like the pleasure of being enveloped by Junketsu?\I had no idea...\In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier. response:	I'll make the ultimate Kamui with my own two hands.
context: I had no idea...\In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands. response:	As you are now, you must know perfectly well what I'm thinking.
context: In all the world, only you and I can savor this pleasure.\Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking. response:	Humans exist to serve clothing...
context: Enjoy it to the fullest.\She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing... response:	Indeed. Life Fibers are the pinnacle of all life forms.
context: She's right, not even I know it! I'm so jealous, Ryuko!\The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms. response:	C'mon, Ryuko, hurry up and show me!
context: The Life Fibers within Nui's body repel other fibers,\so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me! response:	Let me see what you look like in your finest!
context: so even if she puts on a Kamui, she can't draw on its power.\Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest! response:	Life Fiber Override, Kamui Junketsu!
context: Yep. That's why I chose to become Grand Couturier.\I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu! response:	Wow, how beautiful!
context: I'll make the ultimate Kamui with my own two hands.\As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu!\Wow, how beautiful! response:	Lady Ragyo, Lady Satsuki has escaped.
context: As you are now, you must know perfectly well what I'm thinking.\Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu!\Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped. response:	She what?
context: Humans exist to serve clothing...\Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu!\Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped.\She what? response:	I will let you deal with her.
context: Indeed. Life Fibers are the pinnacle of all life forms.\C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu!\Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped.\She what?\I will let you deal with her. response:	Understood.
context: C'mon, Ryuko, hurry up and show me!\Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu!\Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped.\She what?\I will let you deal with her.\Understood. response:	You still want to avenge your father's death?
context: Let me see what you look like in your finest!\Life Fiber Override, Kamui Junketsu!\Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped.\She what?\I will let you deal with her.\Understood.\You still want to avenge your father's death? response:	For luck.
context: Life Fiber Override, Kamui Junketsu!\Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped.\She what?\I will let you deal with her.\Understood.\You still want to avenge your father's death?\For luck. response:	I see that she is still unable to keep her emotions in check.
context: Wow, how beautiful!\Lady Ragyo, Lady Satsuki has escaped.\She what?\I will let you deal with her.\Understood.\You still want to avenge your father's death?\For luck.\I see that she is still unable to keep her emotions in check. response:	For someone with so little experience,
context: Lady Ragyo, Lady Satsuki has escaped.\She what?\I will let you deal with her.\Understood.\You still want to avenge your father's death?\For luck.\I see that she is still unable to keep her emotions in check.\For someone with so little experience, response:	she has better technique than I expected...
context: She what?\I will let you deal with her.\Understood.\You still want to avenge your father's death?\For luck.\I see that she is still unable to keep her emotions in check.\For someone with so little experience,\she has better technique than I expected... response:	Lady Ryuko has completely awakened, hasn't she?
context: I will let you deal with her.\Understood.\You still want to avenge your father's death?\For luck.\I see that she is still unable to keep her emotions in check.\For someone with so little experience,\she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she? response:	When the life of its host is in danger, it causes the
context: Understood.\You still want to avenge your father's death?\For luck.\I see that she is still unable to keep her emotions in check.\For someone with so little experience,\she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the response:	Life Fibers to become even more active.
context: You still want to avenge your father's death?\For luck.\I see that she is still unable to keep her emotions in check.\For someone with so little experience,\she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the\Life Fibers to become even more active. response:	No matter how hard Soichiro tried to seal them away,
context: For luck.\I see that she is still unable to keep her emotions in check.\For someone with so little experience,\she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the\Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away, response:	it'd be child's play to reawaken her by making her
context: I see that she is still unable to keep her emotions in check.\For someone with so little experience,\she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the\Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her response:	experience intense existential terror.
context: For someone with so little experience,\she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the\Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her\experience intense existential terror. response:	Hououmaru, have all company employees gather at REVOCS.
context: she has better technique than I expected...\Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the\Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her\experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS. response:	I will return to the mansion.
context: Lady Ryuko has completely awakened, hasn't she?\When the life of its host is in danger, it causes the\Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her\experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion. response:	We're fast approaching the endgame, Nui.
context: When the life of its host is in danger, it causes the\Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her\experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion.\We're fast approaching the endgame, Nui. response:	My heart is pounding! I'd better work fast, then!
context: Life Fibers to become even more active.\No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her\experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion.\We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then! response:	EPISODE 21 INCOMPLETE
context: No matter how hard Soichiro tried to seal them away,\it'd be child's play to reawaken her by making her\experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion.\We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE response:	Ryuko Matoi, to think you were my little sister...
context: it'd be child's play to reawaken her by making her\experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion.\We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister... response:	Don't get all big-sisterly on me now! You're making me puke.
context: experience intense existential terror.\Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion.\We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke. response:	I have absolutely no intention to.
context: Hououmaru, have all company employees gather at REVOCS.\I will return to the mansion.\We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to. response:	I'll crush anyone who's become a puppet of the Life Fibers,
context: I will return to the mansion.\We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers, response:	no matter who they may be.
context: We're fast approaching the endgame, Nui.\My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be. response:	Let's begin, Senketsu!
context: My heart is pounding! I'd better work fast, then!\EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be.\Let's begin, Senketsu! response:	Life Fiber Synchronize, Kamui Senketsu!
context: EPISODE 21 INCOMPLETE\Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be.\Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu! response:	KAMUI SENKETSU
context: Ryuko Matoi, to think you were my little sister...\Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be.\Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU response:	Synchronizing with Senketsu right after putting him on, huh?
context: Don't get all big-sisterly on me now! You're making me puke.\I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be.\Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh? response:	That's our little miss Satsuki.
context: I have absolutely no intention to.\I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be.\Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki. response:	I can watch no longer! Let's get in there, too!
context: I'll crush anyone who's become a puppet of the Life Fibers,\no matter who they may be.\Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki.\I can watch no longer! Let's get in there, too! response:	We're gonna support Lady Satsuki!
context: no matter who they may be.\Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki.\I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki! response:	Wait!
context: Let's begin, Senketsu!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki.\I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki!\Wait! response:	What do you want, slacker? We're a little busy!
context: Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki.\I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki!\Wait!\What do you want, slacker? We're a little busy! response:	I have a message for the Elite Four from Lady Satsuki!
context: KAMUI SENKETSU\Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki.\I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki!\Wait!\What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki! response:	Let's do this, Satsuki!
context: Synchronizing with Senketsu right after putting him on, huh?\That's our little miss Satsuki.\I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki!\Wait!\What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki! response:	That's Bakuzan, huh?
context: That's our little miss Satsuki.\I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki!\Wait!\What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki!\That's Bakuzan, huh? response:	You can't let go of something that Mother smashed? Talk about clingy!
context: I can watch no longer! Let's get in there, too!\We're gonna support Lady Satsuki!\Wait!\What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki!\That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy! response:	It's not clinginess, it's vengeance!
context: We're gonna support Lady Satsuki!\Wait!\What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki!\That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance! response:	Even if smashed to a million pieces,
context: Wait!\What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki!\That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance!\Even if smashed to a million pieces, response:	if a single fragment remains, the whole can be reconstituted!
context: What do you want, slacker? We're a little busy!\I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki!\That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance!\Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted! response:	These two blades so lovingly protected by my Elite Four
context: I have a message for the Elite Four from Lady Satsuki!\Let's do this, Satsuki!\That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance!\Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four response:	are the symbol of my tenacity of purpose towards the
context: Let's do this, Satsuki!\That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance!\Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the response:	victory of Satsuki Kiryuin and Honnouji Academy!
context: That's Bakuzan, huh?\You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance!\Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy! response:	When will you shut up?!
context: You can't let go of something that Mother smashed? Talk about clingy!\It's not clinginess, it's vengeance!\Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?! response:	You talk louder than your actions. You couldn't even control Junketsu
context: It's not clinginess, it's vengeance!\Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu response:	and you're not gonna be able to summon up that knockoff's power.
context: Even if smashed to a million pieces,\if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power. response:	You think Satsuki Kiryuin to be all talk, do you?
context: if a single fragment remains, the whole can be reconstituted!\These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you? response:	Then I'll have to prove otherwise! Senketsu Senjin!
context: These two blades so lovingly protected by my Elite Four\are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin! response:	Senketsu Senjin!
context: are the symbol of my tenacity of purpose towards the\victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin! response:	Senketsu Shippu!
context: victory of Satsuki Kiryuin and Honnouji Academy!\When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin!\Senketsu Shippu! response:	Senketsu Shippu!
context: When will you shut up?!\You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin!\Senketsu Shippu!\Senketsu Shippu! response:	How dare you, little bitch!
context: You talk louder than your actions. You couldn't even control Junketsu\and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin!\Senketsu Shippu!\Senketsu Shippu!\How dare you, little bitch! response:	I'm only getting started!
context: and you're not gonna be able to summon up that knockoff's power.\You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin!\Senketsu Shippu!\Senketsu Shippu!\How dare you, little bitch!\I'm only getting started! response:	Senjin Shippu!
context: You think Satsuki Kiryuin to be all talk, do you?\Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin!\Senketsu Shippu!\Senketsu Shippu!\How dare you, little bitch!\I'm only getting started!\Senjin Shippu! response:	Interesting! Senjin Shippu!
context: Then I'll have to prove otherwise! Senketsu Senjin!\Senketsu Senjin!\Senketsu Shippu!\Senketsu Shippu!\How dare you, little bitch!\I'm only getting started!\Senjin Shippu!\Interesting! Senjin Shippu! response:	Kay... I think that's enough for today.
context: Senketsu Senjin!\Senketsu Shippu!\Senketsu Shippu!\How dare you, little bitch!\I'm only getting started!\Senjin Shippu!\Interesting! Senjin Shippu!\Kay... I think that's enough for today. response:	So you aren't entirely useless.
context: Senketsu Shippu!\Senketsu Shippu!\How dare you, little bitch!\I'm only getting started!\Senjin Shippu!\Interesting! Senjin Shippu!\Kay... I think that's enough for today.\So you aren't entirely useless. response:	Ryuko, take off that outfit and put me on.
context: Senketsu Shippu!\How dare you, little bitch!\I'm only getting started!\Senjin Shippu!\Interesting! Senjin Shippu!\Kay... I think that's enough for today.\So you aren't entirely useless.\Ryuko, take off that outfit and put me on. response:	No way. As if I'd stoop to looking that ridiculous ever again.
context: How dare you, little bitch!\I'm only getting started!\Senjin Shippu!\Interesting! Senjin Shippu!\Kay... I think that's enough for today.\So you aren't entirely useless.\Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again. response:	I look ridiculous? Do you really mean that, Ryuko?
context: I'm only getting started!\Senjin Shippu!\Interesting! Senjin Shippu!\Kay... I think that's enough for today.\So you aren't entirely useless.\Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko? response:	Damn straight. What else would you call it but ridiculous
context: Senjin Shippu!\Interesting! Senjin Shippu!\Kay... I think that's enough for today.\So you aren't entirely useless.\Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous response:	when you can't tell if you're wearing anything?
context: Interesting! Senjin Shippu!\Kay... I think that's enough for today.\So you aren't entirely useless.\Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything? response:	To access the Life Fibers' power, while at
