context: Manatsu-kun will be staying in the hospital for a few more days. response:	I'm fine now.
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now. response:	You hit your head...
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now.\You hit your head... response:	You still have more tests.
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now.\You hit your head...\You still have more tests. response:	You should have them check you out thoroughly.
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now.\You hit your head...\You still have more tests.\You should have them check you out thoroughly. response:	Pitz says so, too.
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now.\You hit your head...\You still have more tests.\You should have them check you out thoroughly.\Pitz says so, too. response:	You know animals aren't allowed in the medical center...
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now.\You hit your head...\You still have more tests.\You should have them check you out thoroughly.\Pitz says so, too.\You know animals aren't allowed in the medical center... response:	Akari taught me a magic spell to make you feel better, Daichi!
context: Manatsu-kun will be staying in the hospital for a few more days.\I'm fine now.\You hit your head...\You still have more tests.\You should have them check you out thoroughly.\Pitz says so, too.\You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi! response:	You don't mean...
context: I'm fine now.\You hit your head...\You still have more tests.\You should have them check you out thoroughly.\Pitz says so, too.\You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi!\You don't mean... response:	Don't, don't, don't
context: You hit your head...\You still have more tests.\You should have them check you out thoroughly.\Pitz says so, too.\You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi!\You don't mean...\Don't, don't, don't response:	Belly Button Forte!
context: You still have more tests.\You should have them check you out thoroughly.\Pitz says so, too.\You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi!\You don't mean...\Don't, don't, don't\Belly Button Forte! response:	D-Don't do that! Hide it!
context: You should have them check you out thoroughly.\Pitz says so, too.\You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi!\You don't mean...\Don't, don't, don't\Belly Button Forte!\D-Don't do that! Hide it! response:	Restraint! Restraint!
context: Pitz says so, too.\You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi!\You don't mean...\Don't, don't, don't\Belly Button Forte!\D-Don't do that! Hide it!\Restraint! Restraint! response:	You don't feel better?
context: You know animals aren't allowed in the medical center...\Akari taught me a magic spell to make you feel better, Daichi!\You don't mean...\Don't, don't, don't\Belly Button Forte!\D-Don't do that! Hide it!\Restraint! Restraint!\You don't feel better? response:	No... When you're wearing a dress,
context: Akari taught me a magic spell to make you feel better, Daichi!\You don't mean...\Don't, don't, don't\Belly Button Forte!\D-Don't do that! Hide it!\Restraint! Restraint!\You don't feel better?\No... When you're wearing a dress, response:	Belly Button Forte is more of an offensive spell than a healing one.
context: You don't mean...\Don't, don't, don't\Belly Button Forte!\D-Don't do that! Hide it!\Restraint! Restraint!\You don't feel better?\No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one. response:	Yes, this is Shibuya.
context: Don't, don't, don't\Belly Button Forte!\D-Don't do that! Hide it!\Restraint! Restraint!\You don't feel better?\No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya. response:	Yes, he's here.
context: Belly Button Forte!\D-Don't do that! Hide it!\Restraint! Restraint!\You don't feel better?\No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya.\Yes, he's here. response:	Yes. That's fine.
context: D-Don't do that! Hide it!\Restraint! Restraint!\You don't feel better?\No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya.\Yes, he's here.\Yes. That's fine. response:	Yes, understood.
context: Restraint! Restraint!\You don't feel better?\No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya.\Yes, he's here.\Yes. That's fine.\Yes, understood. response:	Teppei, Commander Nishikubo wants to see you.
context: You don't feel better?\No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya.\Yes, he's here.\Yes. That's fine.\Yes, understood.\Teppei, Commander Nishikubo wants to see you. response:	Right.
context: No... When you're wearing a dress,\Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya.\Yes, he's here.\Yes. That's fine.\Yes, understood.\Teppei, Commander Nishikubo wants to see you.\Right. response:	I hope we can all live together again!
context: Belly Button Forte is more of an offensive spell than a healing one.\Yes, this is Shibuya.\Yes, he's here.\Yes. That's fine.\Yes, understood.\Teppei, Commander Nishikubo wants to see you.\Right.\I hope we can all live together again! response:	And make dinner and stuff!
context: Yes, this is Shibuya.\Yes, he's here.\Yes. That's fine.\Yes, understood.\Teppei, Commander Nishikubo wants to see you.\Right.\I hope we can all live together again!\And make dinner and stuff! response:	Y-You're right.
context: Yes, he's here.\Yes. That's fine.\Yes, understood.\Teppei, Commander Nishikubo wants to see you.\Right.\I hope we can all live together again!\And make dinner and stuff!\Y-You're right. response:	It was only a little while ago,
context: Yes. That's fine.\Yes, understood.\Teppei, Commander Nishikubo wants to see you.\Right.\I hope we can all live together again!\And make dinner and stuff!\Y-You're right.\It was only a little while ago, response:	but it seems like the distant past.
context: Yes, understood.\Teppei, Commander Nishikubo wants to see you.\Right.\I hope we can all live together again!\And make dinner and stuff!\Y-You're right.\It was only a little while ago,\but it seems like the distant past. response:	Right now, it feels so far away from me.
context: Teppei, Commander Nishikubo wants to see you.\Right.\I hope we can all live together again!\And make dinner and stuff!\Y-You're right.\It was only a little while ago,\but it seems like the distant past.\Right now, it feels so far away from me. response:	Hana...
context: Right.\I hope we can all live together again!\And make dinner and stuff!\Y-You're right.\It was only a little while ago,\but it seems like the distant past.\Right now, it feels so far away from me.\Hana... response:	Did I do something bad to you?
context: I hope we can all live together again!\And make dinner and stuff!\Y-You're right.\It was only a little while ago,\but it seems like the distant past.\Right now, it feels so far away from me.\Hana...\Did I do something bad to you? response:	Thanks to you, I found out who I really am,
context: And make dinner and stuff!\Y-You're right.\It was only a little while ago,\but it seems like the distant past.\Right now, it feels so far away from me.\Hana...\Did I do something bad to you?\Thanks to you, I found out who I really am, response:	something I had wondered for so long.
context: Y-You're right.\It was only a little while ago,\but it seems like the distant past.\Right now, it feels so far away from me.\Hana...\Did I do something bad to you?\Thanks to you, I found out who I really am,\something I had wondered for so long. response:	Did you know the Machine Goodfellows operated off of Orgone energy?
context: It was only a little while ago,\but it seems like the distant past.\Right now, it feels so far away from me.\Hana...\Did I do something bad to you?\Thanks to you, I found out who I really am,\something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy? response:	Pitz told me.
context: but it seems like the distant past.\Right now, it feels so far away from me.\Hana...\Did I do something bad to you?\Thanks to you, I found out who I really am,\something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me. response:	Didn't you think I might be your enemy?
context: Right now, it feels so far away from me.\Hana...\Did I do something bad to you?\Thanks to you, I found out who I really am,\something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me.\Didn't you think I might be your enemy? response:	Nope.
context: Hana...\Did I do something bad to you?\Thanks to you, I found out who I really am,\something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me.\Didn't you think I might be your enemy?\Nope. response:	I knew you would save Daichi.
context: Did I do something bad to you?\Thanks to you, I found out who I really am,\something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me.\Didn't you think I might be your enemy?\Nope.\I knew you would save Daichi. response:	Next time I return to the Kiltgang,
context: Thanks to you, I found out who I really am,\something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me.\Didn't you think I might be your enemy?\Nope.\I knew you would save Daichi.\Next time I return to the Kiltgang, response:	I might turn into a different person.
context: something I had wondered for so long.\Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me.\Didn't you think I might be your enemy?\Nope.\I knew you would save Daichi.\Next time I return to the Kiltgang,\I might turn into a different person. response:	Teppei?
context: Did you know the Machine Goodfellows operated off of Orgone energy?\Pitz told me.\Didn't you think I might be your enemy?\Nope.\I knew you would save Daichi.\Next time I return to the Kiltgang,\I might turn into a different person.\Teppei? response:	Don't have so much faith in me.
context: Pitz told me.\Didn't you think I might be your enemy?\Nope.\I knew you would save Daichi.\Next time I return to the Kiltgang,\I might turn into a different person.\Teppei?\Don't have so much faith in me. response:	Teppei!
context: Didn't you think I might be your enemy?\Nope.\I knew you would save Daichi.\Next time I return to the Kiltgang,\I might turn into a different person.\Teppei?\Don't have so much faith in me.\Teppei! response:	Speed is of the essence.
context: Nope.\I knew you would save Daichi.\Next time I return to the Kiltgang,\I might turn into a different person.\Teppei?\Don't have so much faith in me.\Teppei!\Speed is of the essence. response:	Registration code 10878F.
context: I knew you would save Daichi.\Next time I return to the Kiltgang,\I might turn into a different person.\Teppei?\Don't have so much faith in me.\Teppei!\Speed is of the essence.\Registration code 10878F. response:	This is one of the members selected to participate in the Kivotos Plan,
context: Next time I return to the Kiltgang,\I might turn into a different person.\Teppei?\Don't have so much faith in me.\Teppei!\Speed is of the essence.\Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan, response:	currently in cold sleep in the Tenkaidou's Ark block.
