context: Hm... response:	You could smell it from here?
context: Hm...\You could smell it from here? response:	What made you say that?
context: Hm...\You could smell it from here?\What made you say that? response:	Oh, okay...
context: Hm...\You could smell it from here?\What made you say that?\Oh, okay... response:	I see why you come here so much.
context: Hm...\You could smell it from here?\What made you say that?\Oh, okay...\I see why you come here so much. response:	I'm up, I'm awake...
context: Hm...\You could smell it from here?\What made you say that?\Oh, okay...\I see why you come here so much.\I'm up, I'm awake... response:	You're fine here on the deck.
context: Hm...\You could smell it from here?\What made you say that?\Oh, okay...\I see why you come here so much.\I'm up, I'm awake...\You're fine here on the deck. response:	What will we do?
context: Hm...\You could smell it from here?\What made you say that?\Oh, okay...\I see why you come here so much.\I'm up, I'm awake...\You're fine here on the deck.\What will we do? response:	I guess, boring.
context: You could smell it from here?\What made you say that?\Oh, okay...\I see why you come here so much.\I'm up, I'm awake...\You're fine here on the deck.\What will we do?\I guess, boring. response:	Excuse me...
context: What made you say that?\Oh, okay...\I see why you come here so much.\I'm up, I'm awake...\You're fine here on the deck.\What will we do?\I guess, boring.\Excuse me... response:	I need a moment.
context: Oh, okay...\I see why you come here so much.\I'm up, I'm awake...\You're fine here on the deck.\What will we do?\I guess, boring.\Excuse me...\I need a moment. response:	That would be difficult and painful.
context: I see why you come here so much.\I'm up, I'm awake...\You're fine here on the deck.\What will we do?\I guess, boring.\Excuse me...\I need a moment.\That would be difficult and painful. response:	I wouldn't expect you to.
context: I'm up, I'm awake...\You're fine here on the deck.\What will we do?\I guess, boring.\Excuse me...\I need a moment.\That would be difficult and painful.\I wouldn't expect you to. response:	Huh?
context: You're fine here on the deck.\What will we do?\I guess, boring.\Excuse me...\I need a moment.\That would be difficult and painful.\I wouldn't expect you to.\Huh? response:	I decided to learn the sneak attack, Spider, and paid forty silvers for it.
context: What will we do?\I guess, boring.\Excuse me...\I need a moment.\That would be difficult and painful.\I wouldn't expect you to.\Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it. response:	Thank you!
context: I guess, boring.\Excuse me...\I need a moment.\That would be difficult and painful.\I wouldn't expect you to.\Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you! response:	If you were, you could say goodbye to your neck and body.
context: Excuse me...\I need a moment.\That would be difficult and painful.\I wouldn't expect you to.\Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you!\If you were, you could say goodbye to your neck and body. response:	I'll die! I'm not kidding!
context: I need a moment.\That would be difficult and painful.\I wouldn't expect you to.\Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you!\If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding! response:	What a drab man you are.
context: That would be difficult and painful.\I wouldn't expect you to.\Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you!\If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding!\What a drab man you are. response:	Yes, dull!
context: I wouldn't expect you to.\Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you!\If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding!\What a drab man you are.\Yes, dull! response:	It's not once a day, but I do see it pretty often
context: Huh?\I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you!\If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding!\What a drab man you are.\Yes, dull!\It's not once a day, but I do see it pretty often response:	Oh yeah.
context: I decided to learn the sneak attack, Spider, and paid forty silvers for it.\Thank you!\If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding!\What a drab man you are.\Yes, dull!\It's not once a day, but I do see it pretty often\Oh yeah. response:	We decided to take the day off.
context: Thank you!\If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding!\What a drab man you are.\Yes, dull!\It's not once a day, but I do see it pretty often\Oh yeah.\We decided to take the day off. response:	Repeating a yesterday filled with scrapes,
context: If you were, you could say goodbye to your neck and body.\I'll die! I'm not kidding!\What a drab man you are.\Yes, dull!\It's not once a day, but I do see it pretty often\Oh yeah.\We decided to take the day off.\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: I'll die! I'm not kidding!\What a drab man you are.\Yes, dull!\It's not once a day, but I do see it pretty often\Oh yeah.\We decided to take the day off.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: What a drab man you are.\Yes, dull!\It's not once a day, but I do see it pretty often\Oh yeah.\We decided to take the day off.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: Yes, dull!\It's not once a day, but I do see it pretty often\Oh yeah.\We decided to take the day off.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: It's not once a day, but I do see it pretty often\Oh yeah.\We decided to take the day off.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: Oh yeah.\We decided to take the day off.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: We decided to take the day off.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	After talking it over, we all decided to take the day off today.
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today. response:	We had a lot going on until yesterday...
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday... response:	But, I wonder what this strange feeling is.
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday...\But, I wonder what this strange feeling is. response:	What do I usually do on days off?
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday...\But, I wonder what this strange feeling is.\What do I usually do on days off? response:	A day off, huh.
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday...\But, I wonder what this strange feeling is.\What do I usually do on days off?\A day off, huh. response:	What's wrong?
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday...\But, I wonder what this strange feeling is.\What do I usually do on days off?\A day off, huh.\What's wrong? response:	Oh, it's nothing.
context: I will reach out my hands to seek the light, again and again.\After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday...\But, I wonder what this strange feeling is.\What do I usually do on days off?\A day off, huh.\What's wrong?\Oh, it's nothing. response:	Now that I actually get a break, I feel a little off.
context: After talking it over, we all decided to take the day off today.\We had a lot going on until yesterday...\But, I wonder what this strange feeling is.\What do I usually do on days off?\A day off, huh.\What's wrong?\Oh, it's nothing.\Now that I actually get a break, I feel a little off. response:	Ranta-kun went out early this morning.
context: We had a lot going on until yesterday...\But, I wonder what this strange feeling is.\What do I usually do on days off?\A day off, huh.\What's wrong?\Oh, it's nothing.\Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning. response:	Really?
context: But, I wonder what this strange feeling is.\What do I usually do on days off?\A day off, huh.\What's wrong?\Oh, it's nothing.\Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning.\Really? response:	That's unexpected.
context: What do I usually do on days off?\A day off, huh.\What's wrong?\Oh, it's nothing.\Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning.\Really?\That's unexpected. response:	There are those people who get up earlier when they don't have to work.
context: A day off, huh.\What's wrong?\Oh, it's nothing.\Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning.\Really?\That's unexpected.\There are those people who get up earlier when they don't have to work. response:	Oh, he's one of them.
context: What's wrong?\Oh, it's nothing.\Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning.\Really?\That's unexpected.\There are those people who get up earlier when they don't have to work.\Oh, he's one of them. response:	This bread's so good!
context: Oh, it's nothing.\Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning.\Really?\That's unexpected.\There are those people who get up earlier when they don't have to work.\Oh, he's one of them.\This bread's so good! response:	I don't have the timing down yet.
context: Now that I actually get a break, I feel a little off.\Ranta-kun went out early this morning.\Really?\That's unexpected.\There are those people who get up earlier when they don't have to work.\Oh, he's one of them.\This bread's so good!\I don't have the timing down yet. response:	I'm supposed to change the temperature in between...
context: Ranta-kun went out early this morning.\Really?\That's unexpected.\There are those people who get up earlier when they don't have to work.\Oh, he's one of them.\This bread's so good!\I don't have the timing down yet.\I'm supposed to change the temperature in between... response:	It's our day off.
context: Really?\That's unexpected.\There are those people who get up earlier when they don't have to work.\Oh, he's one of them.\This bread's so good!\I don't have the timing down yet.\I'm supposed to change the temperature in between...\It's our day off. response:	You don't have to worry about cooking duty.
context: That's unexpected.\There are those people who get up earlier when they don't have to work.\Oh, he's one of them.\This bread's so good!\I don't have the timing down yet.\I'm supposed to change the temperature in between...\It's our day off.\You don't have to worry about cooking duty. response:	Not that I don't appreciate it.
context: There are those people who get up earlier when they don't have to work.\Oh, he's one of them.\This bread's so good!\I don't have the timing down yet.\I'm supposed to change the temperature in between...\It's our day off.\You don't have to worry about cooking duty.\Not that I don't appreciate it. response:	It's fine.
context: Oh, he's one of them.\This bread's so good!\I don't have the timing down yet.\I'm supposed to change the temperature in between...\It's our day off.\You don't have to worry about cooking duty.\Not that I don't appreciate it.\It's fine. response:	I happened to be hungry, too.
context: This bread's so good!\I don't have the timing down yet.\I'm supposed to change the temperature in between...\It's our day off.\You don't have to worry about cooking duty.\Not that I don't appreciate it.\It's fine.\I happened to be hungry, too. response:	Where did Ranta go?
context: I don't have the timing down yet.\I'm supposed to change the temperature in between...\It's our day off.\You don't have to worry about cooking duty.\Not that I don't appreciate it.\It's fine.\I happened to be hungry, too.\Where did Ranta go? response:	He had his fishing rod with him.
context: I'm supposed to change the temperature in between...\It's our day off.\You don't have to worry about cooking duty.\Not that I don't appreciate it.\It's fine.\I happened to be hungry, too.\Where did Ranta go?\He had his fishing rod with him. response:	What about Yume and Shihoru?
context: It's our day off.\You don't have to worry about cooking duty.\Not that I don't appreciate it.\It's fine.\I happened to be hungry, too.\Where did Ranta go?\He had his fishing rod with him.\What about Yume and Shihoru? response:	I haven't seen them all morning...
context: You don't have to worry about cooking duty.\Not that I don't appreciate it.\It's fine.\I happened to be hungry, too.\Where did Ranta go?\He had his fishing rod with him.\What about Yume and Shihoru?\I haven't seen them all morning... response:	Maybe they're still in their room.
context: Not that I don't appreciate it.\It's fine.\I happened to be hungry, too.\Where did Ranta go?\He had his fishing rod with him.\What about Yume and Shihoru?\I haven't seen them all morning...\Maybe they're still in their room. response:	They probably stayed up late...
context: It's fine.\I happened to be hungry, too.\Where did Ranta go?\He had his fishing rod with him.\What about Yume and Shihoru?\I haven't seen them all morning...\Maybe they're still in their room.\They probably stayed up late... response:	She and Yume probably talked about Manato.
context: I happened to be hungry, too.\Where did Ranta go?\He had his fishing rod with him.\What about Yume and Shihoru?\I haven't seen them all morning...\Maybe they're still in their room.\They probably stayed up late...\She and Yume probably talked about Manato. response:	What about you, Moguzo?
context: Where did Ranta go?\He had his fishing rod with him.\What about Yume and Shihoru?\I haven't seen them all morning...\Maybe they're still in their room.\They probably stayed up late...\She and Yume probably talked about Manato.\What about you, Moguzo? response:	Me?
context: He had his fishing rod with him.\What about Yume and Shihoru?\I haven't seen them all morning...\Maybe they're still in their room.\They probably stayed up late...\She and Yume probably talked about Manato.\What about you, Moguzo?\Me? response:	Well...
context: What about Yume and Shihoru?\I haven't seen them all morning...\Maybe they're still in their room.\They probably stayed up late...\She and Yume probably talked about Manato.\What about you, Moguzo?\Me?\Well... response:	I'm thinking of taking my armor in to get fixed.
context: I haven't seen them all morning...\Maybe they're still in their room.\They probably stayed up late...\She and Yume probably talked about Manato.\What about you, Moguzo?\Me?\Well...\I'm thinking of taking my armor in to get fixed. response:	It got pretty damaged in our last fight.
context: Maybe they're still in their room.\They probably stayed up late...\She and Yume probably talked about Manato.\What about you, Moguzo?\Me?\Well...\I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight. response:	My weapon was beat up, too.
context: They probably stayed up late...\She and Yume probably talked about Manato.\What about you, Moguzo?\Me?\Well...\I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight.\My weapon was beat up, too. response:	I left it to get sharpened.
context: She and Yume probably talked about Manato.\What about you, Moguzo?\Me?\Well...\I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight.\My weapon was beat up, too.\I left it to get sharpened. response:	Oh, I need to go pick it up!
context: What about you, Moguzo?\Me?\Well...\I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight.\My weapon was beat up, too.\I left it to get sharpened.\Oh, I need to go pick it up! response:	Isn't that what you usually do?
context: Me?\Well...\I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight.\My weapon was beat up, too.\I left it to get sharpened.\Oh, I need to go pick it up!\Isn't that what you usually do? response:	We hardly get days off.
context: Well...\I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight.\My weapon was beat up, too.\I left it to get sharpened.\Oh, I need to go pick it up!\Isn't that what you usually do?\We hardly get days off. response:	What are you going to do, Haruhiro?
context: I'm thinking of taking my armor in to get fixed.\It got pretty damaged in our last fight.\My weapon was beat up, too.\I left it to get sharpened.\Oh, I need to go pick it up!\Isn't that what you usually do?\We hardly get days off.\What are you going to do, Haruhiro? response:	Me?
context: It got pretty damaged in our last fight.\My weapon was beat up, too.\I left it to get sharpened.\Oh, I need to go pick it up!\Isn't that what you usually do?\We hardly get days off.\What are you going to do, Haruhiro?\Me? response:	Me, huh...
context: My weapon was beat up, too.\I left it to get sharpened.\Oh, I need to go pick it up!\Isn't that what you usually do?\We hardly get days off.\What are you going to do, Haruhiro?\Me?\Me, huh... response:	We're all meeting at Shelly's Tavern in the evening, right?
context: I left it to get sharpened.\Oh, I need to go pick it up!\Isn't that what you usually do?\We hardly get days off.\What are you going to do, Haruhiro?\Me?\Me, huh...\We're all meeting at Shelly's Tavern in the evening, right? response:	Yeah.
context: Oh, I need to go pick it up!\Isn't that what you usually do?\We hardly get days off.\What are you going to do, Haruhiro?\Me?\Me, huh...\We're all meeting at Shelly's Tavern in the evening, right?\Yeah. response:	What should I do?
context: Isn't that what you usually do?\We hardly get days off.\What are you going to do, Haruhiro?\Me?\Me, huh...\We're all meeting at Shelly's Tavern in the evening, right?\Yeah.\What should I do? response:	Shihoru, I didn't know you were up, too.
context: We hardly get days off.\What are you going to do, Haruhiro?\Me?\Me, huh...\We're all meeting at Shelly's Tavern in the evening, right?\Yeah.\What should I do?\Shihoru, I didn't know you were up, too. response:	You... like birds?
