context: Tomoe believes that humans are fleeting and frail, response:	and he fears getting involved with them.
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them. response:	I think that you can teach him that humans are not weak.
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them.\I think that you can teach him that humans are not weak. response:	I want to rekindle Tomoe's bond with humanity.
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them.\I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity. response:	To have him take your hand, not mine.
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them.\I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine. response:	I want to allow Tomoe to choose you.
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them.\I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine.\I want to allow Tomoe to choose you. response:	Mikage!
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them.\I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine.\I want to allow Tomoe to choose you.\Mikage! response:	But it seems he still has a long way to go.
context: Tomoe believes that humans are fleeting and frail,\and he fears getting involved with them.\I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine.\I want to allow Tomoe to choose you.\Mikage!\But it seems he still has a long way to go. response:	What were you speaking about with Mikage, Nanami?
context: and he fears getting involved with them.\I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine.\I want to allow Tomoe to choose you.\Mikage!\But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami? response:	It wasn't anything important.
context: I think that you can teach him that humans are not weak.\I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine.\I want to allow Tomoe to choose you.\Mikage!\But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami?\It wasn't anything important. response:	It was just a little bit of small talk.
context: I want to rekindle Tomoe's bond with humanity.\To have him take your hand, not mine.\I want to allow Tomoe to choose you.\Mikage!\But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami?\It wasn't anything important.\It was just a little bit of small talk. response:	I see.
context: To have him take your hand, not mine.\I want to allow Tomoe to choose you.\Mikage!\But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami?\It wasn't anything important.\It was just a little bit of small talk.\I see. response:	They live for a long time.
context: I want to allow Tomoe to choose you.\Mikage!\But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami?\It wasn't anything important.\It was just a little bit of small talk.\I see.\They live for a long time. response:	They live with the same love in their hearts for centuries.
context: Mikage!\But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami?\It wasn't anything important.\It was just a little bit of small talk.\I see.\They live for a long time.\They live with the same love in their hearts for centuries. response:	To fall in love with someone, to need them, is a highly risky proposition for spirit kind.
