context: Dungeons are places such as abandoned structures, response:	fortresses, shrines, or caves.
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves. response:	Closed-off areas where battles with monsters occur.
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur. response:	Many dungeons are home to low-level monsters,
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters, response:	while more powerful monsters, like dragons, will sometimes guard treasures there.
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there. response:	And since you have to work in a limited area,
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area, response:	fighting them is more difficult than in the field.
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area,\fighting them is more difficult than in the field. response:	Thus, defeating them requires complex teamwork.
context: Dungeons are places such as abandoned structures,\fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area,\fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork. response:	I know this song...
context: fortresses, shrines, or caves.\Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area,\fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork.\I know this song... response:	It's the opening theme from when Elder Tale was a game.
context: Closed-off areas where battles with monsters occur.\Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area,\fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork.\I know this song...\It's the opening theme from when Elder Tale was a game. response:	Once girls reach a certain age,
context: Many dungeons are home to low-level monsters,\while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area,\fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork.\I know this song...\It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age, response:	they make their social debut at a ball.
context: while more powerful monsters, like dragons, will sometimes guard treasures there.\And since you have to work in a limited area,\fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork.\I know this song...\It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age,\they make their social debut at a ball. response:	The ten-day conference that starts tomorrow
context: And since you have to work in a limited area,\fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork.\I know this song...\It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age,\they make their social debut at a ball.\The ten-day conference that starts tomorrow response:	is also a chance for us to get acquainted.
context: fighting them is more difficult than in the field.\Thus, defeating them requires complex teamwork.\I know this song...\It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age,\they make their social debut at a ball.\The ten-day conference that starts tomorrow\is also a chance for us to get acquainted. response:	The Forest of Lagranda
context: Thus, defeating them requires complex teamwork.\I know this song...\It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age,\they make their social debut at a ball.\The ten-day conference that starts tomorrow\is also a chance for us to get acquainted.\The Forest of Lagranda response:	The Forest of Lagranda.
context: I know this song...\It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age,\they make their social debut at a ball.\The ten-day conference that starts tomorrow\is also a chance for us to get acquainted.\The Forest of Lagranda\The Forest of Lagranda. response:	Go and join the dance.
context: It's the opening theme from when Elder Tale was a game.\Once girls reach a certain age,\they make their social debut at a ball.\The ten-day conference that starts tomorrow\is also a chance for us to get acquainted.\The Forest of Lagranda\The Forest of Lagranda.\Go and join the dance. response:	Just look...
context: Once girls reach a certain age,\they make their social debut at a ball.\The ten-day conference that starts tomorrow\is also a chance for us to get acquainted.\The Forest of Lagranda\The Forest of Lagranda.\Go and join the dance.\Just look... response:	Everyone is quite interested in you.
context: they make their social debut at a ball.\The ten-day conference that starts tomorrow\is also a chance for us to get acquainted.\The Forest of Lagranda\The Forest of Lagranda.\Go and join the dance.\Just look...\Everyone is quite interested in you. response:	How about it?
context: The ten-day conference that starts tomorrow\is also a chance for us to get acquainted.\The Forest of Lagranda\The Forest of Lagranda.\Go and join the dance.\Just look...\Everyone is quite interested in you.\How about it? response:	What about you, miss?
context: is also a chance for us to get acquainted.\The Forest of Lagranda\The Forest of Lagranda.\Go and join the dance.\Just look...\Everyone is quite interested in you.\How about it?\What about you, miss? response:	I am my lord's ninja...
context: The Forest of Lagranda\The Forest of Lagranda.\Go and join the dance.\Just look...\Everyone is quite interested in you.\How about it?\What about you, miss?\I am my lord's ninja... response:	I mustn't be seen in such a public setting.
context: The Forest of Lagranda.\Go and join the dance.\Just look...\Everyone is quite interested in you.\How about it?\What about you, miss?\I am my lord's ninja...\I mustn't be seen in such a public setting. response:	Then what about you?
context: Go and join the dance.\Just look...\Everyone is quite interested in you.\How about it?\What about you, miss?\I am my lord's ninja...\I mustn't be seen in such a public setting.\Then what about you? response:	No, no...
context: Just look...\Everyone is quite interested in you.\How about it?\What about you, miss?\I am my lord's ninja...\I mustn't be seen in such a public setting.\Then what about you?\No, no... response:	I'm better suited for other things.
context: Everyone is quite interested in you.\How about it?\What about you, miss?\I am my lord's ninja...\I mustn't be seen in such a public setting.\Then what about you?\No, no...\I'm better suited for other things. response:	That's right... The obvious choice is...
context: How about it?\What about you, miss?\I am my lord's ninja...\I mustn't be seen in such a public setting.\Then what about you?\No, no...\I'm better suited for other things.\That's right... The obvious choice is... response:	As the Round Table's representative,
context: What about you, miss?\I am my lord's ninja...\I mustn't be seen in such a public setting.\Then what about you?\No, no...\I'm better suited for other things.\That's right... The obvious choice is...\As the Round Table's representative, response:	I'd like to speak with Lord Sergiatte a bit more.
context: I am my lord's ninja...\I mustn't be seen in such a public setting.\Then what about you?\No, no...\I'm better suited for other things.\That's right... The obvious choice is...\As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more. response:	Crusty...
context: I mustn't be seen in such a public setting.\Then what about you?\No, no...\I'm better suited for other things.\That's right... The obvious choice is...\As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more.\Crusty... response:	He's doing this deliberately.
context: Then what about you?\No, no...\I'm better suited for other things.\That's right... The obvious choice is...\As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more.\Crusty...\He's doing this deliberately. response:	I suppose I'll go embarrass myself...
context: No, no...\I'm better suited for other things.\That's right... The obvious choice is...\As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more.\Crusty...\He's doing this deliberately.\I suppose I'll go embarrass myself... response:	Shiroe...
context: I'm better suited for other things.\That's right... The obvious choice is...\As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more.\Crusty...\He's doing this deliberately.\I suppose I'll go embarrass myself...\Shiroe... response:	A gentleman must never show his lack of confidence.
context: That's right... The obvious choice is...\As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more.\Crusty...\He's doing this deliberately.\I suppose I'll go embarrass myself...\Shiroe...\A gentleman must never show his lack of confidence. response:	Right now, you're a member of the Round Table's delegation.
context: As the Round Table's representative,\I'd like to speak with Lord Sergiatte a bit more.\Crusty...\He's doing this deliberately.\I suppose I'll go embarrass myself...\Shiroe...\A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation. response:	You're right. I'm sorry.
context: I'd like to speak with Lord Sergiatte a bit more.\Crusty...\He's doing this deliberately.\I suppose I'll go embarrass myself...\Shiroe...\A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry. response:	Okay...
context: Crusty...\He's doing this deliberately.\I suppose I'll go embarrass myself...\Shiroe...\A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry.\Okay... response:	Then, since you're being a good boy, I'll give you a magic present!
context: He's doing this deliberately.\I suppose I'll go embarrass myself...\Shiroe...\A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry.\Okay...\Then, since you're being a good boy, I'll give you a magic present! response:	H-Henrietta...
context: I suppose I'll go embarrass myself...\Shiroe...\A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry.\Okay...\Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta... response:	Shiroe, smile.
context: Shiroe...\A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry.\Okay...\Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta...\Shiroe, smile. response:	Thrust out your chest.
context: A gentleman must never show his lack of confidence.\Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry.\Okay...\Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta...\Shiroe, smile.\Thrust out your chest. response:	Put your hand on my hip.
context: Right now, you're a member of the Round Table's delegation.\You're right. I'm sorry.\Okay...\Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta...\Shiroe, smile.\Thrust out your chest.\Put your hand on my hip. response:	Just so you know, I can't dance at all.
context: You're right. I'm sorry.\Okay...\Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta...\Shiroe, smile.\Thrust out your chest.\Put your hand on my hip.\Just so you know, I can't dance at all. response:	You know what my class is, don't you?
context: Okay...\Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta...\Shiroe, smile.\Thrust out your chest.\Put your hand on my hip.\Just so you know, I can't dance at all.\You know what my class is, don't you? response:	Class?
context: Then, since you're being a good boy, I'll give you a magic present!\H-Henrietta...\Shiroe, smile.\Thrust out your chest.\Put your hand on my hip.\Just so you know, I can't dance at all.\You know what my class is, don't you?\Class? response:	That's right.
context: H-Henrietta...\Shiroe, smile.\Thrust out your chest.\Put your hand on my hip.\Just so you know, I can't dance at all.\You know what my class is, don't you?\Class?\That's right. response:	I am a bard.
context: Shiroe, smile.\Thrust out your chest.\Put your hand on my hip.\Just so you know, I can't dance at all.\You know what my class is, don't you?\Class?\That's right.\I am a bard. response:	Now, then...
context: Thrust out your chest.\Put your hand on my hip.\Just so you know, I can't dance at all.\You know what my class is, don't you?\Class?\That's right.\I am a bard.\Now, then... response:	Let's dance.
context: Put your hand on my hip.\Just so you know, I can't dance at all.\You know what my class is, don't you?\Class?\That's right.\I am a bard.\Now, then...\Let's dance. response:	So you are a bard, Miss Isuzu?
context: Just so you know, I can't dance at all.\You know what my class is, don't you?\Class?\That's right.\I am a bard.\Now, then...\Let's dance.\So you are a bard, Miss Isuzu? response:	Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance
context: You know what my class is, don't you?\Class?\That's right.\I am a bard.\Now, then...\Let's dance.\So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance response:	What an elegant sound...
context: Class?\That's right.\I am a bard.\Now, then...\Let's dance.\So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound... response:	It perfectly suits this clear night air!
context: That's right.\I am a bard.\Now, then...\Let's dance.\So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound...\It perfectly suits this clear night air! response:	You're exaggerating...
context: I am a bard.\Now, then...\Let's dance.\So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound...\It perfectly suits this clear night air!\You're exaggerating... response:	Um, what's a bard?
context: Now, then...\Let's dance.\So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound...\It perfectly suits this clear night air!\You're exaggerating...\Um, what's a bard? response:	One of the weapon-based offensive classes.
context: Let's dance.\So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound...\It perfectly suits this clear night air!\You're exaggerating...\Um, what's a bard?\One of the weapon-based offensive classes. response:	But unlike the assassin or swashbuckler, they play a support role.
context: So you are a bard, Miss Isuzu?\Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound...\It perfectly suits this clear night air!\You're exaggerating...\Um, what's a bard?\One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role. response:	Support? Like an enchanter?
context: Isuzu Race/ Human Bard, Lv. 24 Crescent Moon Alliance\What an elegant sound...\It perfectly suits this clear night air!\You're exaggerating...\Um, what's a bard?\One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter? response:	Um...
context: What an elegant sound...\It perfectly suits this clear night air!\You're exaggerating...\Um, what's a bard?\One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter?\Um... response:	They specialize in lowering enemy stats or enhancing their allies' abilities.
context: It perfectly suits this clear night air!\You're exaggerating...\Um, what's a bard?\One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter?\Um...\They specialize in lowering enemy stats or enhancing their allies' abilities. response:	Or so I've heard.
context: You're exaggerating...\Um, what's a bard?\One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter?\Um...\They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard. response:	That's a very bland explanation.
context: Um, what's a bard?\One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter?\Um...\They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard.\That's a very bland explanation. response:	The difference between bards and enchanters is that they use music.
context: One of the weapon-based offensive classes.\But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter?\Um...\They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard.\That's a very bland explanation.\The difference between bards and enchanters is that they use music. response:	One trait that distinguishes them is the long duration of many of their abilities.
context: But unlike the assassin or swashbuckler, they play a support role.\Support? Like an enchanter?\Um...\They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard.\That's a very bland explanation.\The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities. response:	Think you've got it, Shiroe?
context: Support? Like an enchanter?\Um...\They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard.\That's a very bland explanation.\The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe? response:	Mostly...
context: Um...\They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard.\That's a very bland explanation.\The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe?\Mostly... response:	Basically, it's like any other rhythm game.
context: They specialize in lowering enemy stats or enhancing their allies' abilities.\Or so I've heard.\That's a very bland explanation.\The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe?\Mostly...\Basically, it's like any other rhythm game. response:	Right step.
context: Or so I've heard.\That's a very bland explanation.\The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe?\Mostly...\Basically, it's like any other rhythm game.\Right step. response:	Right forward.
context: That's a very bland explanation.\The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe?\Mostly...\Basically, it's like any other rhythm game.\Right step.\Right forward. response:	Half turn!
context: The difference between bards and enchanters is that they use music.\One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe?\Mostly...\Basically, it's like any other rhythm game.\Right step.\Right forward.\Half turn! response:	That's it.
context: One trait that distinguishes them is the long duration of many of their abilities.\Think you've got it, Shiroe?\Mostly...\Basically, it's like any other rhythm game.\Right step.\Right forward.\Half turn!\That's it. response:	Got it, teacher.
context: Think you've got it, Shiroe?\Mostly...\Basically, it's like any other rhythm game.\Right step.\Right forward.\Half turn!\That's it.\Got it, teacher. response:	Oh, my.
context: Mostly...\Basically, it's like any other rhythm game.\Right step.\Right forward.\Half turn!\That's it.\Got it, teacher.\Oh, my. response:	Music, huh?
context: Basically, it's like any other rhythm game.\Right step.\Right forward.\Half turn!\That's it.\Got it, teacher.\Oh, my.\Music, huh? response:	I'd forgotten about it.
context: Right step.\Right forward.\Half turn!\That's it.\Got it, teacher.\Oh, my.\Music, huh?\I'd forgotten about it. response:	Hey, wait
context: Right forward.\Half turn!\That's it.\Got it, teacher.\Oh, my.\Music, huh?\I'd forgotten about it.\Hey, wait response:	Ow...
context: Half turn!\That's it.\Got it, teacher.\Oh, my.\Music, huh?\I'd forgotten about it.\Hey, wait\Ow... response:	Are you hurt?
context: That's it.\Got it, teacher.\Oh, my.\Music, huh?\I'd forgotten about it.\Hey, wait\Ow...\Are you hurt? response:	I'm fine.
context: Got it, teacher.\Oh, my.\Music, huh?\I'd forgotten about it.\Hey, wait\Ow...\Are you hurt?\I'm fine. response:	Huh? Where are you from?
context: Oh, my.\Music, huh?\I'd forgotten about it.\Hey, wait\Ow...\Are you hurt?\I'm fine.\Huh? Where are you from? response:	Play with us!
context: Music, huh?\I'd forgotten about it.\Hey, wait\Ow...\Are you hurt?\I'm fine.\Huh? Where are you from?\Play with us! response:	It's boring hanging around the grown-ups, right?
context: I'd forgotten about it.\Hey, wait\Ow...\Are you hurt?\I'm fine.\Huh? Where are you from?\Play with us!\It's boring hanging around the grown-ups, right? response:	We're playing hide-and-seek.
context: Hey, wait\Ow...\Are you hurt?\I'm fine.\Huh? Where are you from?\Play with us!\It's boring hanging around the grown-ups, right?\We're playing hide-and-seek. response:	Hurry! Hurry!
context: Ow...\Are you hurt?\I'm fine.\Huh? Where are you from?\Play with us!\It's boring hanging around the grown-ups, right?\We're playing hide-and-seek.\Hurry! Hurry! response:	She disappeared!
context: Are you hurt?\I'm fine.\Huh? Where are you from?\Play with us!\It's boring hanging around the grown-ups, right?\We're playing hide-and-seek.\Hurry! Hurry!\She disappeared! response:	Wow!
context: I'm fine.\Huh? Where are you from?\Play with us!\It's boring hanging around the grown-ups, right?\We're playing hide-and-seek.\Hurry! Hurry!\She disappeared!\Wow! response:	She's a genius at hide-and-seek!
context: Huh? Where are you from?\Play with us!\It's boring hanging around the grown-ups, right?\We're playing hide-and-seek.\Hurry! Hurry!\She disappeared!\Wow!\She's a genius at hide-and-seek! response:	I'm exhausted.
context: Play with us!\It's boring hanging around the grown-ups, right?\We're playing hide-and-seek.\Hurry! Hurry!\She disappeared!\Wow!\She's a genius at hide-and-seek!\I'm exhausted. response:	Yes?
context: It's boring hanging around the grown-ups, right?\We're playing hide-and-seek.\Hurry! Hurry!\She disappeared!\Wow!\She's a genius at hide-and-seek!\I'm exhausted.\Yes? response:	Shiroe?
context: We're playing hide-and-seek.\Hurry! Hurry!\She disappeared!\Wow!\She's a genius at hide-and-seek!\I'm exhausted.\Yes?\Shiroe? response:	Can you talk right now?
context: Hurry! Hurry!\She disappeared!\Wow!\She's a genius at hide-and-seek!\I'm exhausted.\Yes?\Shiroe?\Can you talk right now? response:	Oh, Minori...
context: She disappeared!\Wow!\She's a genius at hide-and-seek!\I'm exhausted.\Yes?\Shiroe?\Can you talk right now?\Oh, Minori... response:	What's up?
context: Wow!\She's a genius at hide-and-seek!\I'm exhausted.\Yes?\Shiroe?\Can you talk right now?\Oh, Minori...\What's up? response:	Tomorrow, we're going to a dungeon.
context: She's a genius at hide-and-seek!\I'm exhausted.\Yes?\Shiroe?\Can you talk right now?\Oh, Minori...\What's up?\Tomorrow, we're going to a dungeon. response:	Worried?
context: I'm exhausted.\Yes?\Shiroe?\Can you talk right now?\Oh, Minori...\What's up?\Tomorrow, we're going to a dungeon.\Worried? response:	It's true that at your current level, it may be a bit rough...
context: Yes?\Shiroe?\Can you talk right now?\Oh, Minori...\What's up?\Tomorrow, we're going to a dungeon.\Worried?\It's true that at your current level, it may be a bit rough... response:	I'm worried I'll slow everyone down.
context: Shiroe?\Can you talk right now?\Oh, Minori...\What's up?\Tomorrow, we're going to a dungeon.\Worried?\It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down. response:	Naotsugu and the other trainers won't be there...
context: Can you talk right now?\Oh, Minori...\What's up?\Tomorrow, we're going to a dungeon.\Worried?\It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there... response:	Listen to me, Minori...
context: Oh, Minori...\What's up?\Tomorrow, we're going to a dungeon.\Worried?\It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there...\Listen to me, Minori... response:	You aren't alone.
context: What's up?\Tomorrow, we're going to a dungeon.\Worried?\It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there...\Listen to me, Minori...\You aren't alone. response:	And there's more to a battle than your level.
context: Tomorrow, we're going to a dungeon.\Worried?\It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there...\Listen to me, Minori...\You aren't alone.\And there's more to a battle than your level. response:	Do you remember the basics of party combat that I taught you?
context: Worried?\It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there...\Listen to me, Minori...\You aren't alone.\And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you? response:	Oh, yes... Just a second...
context: It's true that at your current level, it may be a bit rough...\I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there...\Listen to me, Minori...\You aren't alone.\And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second... response:	Formation, operator, field monitor... And patrol teams, right?
context: I'm worried I'll slow everyone down.\Naotsugu and the other trainers won't be there...\Listen to me, Minori...\You aren't alone.\And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right? response:	If you remember that, you'll be all right.
context: Naotsugu and the other trainers won't be there...\Listen to me, Minori...\You aren't alone.\And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right. response:	You can do it.
context: Listen to me, Minori...\You aren't alone.\And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right.\You can do it. response:	Yeah!
context: You aren't alone.\And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right.\You can do it.\Yeah! response:	I know I should understand...
