context: As you are aware, response:	you have final exams starting next month.
context: As you are aware,\you have final exams starting next month. response:	Right?
context: As you are aware,\you have final exams starting next month.\Right? response:	So, I think you know what I'm getting at,
context: As you are aware,\you have final exams starting next month.\Right?\So, I think you know what I'm getting at, response:	but if you fail any subjects...
context: As you are aware,\you have final exams starting next month.\Right?\So, I think you know what I'm getting at,\but if you fail any subjects... response:	Supplementary classes will be held on weekends.
context: As you are aware,\you have final exams starting next month.\Right?\So, I think you know what I'm getting at,\but if you fail any subjects...\Supplementary classes will be held on weekends. response:	Sometimes, they may be held during summer vacation, too.
context: As you are aware,\you have final exams starting next month.\Right?\So, I think you know what I'm getting at,\but if you fail any subjects...\Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too. response:	Participating in club activities would prove quit difficult.
context: As you are aware,\you have final exams starting next month.\Right?\So, I think you know what I'm getting at,\but if you fail any subjects...\Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult. response:	Hey! There's nowhere to run!
context: you have final exams starting next month.\Right?\So, I think you know what I'm getting at,\but if you fail any subjects...\Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult.\Hey! There's nowhere to run! response:	Ennoshita, catch them!
context: Right?\So, I think you know what I'm getting at,\but if you fail any subjects...\Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult.\Hey! There's nowhere to run!\Ennoshita, catch them! response:	Got it!
context: So, I think you know what I'm getting at,\but if you fail any subjects...\Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult.\Hey! There's nowhere to run!\Ennoshita, catch them!\Got it! response:	Fail... Fail...
context: but if you fail any subjects...\Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult.\Hey! There's nowhere to run!\Ennoshita, catch them!\Got it!\Fail... Fail... response:	What counts as a failing grade?
context: Supplementary classes will be held on weekends.\Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult.\Hey! There's nowhere to run!\Ennoshita, catch them!\Got it!\Fail... Fail...\What counts as a failing grade? response:	That's your question?
context: Sometimes, they may be held during summer vacation, too.\Participating in club activities would prove quit difficult.\Hey! There's nowhere to run!\Ennoshita, catch them!\Got it!\Fail... Fail...\What counts as a failing grade?\That's your question? response:	Kageyama's not breathing!
context: Participating in club activities would prove quit difficult.\Hey! There's nowhere to run!\Ennoshita, catch them!\Got it!\Fail... Fail...\What counts as a failing grade?\That's your question?\Kageyama's not breathing! response:	Since we said we were going to continue club activities,
context: Hey! There's nowhere to run!\Ennoshita, catch them!\Got it!\Fail... Fail...\What counts as a failing grade?\That's your question?\Kageyama's not breathing!\Since we said we were going to continue club activities, response:	we have to at least make decent grades.
context: Ennoshita, catch them!\Got it!\Fail... Fail...\What counts as a failing grade?\That's your question?\Kageyama's not breathing!\Since we said we were going to continue club activities,\we have to at least make decent grades. response:	You shouldn't fail.
context: Got it!\Fail... Fail...\What counts as a failing grade?\That's your question?\Kageyama's not breathing!\Since we said we were going to continue club activities,\we have to at least make decent grades.\You shouldn't fail. response:	Nope.
context: Fail... Fail...\What counts as a failing grade?\That's your question?\Kageyama's not breathing!\Since we said we were going to continue club activities,\we have to at least make decent grades.\You shouldn't fail.\Nope. response:	M-Maybe if we beg the vice principal...
context: What counts as a failing grade?\That's your question?\Kageyama's not breathing!\Since we said we were going to continue club activities,\we have to at least make decent grades.\You shouldn't fail.\Nope.\M-Maybe if we beg the vice principal... response:	Why don't you try really hard and not fail the exam?
context: That's your question?\Kageyama's not breathing!\Since we said we were going to continue club activities,\we have to at least make decent grades.\You shouldn't fail.\Nope.\M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam? response:	Even if we get the vice principal's permission,
context: Kageyama's not breathing!\Since we said we were going to continue club activities,\we have to at least make decent grades.\You shouldn't fail.\Nope.\M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission, response:	if you have to take supplementary classes, those will take priority.
context: Since we said we were going to continue club activities,\we have to at least make decent grades.\You shouldn't fail.\Nope.\M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority. response:	Coach!
context: we have to at least make decent grades.\You shouldn't fail.\Nope.\M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority.\Coach! response:	W-Well, this isn't something you're gonna be able to avoid as a student.
context: You shouldn't fail.\Nope.\M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority.\Coach!\W-Well, this isn't something you're gonna be able to avoid as a student. response:	But...
context: Nope.\M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority.\Coach!\W-Well, this isn't something you're gonna be able to avoid as a student.\But... response:	You need willpower! You need to believe you can do it!
context: M-Maybe if we beg the vice principal...\Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority.\Coach!\W-Well, this isn't something you're gonna be able to avoid as a student.\But...\You need willpower! You need to believe you can do it! response:	Mind over matter?!
context: Why don't you try really hard and not fail the exam?\Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority.\Coach!\W-Well, this isn't something you're gonna be able to avoid as a student.\But...\You need willpower! You need to believe you can do it!\Mind over matter?! response:	No, that's fine.
