context: I was being too selfish and couldn't realize how lost and confused you were. response:	I'm not lost or confused.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused. response:	I have no intention of splitting up with you.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused.\I have no intention of splitting up with you. response:	Don't worry about me, and really think about it.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused.\I have no intention of splitting up with you.\Don't worry about me, and really think about it. response:	Right now, you really need to think about what's important to you and what you should do.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused.\I have no intention of splitting up with you.\Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do. response:	I'll be all right.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused.\I have no intention of splitting up with you.\Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do.\I'll be all right. response:	No matter what choice you make, I'll wait.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused.\I have no intention of splitting up with you.\Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do.\I'll be all right.\No matter what choice you make, I'll wait. response:	We can't break away from each other so easily anymore.
context: I was being too selfish and couldn't realize how lost and confused you were.\I'm not lost or confused.\I have no intention of splitting up with you.\Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do.\I'll be all right.\No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore. response:	Usotsuki na anata nakimushi no atashi
context: I'm not lost or confused.\I have no intention of splitting up with you.\Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do.\I'll be all right.\No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: I have no intention of splitting up with you.\Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do.\I'll be all right.\No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Don't worry about me, and really think about it.\Right now, you really need to think about what's important to you and what you should do.\I'll be all right.\No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Right now, you really need to think about what's important to you and what you should do.\I'll be all right.\No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: I'll be all right.\No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: No matter what choice you make, I'll wait.\We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: We can't break away from each other so easily anymore.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 25 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ... response:	Isn't it still early to be looking at the exam prep books?
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ...\Isn't it still early to be looking at the exam prep books? response:	I wanted to see the questions they've asked in previous years.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ...\Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years. response:	J University... J University...
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ...\Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years.\J University... J University... response:	I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ...\Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years.\J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do... response:	Here you go.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ...\Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years.\J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go. response:	Thanks.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 25 ...\Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years.\J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go.\Thanks. response:	Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.
context: Episode 25 ...\Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years.\J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go.\Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way. response:	I heard their English exam's really hard, so I'm kinda worried about how much I need to know...
context: Isn't it still early to be looking at the exam prep books?\I wanted to see the questions they've asked in previous years.\J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go.\Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know... response:	Let's see.
context: I wanted to see the questions they've asked in previous years.\J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go.\Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see. response:	Takahashi... if you actually get into J University, I'll respect you for the rest of my life.
context: J University... J University...\I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go.\Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life. response:	Don't you mean you'll have the privilege of respecting me?
context: I'm not sure if she hasn't decided yet, of if he still doesn't know what to do...\Here you go.\Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me? response:	Christmas is doomsday...
context: Here you go.\Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday... response:	Huh? But isn't Yano moving on the 24th?
context: Thanks.\Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday...\Huh? But isn't Yano moving on the 24th? response:	And he still hasn't given you an answer?
