context: How beautiful. response:	This must be'
context: How beautiful.\This must be' response:	Must be'
context: How beautiful.\This must be'\Must be' response:	It must be?
context: How beautiful.\This must be'\Must be'\It must be? response:	Umm'
context: How beautiful.\This must be'\Must be'\It must be?\Umm' response:	What a rude person you are.
context: How beautiful.\This must be'\Must be'\It must be?\Umm'\What a rude person you are. response:	What kind of voice is that to have when you see somebody's face?
context: How beautiful.\This must be'\Must be'\It must be?\Umm'\What a rude person you are.\What kind of voice is that to have when you see somebody's face? response:	It was because you were so close all of a sudden.
context: How beautiful.\This must be'\Must be'\It must be?\Umm'\What a rude person you are.\What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden. response:	You can't sleep in forever
context: This must be'\Must be'\It must be?\Umm'\What a rude person you are.\What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden.\You can't sleep in forever response:	just because it's Summer vacation.
context: Must be'\It must be?\Umm'\What a rude person you are.\What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden.\You can't sleep in forever\just because it's Summer vacation. response:	I was just about to wake you up.
context: It must be?\Umm'\What a rude person you are.\What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden.\You can't sleep in forever\just because it's Summer vacation.\I was just about to wake you up. response:	So, it must be what?
context: Umm'\What a rude person you are.\What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden.\You can't sleep in forever\just because it's Summer vacation.\I was just about to wake you up.\So, it must be what? response:	I forgot.
context: What a rude person you are.\What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden.\You can't sleep in forever\just because it's Summer vacation.\I was just about to wake you up.\So, it must be what?\I forgot. response:	You surprised me, so I forgot what it was.
context: What kind of voice is that to have when you see somebody's face?\It was because you were so close all of a sudden.\You can't sleep in forever\just because it's Summer vacation.\I was just about to wake you up.\So, it must be what?\I forgot.\You surprised me, so I forgot what it was. response:	Hey, hey. Dreams are important.
context: It was because you were so close all of a sudden.\You can't sleep in forever\just because it's Summer vacation.\I was just about to wake you up.\So, it must be what?\I forgot.\You surprised me, so I forgot what it was.\Hey, hey. Dreams are important. response:	Especially the dreams of those
context: You can't sleep in forever\just because it's Summer vacation.\I was just about to wake you up.\So, it must be what?\I forgot.\You surprised me, so I forgot what it was.\Hey, hey. Dreams are important.\Especially the dreams of those response:	with power have a high chance of being a premonition.
context: just because it's Summer vacation.\I was just about to wake you up.\So, it must be what?\I forgot.\You surprised me, so I forgot what it was.\Hey, hey. Dreams are important.\Especially the dreams of those\with power have a high chance of being a premonition. response:	You have to remember them.
context: I was just about to wake you up.\So, it must be what?\I forgot.\You surprised me, so I forgot what it was.\Hey, hey. Dreams are important.\Especially the dreams of those\with power have a high chance of being a premonition.\You have to remember them. response:	Yeah.
