context: What should I do for training? response:	W- what should I do to train?
context: What should I do for training?\W- what should I do to train? response:	To begin with, you don't need to do anything. Just live.
context: What should I do for training?\W- what should I do to train?\To begin with, you don't need to do anything. Just live. response:	Live?
context: What should I do for training?\W- what should I do to train?\To begin with, you don't need to do anything. Just live.\Live? response:	Right. Try surviving all by yourself without anything happening to you.
context: What should I do for training?\W- what should I do to train?\To begin with, you don't need to do anything. Just live.\Live?\Right. Try surviving all by yourself without anything happening to you. response:	If you can survive without incident for six months, I'll teach you how to fight.
context: What should I do for training?\W- what should I do to train?\To begin with, you don't need to do anything. Just live.\Live?\Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight. response:	Six months, by myself, in this place?
context: What should I do for training?\W- what should I do to train?\To begin with, you don't need to do anything. Just live.\Live?\Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place? response:	No way! I'll die of loneliness!
context: What should I do for training?\W- what should I do to train?\To begin with, you don't need to do anything. Just live.\Live?\Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place?\No way! I'll die of loneliness! response:	You won't be lonesome.
context: W- what should I do to train?\To begin with, you don't need to do anything. Just live.\Live?\Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place?\No way! I'll die of loneliness!\You won't be lonesome. response:	This place is teaming with beasts that are thirsting for blood.
context: To begin with, you don't need to do anything. Just live.\Live?\Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place?\No way! I'll die of loneliness!\You won't be lonesome.\This place is teaming with beasts that are thirsting for blood. response:	No, don't do this! Don't leave me here!
context: Live?\Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place?\No way! I'll die of loneliness!\You won't be lonesome.\This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here! response:	Right now, you don't have time to be spoiled!
context: Right. Try surviving all by yourself without anything happening to you.\If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place?\No way! I'll die of loneliness!\You won't be lonesome.\This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled! response:	But...
context: If you can survive without incident for six months, I'll teach you how to fight.\Six months, by myself, in this place?\No way! I'll die of loneliness!\You won't be lonesome.\This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled!\But... response:	Survive somehow for the next six months, and make yourself tougher,
context: Six months, by myself, in this place?\No way! I'll die of loneliness!\You won't be lonesome.\This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled!\But...\Survive somehow for the next six months, and make yourself tougher, response:	both physically and mentally.
context: No way! I'll die of loneliness!\You won't be lonesome.\This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled!\But...\Survive somehow for the next six months, and make yourself tougher,\both physically and mentally. response:	Do not forget that you hold the key to earth's fate in your hand.
context: You won't be lonesome.\This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled!\But...\Survive somehow for the next six months, and make yourself tougher,\both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand. response:	Believe in your own power.
context: This place is teaming with beasts that are thirsting for blood.\No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled!\But...\Survive somehow for the next six months, and make yourself tougher,\both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power. response:	And learn some way to effectively draw out that power.
context: No, don't do this! Don't leave me here!\Right now, you don't have time to be spoiled!\But...\Survive somehow for the next six months, and make yourself tougher,\both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power.\And learn some way to effectively draw out that power. response:	But I...
context: Right now, you don't have time to be spoiled!\But...\Survive somehow for the next six months, and make yourself tougher,\both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power.\And learn some way to effectively draw out that power.\But I... response:	See you later. Oh, right, right.
context: But...\Survive somehow for the next six months, and make yourself tougher,\both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power.\And learn some way to effectively draw out that power.\But I...\See you later. Oh, right, right. response:	Don't think about trying to escape from here.
context: Survive somehow for the next six months, and make yourself tougher,\both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power.\And learn some way to effectively draw out that power.\But I...\See you later. Oh, right, right.\Don't think about trying to escape from here. response:	This place is surrounded by nothing but expansive hellish desert.
