context: Are you human or a Corpse?! response:	I'm neither!
context: Are you human or a Corpse?!\I'm neither! response:	I'm a Corpseless!
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless! response:	Help me.
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Help me. response:	Help me.
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Help me.\Help me. response:	I did it.
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Help me.\Help me.\I did it. response:	I did it!
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Help me.\Help me.\I did it.\I did it! response:	I stopped it.
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\Help me.\Help me.\I did it.\I did it!\I stopped it. response:	I didn't turn into a Corpse!
context: I'm neither!\I'm a Corpseless!\Help me.\Help me.\I did it.\I did it!\I stopped it.\I didn't turn into a Corpse! response:	Ikoma!
context: I'm a Corpseless!\Help me.\Help me.\I did it.\I did it!\I stopped it.\I didn't turn into a Corpse!\Ikoma! response:	Are you here?!
context: Help me.\Help me.\I did it.\I did it!\I stopped it.\I didn't turn into a Corpse!\Ikoma!\Are you here?! response:	What is this?
context: Help me.\I did it.\I did it!\I stopped it.\I didn't turn into a Corpse!\Ikoma!\Are you here?!\What is this? response:	Takumi!
context: I did it.\I did it!\I stopped it.\I didn't turn into a Corpse!\Ikoma!\Are you here?!\What is this?\Takumi! response:	The piercing gun was a success!
context: I did it!\I stopped it.\I didn't turn into a Corpse!\Ikoma!\Are you here?!\What is this?\Takumi!\The piercing gun was a success! response:	Ikoma, what?!
context: I stopped it.\I didn't turn into a Corpse!\Ikoma!\Are you here?!\What is this?\Takumi!\The piercing gun was a success!\Ikoma, what?! response:	It was a success!
context: I didn't turn into a Corpse!\Ikoma!\Are you here?!\What is this?\Takumi!\The piercing gun was a success!\Ikoma, what?!\It was a success! response:	When I increased the explosives, the metal steam became pointed like a needle!
context: Ikoma!\Are you here?!\What is this?\Takumi!\The piercing gun was a success!\Ikoma, what?!\It was a success!\When I increased the explosives, the metal steam became pointed like a needle! response:	You were right!
context: Are you here?!\What is this?\Takumi!\The piercing gun was a success!\Ikoma, what?!\It was a success!\When I increased the explosives, the metal steam became pointed like a needle!\You were right! response:	So then that Corpse there...?
context: What is this?\Takumi!\The piercing gun was a success!\Ikoma, what?!\It was a success!\When I increased the explosives, the metal steam became pointed like a needle!\You were right!\So then that Corpse there...? response:	That's right.
context: Takumi!\The piercing gun was a success!\Ikoma, what?!\It was a success!\When I increased the explosives, the metal steam became pointed like a needle!\You were right!\So then that Corpse there...?\That's right. response:	I killed him!
context: The piercing gun was a success!\Ikoma, what?!\It was a success!\When I increased the explosives, the metal steam became pointed like a needle!\You were right!\So then that Corpse there...?\That's right.\I killed him! response:	Then you weren't hurt?
context: Ikoma, what?!\It was a success!\When I increased the explosives, the metal steam became pointed like a needle!\You were right!\So then that Corpse there...?\That's right.\I killed him!\Then you weren't hurt? response:	No.
context: It was a success!\When I increased the explosives, the metal steam became pointed like a needle!\You were right!\So then that Corpse there...?\That's right.\I killed him!\Then you weren't hurt?\No. response:	The Corpse bit me.
context: When I increased the explosives, the metal steam became pointed like a needle!\You were right!\So then that Corpse there...?\That's right.\I killed him!\Then you weren't hurt?\No.\The Corpse bit me. response:	Huh?
context: You were right!\So then that Corpse there...?\That's right.\I killed him!\Then you weren't hurt?\No.\The Corpse bit me.\Huh? response:	I got bit.
context: So then that Corpse there...?\That's right.\I killed him!\Then you weren't hurt?\No.\The Corpse bit me.\Huh?\I got bit. response:	Huh?!
context: That's right.\I killed him!\Then you weren't hurt?\No.\The Corpse bit me.\Huh?\I got bit.\Huh?! response:	Oh, but it's fine.
