context: Look, Kaoru-san! response:	It's...
context: Look, Kaoru-san!\It's... response:	Shop Closed Today
context: Look, Kaoru-san!\It's...\Shop Closed Today response:	Richie!
context: Look, Kaoru-san!\It's...\Shop Closed Today\Richie! response:	What are you just standin' there for? Hey!
context: Look, Kaoru-san!\It's...\Shop Closed Today\Richie!\What are you just standin' there for? Hey! response:	Ri'ko, how about openin' the door?!
context: Look, Kaoru-san!\It's...\Shop Closed Today\Richie!\What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?! response:	It's open.
context: Look, Kaoru-san!\It's...\Shop Closed Today\Richie!\What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?!\It's open. response:	What's with her?
context: Look, Kaoru-san!\It's...\Shop Closed Today\Richie!\What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?!\It's open.\What's with her? response:	Huh? Ritsuko-chan?
context: It's...\Shop Closed Today\Richie!\What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?!\It's open.\What's with her?\Huh? Ritsuko-chan? response:	Yurika-san!
context: Shop Closed Today\Richie!\What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?!\It's open.\What's with her?\Huh? Ritsuko-chan?\Yurika-san! response:	I love the cakes here.
context: Richie!\What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?!\It's open.\What's with her?\Huh? Ritsuko-chan?\Yurika-san!\I love the cakes here. response:	Do you come here often, too?
context: What are you just standin' there for? Hey!\Ri'ko, how about openin' the door?!\It's open.\What's with her?\Huh? Ritsuko-chan?\Yurika-san!\I love the cakes here.\Do you come here often, too? response:	Uh-huh. This is Brother Jun's family's shop.
context: Ri'ko, how about openin' the door?!\It's open.\What's with her?\Huh? Ritsuko-chan?\Yurika-san!\I love the cakes here.\Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop. response:	Oh... I had no idea...
context: It's open.\What's with her?\Huh? Ritsuko-chan?\Yurika-san!\I love the cakes here.\Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea... response:	Um... Yurika-san...
context: What's with her?\Huh? Ritsuko-chan?\Yurika-san!\I love the cakes here.\Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea...\Um... Yurika-san... response:	If you'd like, why don't you come over to my place to watch them practice?
context: Huh? Ritsuko-chan?\Yurika-san!\I love the cakes here.\Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea...\Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice? response:	Shirayuri
context: Yurika-san!\I love the cakes here.\Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea...\Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice?\Shirayuri response:	It's over... She hates me...
context: I love the cakes here.\Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea...\Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice?\Shirayuri\It's over... She hates me... response:	What is that, avant-garde?
context: Do you come here often, too?\Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea...\Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice?\Shirayuri\It's over... She hates me...\What is that, avant-garde? response:	Come on, Richie. Get your head on straight.
context: Uh-huh. This is Brother Jun's family's shop.\Oh... I had no idea...\Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice?\Shirayuri\It's over... She hates me...\What is that, avant-garde?\Come on, Richie. Get your head on straight. response:	How we gonna have a session?
context: Oh... I had no idea...\Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice?\Shirayuri\It's over... She hates me...\What is that, avant-garde?\Come on, Richie. Get your head on straight.\How we gonna have a session? response:	Everyone, Yurika-san is here!
context: Um... Yurika-san...\If you'd like, why don't you come over to my place to watch them practice?\Shirayuri\It's over... She hates me...\What is that, avant-garde?\Come on, Richie. Get your head on straight.\How we gonna have a session?\Everyone, Yurika-san is here! response:	Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?
context: If you'd like, why don't you come over to my place to watch them practice?\Shirayuri\It's over... She hates me...\What is that, avant-garde?\Come on, Richie. Get your head on straight.\How we gonna have a session?\Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here? response:	Yurika-san is our friend, so I'm sure Dad wouldn't mind.
context: Shirayuri\It's over... She hates me...\What is that, avant-garde?\Come on, Richie. Get your head on straight.\How we gonna have a session?\Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind. response:	Well, Yurika-san, enjoy.
context: It's over... She hates me...\What is that, avant-garde?\Come on, Richie. Get your head on straight.\How we gonna have a session?\Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy. response:	O-Okay...
