context: TS response:	OP
context: TS\OP response:	I hope Noah is okay...
context: TS\OP\I hope Noah is okay... response:	If only we had a space suit for him, then he could tag along too!
context: TS\OP\I hope Noah is okay...\If only we had a space suit for him, then he could tag along too! response:	This isn't a cartoon. There's no budget for that kind of stuff in real life.
context: TS\OP\I hope Noah is okay...\If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life. response:	Says the company president's daughter.
context: TS\OP\I hope Noah is okay...\If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter. response:	Seriously, cut it out.
context: TS\OP\I hope Noah is okay...\If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter.\Seriously, cut it out. response:	I wonder if Noah's lonely...
context: TS\OP\I hope Noah is okay...\If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter.\Seriously, cut it out.\I wonder if Noah's lonely... response:	It's been ages since we've seen Naru.
context: OP\I hope Noah is okay...\If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter.\Seriously, cut it out.\I wonder if Noah's lonely...\It's been ages since we've seen Naru. response:	Thank you. I can breathe painlessly now.
context: I hope Noah is okay...\If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter.\Seriously, cut it out.\I wonder if Noah's lonely...\It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now. response:	Come here.
context: If only we had a space suit for him, then he could tag along too!\This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter.\Seriously, cut it out.\I wonder if Noah's lonely...\It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now.\Come here. response:	This is so weird.
context: This isn't a cartoon. There's no budget for that kind of stuff in real life.\Says the company president's daughter.\Seriously, cut it out.\I wonder if Noah's lonely...\It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now.\Come here.\This is so weird. response:	When I'm with you, it feels like a weight is lifted off my chest.
context: Says the company president's daughter.\Seriously, cut it out.\I wonder if Noah's lonely...\It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now.\Come here.\This is so weird.\When I'm with you, it feels like a weight is lifted off my chest. response:	You aren't sick.
context: Seriously, cut it out.\I wonder if Noah's lonely...\It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now.\Come here.\This is so weird.\When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick. response:	A part of the Scub Coral is merely growing inside you.
context: I wonder if Noah's lonely...\It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now.\Come here.\This is so weird.\When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick.\A part of the Scub Coral is merely growing inside you. response:	Why are you only kind to me?
context: It's been ages since we've seen Naru.\Thank you. I can breathe painlessly now.\Come here.\This is so weird.\When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick.\A part of the Scub Coral is merely growing inside you.\Why are you only kind to me? response:	Kind? You mean me?
context: Thank you. I can breathe painlessly now.\Come here.\This is so weird.\When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick.\A part of the Scub Coral is merely growing inside you.\Why are you only kind to me?\Kind? You mean me? response:	You listen to everything I have to say, and you're always by my side.
context: Come here.\This is so weird.\When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick.\A part of the Scub Coral is merely growing inside you.\Why are you only kind to me?\Kind? You mean me?\You listen to everything I have to say, and you're always by my side. response:	I haven't even done anything in return.
context: This is so weird.\When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick.\A part of the Scub Coral is merely growing inside you.\Why are you only kind to me?\Kind? You mean me?\You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return. response:	You and I are parts of the same being.
context: When I'm with you, it feels like a weight is lifted off my chest.\You aren't sick.\A part of the Scub Coral is merely growing inside you.\Why are you only kind to me?\Kind? You mean me?\You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return.\You and I are parts of the same being. response:	We seek truth together and reject this world.
context: You aren't sick.\A part of the Scub Coral is merely growing inside you.\Why are you only kind to me?\Kind? You mean me?\You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return.\You and I are parts of the same being.\We seek truth together and reject this world. response:	You really are kind.
context: A part of the Scub Coral is merely growing inside you.\Why are you only kind to me?\Kind? You mean me?\You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return.\You and I are parts of the same being.\We seek truth together and reject this world.\You really are kind. response:	Because you haven't killed Ao either.
context: Why are you only kind to me?\Kind? You mean me?\You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return.\You and I are parts of the same being.\We seek truth together and reject this world.\You really are kind.\Because you haven't killed Ao either. response:	Fukai Ao...
context: Kind? You mean me?\You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return.\You and I are parts of the same being.\We seek truth together and reject this world.\You really are kind.\Because you haven't killed Ao either.\Fukai Ao... response:	He too will see the truth eventually.
context: You listen to everything I have to say, and you're always by my side.\I haven't even done anything in return.\You and I are parts of the same being.\We seek truth together and reject this world.\You really are kind.\Because you haven't killed Ao either.\Fukai Ao...\He too will see the truth eventually. response:	Amazing...
context: I haven't even done anything in return.\You and I are parts of the same being.\We seek truth together and reject this world.\You really are kind.\Because you haven't killed Ao either.\Fukai Ao...\He too will see the truth eventually.\Amazing... response:	Wh-What is this place?
context: You and I are parts of the same being.\We seek truth together and reject this world.\You really are kind.\Because you haven't killed Ao either.\Fukai Ao...\He too will see the truth eventually.\Amazing...\Wh-What is this place? response:	Below the Headquarters is a facility that processed and reused various materials that are found left inside the Scub Coral.
