context: Science Fell in Love, So I Tried to Prove It response:	Gone Home
context: Science Fell in Love, So I Tried to Prove It\Gone Home response:	4th dimension
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension response:	In Lab
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab response:	Rm 507
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507 response:	On Campus
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507\On Campus response:	Lecture Hall
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507\On Campus\Lecture Hall response:	We should take a moment to organize our current circumstances.
context: Science Fell in Love, So I Tried to Prove It\Gone Home\4th dimension\In Lab\Rm 507\On Campus\Lecture Hall\We should take a moment to organize our current circumstances. response:	Yes, we should.
context: Gone Home\4th dimension\In Lab\Rm 507\On Campus\Lecture Hall\We should take a moment to organize our current circumstances.\Yes, we should. response:	Love' Himuro love, Yukimura
context: 4th dimension\In Lab\Rm 507\On Campus\Lecture Hall\We should take a moment to organize our current circumstances.\Yes, we should.\Love' Himuro love, Yukimura response:	When together, heart rate increases
context: In Lab\Rm 507\On Campus\Lecture Hall\We should take a moment to organize our current circumstances.\Yes, we should.\Love' Himuro love, Yukimura\When together, heart rate increases response:	Appears in dreams
context: Rm 507\On Campus\Lecture Hall\We should take a moment to organize our current circumstances.\Yes, we should.\Love' Himuro love, Yukimura\When together, heart rate increases\Appears in dreams response:	Bewitched by the sight of him thinking
context: On Campus\Lecture Hall\We should take a moment to organize our current circumstances.\Yes, we should.\Love' Himuro love, Yukimura\When together, heart rate increases\Appears in dreams\Bewitched by the sight of him thinking response:	Being together is fun
context: Lecture Hall\We should take a moment to organize our current circumstances.\Yes, we should.\Love' Himuro love, Yukimura\When together, heart rate increases\Appears in dreams\Bewitched by the sight of him thinking\Being together is fun response:	Can't help looking at him
context: We should take a moment to organize our current circumstances.\Yes, we should.\Love' Himuro love, Yukimura\When together, heart rate increases\Appears in dreams\Bewitched by the sight of him thinking\Being together is fun\Can't help looking at him response:	Love' Kanade love, Takahashi
context: Yes, we should.\Love' Himuro love, Yukimura\When together, heart rate increases\Appears in dreams\Bewitched by the sight of him thinking\Being together is fun\Can't help looking at him\Love' Kanade love, Takahashi response:	Handsome when absorbed in something
context: Love' Himuro love, Yukimura\When together, heart rate increases\Appears in dreams\Bewitched by the sight of him thinking\Being together is fun\Can't help looking at him\Love' Kanade love, Takahashi\Handsome when absorbed in something response:	If it means being together, can work hard at anything
context: When together, heart rate increases\Appears in dreams\Bewitched by the sight of him thinking\Being together is fun\Can't help looking at him\Love' Kanade love, Takahashi\Handsome when absorbed in something\If it means being together, can work hard at anything response:	These are the components of love we have identified so far.
context: Appears in dreams\Bewitched by the sight of him thinking\Being together is fun\Can't help looking at him\Love' Kanade love, Takahashi\Handsome when absorbed in something\If it means being together, can work hard at anything\These are the components of love we have identified so far. response:	And, at this point, we haven't proven heart rate is one of the elements yet.
context: Bewitched by the sight of him thinking\Being together is fun\Can't help looking at him\Love' Kanade love, Takahashi\Handsome when absorbed in something\If it means being together, can work hard at anything\These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet. response:	Proof 3 Science-types Fell in Love, So They Try Planning a Date.
context: Being together is fun\Can't help looking at him\Love' Kanade love, Takahashi\Handsome when absorbed in something\If it means being together, can work hard at anything\These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date. response:	We don't have enough sample data to calculate the base conditions for love.
