context: Johnny! response:	Johnny!
context: Johnny!\Johnny! response:	Ow, ow, ow...
context: Johnny!\Johnny!\Ow, ow, ow... response:	A-Are you okay, Takizawa?
context: Johnny!\Johnny!\Ow, ow, ow...\A-Are you okay, Takizawa? response:	Saki...
context: Johnny!\Johnny!\Ow, ow, ow...\A-Are you okay, Takizawa?\Saki... response:	Saki! What happened to Osugi?!
context: Johnny!\Johnny!\Ow, ow, ow...\A-Are you okay, Takizawa?\Saki...\Saki! What happened to Osugi?! response:	Osugi is fine.
context: Johnny!\Johnny!\Ow, ow, ow...\A-Are you okay, Takizawa?\Saki...\Saki! What happened to Osugi?!\Osugi is fine. response:	Actually, it looks like what happened was unrelated to him.
context: Johnny!\Johnny!\Ow, ow, ow...\A-Are you okay, Takizawa?\Saki...\Saki! What happened to Osugi?!\Osugi is fine.\Actually, it looks like what happened was unrelated to him. response:	I guess I passed out...
context: Johnny!\Ow, ow, ow...\A-Are you okay, Takizawa?\Saki...\Saki! What happened to Osugi?!\Osugi is fine.\Actually, it looks like what happened was unrelated to him.\I guess I passed out... response:	When you came to the hotel, was there anyone else there?
context: Ow, ow, ow...\A-Are you okay, Takizawa?\Saki...\Saki! What happened to Osugi?!\Osugi is fine.\Actually, it looks like what happened was unrelated to him.\I guess I passed out...\When you came to the hotel, was there anyone else there? response:	No...
context: A-Are you okay, Takizawa?\Saki...\Saki! What happened to Osugi?!\Osugi is fine.\Actually, it looks like what happened was unrelated to him.\I guess I passed out...\When you came to the hotel, was there anyone else there?\No... response:	Episode 8: Searching for the Path Already Lost
context: Saki...\Saki! What happened to Osugi?!\Osugi is fine.\Actually, it looks like what happened was unrelated to him.\I guess I passed out...\When you came to the hotel, was there anyone else there?\No...\Episode 8: Searching for the Path Already Lost response:	Eden of the East
context: Saki! What happened to Osugi?!\Osugi is fine.\Actually, it looks like what happened was unrelated to him.\I guess I passed out...\When you came to the hotel, was there anyone else there?\No...\Episode 8: Searching for the Path Already Lost\Eden of the East response:	There's something wrong with the fact
context: Osugi is fine.\Actually, it looks like what happened was unrelated to him.\I guess I passed out...\When you came to the hotel, was there anyone else there?\No...\Episode 8: Searching for the Path Already Lost\Eden of the East\There's something wrong with the fact response:	that you thought I was a Johnny Hunter victim in the first place!
context: Actually, it looks like what happened was unrelated to him.\I guess I passed out...\When you came to the hotel, was there anyone else there?\No...\Episode 8: Searching for the Path Already Lost\Eden of the East\There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place! response:	I'm sorry. But the SOS was posted to that site you like, so...
context: I guess I passed out...\When you came to the hotel, was there anyone else there?\No...\Episode 8: Searching for the Path Already Lost\Eden of the East\There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so... response:	Idiot! It's a secret that I use that site!
context: When you came to the hotel, was there anyone else there?\No...\Episode 8: Searching for the Path Already Lost\Eden of the East\There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site! response:	I would've listened to your love woes anytime you wanted...
context: No...\Episode 8: Searching for the Path Already Lost\Eden of the East\There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted... response:	Oh, stop it.
context: Episode 8: Searching for the Path Already Lost\Eden of the East\There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted...\Oh, stop it. response:	Anyway, you can't say that Kasuga's mistake was completely unfounded.
context: Eden of the East\There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted...\Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded. response:	We couldn't get you on the phone, and we saw a pic of that bag.
context: There's something wrong with the fact\that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted...\Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag. response:	Anybody would've thought you were the one calling for help.
context: that you thought I was a Johnny Hunter victim in the first place!\I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted...\Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help. response:	Sure, this is the bag I lost, but still,
context: I'm sorry. But the SOS was posted to that site you like, so...\Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted...\Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still, response:	normal people'd think of other reasons I might not be answering the phone!
context: Idiot! It's a secret that I use that site!\I would've listened to your love woes anytime you wanted...\Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone! response:	The fact is, I was roped into a drinking party
context: I would've listened to your love woes anytime you wanted...\Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party response:	on the pretense of prospective employee training.
context: Oh, stop it.\Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party\on the pretense of prospective employee training. response:	So they took your cell phone away, huh? I hear you.
context: Anyway, you can't say that Kasuga's mistake was completely unfounded.\We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party\on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you. response:	But thank goodness. I'm so glad your johnny didn't get cut off!
context: We couldn't get you on the phone, and we saw a pic of that bag.\Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party\on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off! response:	Don't say that!
context: Anybody would've thought you were the one calling for help.\Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party\on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that! response:	In other words, after you left Kasuga, someone took your bag,
context: Sure, this is the bag I lost, but still,\normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party\on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that!\In other words, after you left Kasuga, someone took your bag, response:	then ran into the Johnny Hunter,
context: normal people'd think of other reasons I might not be answering the phone!\The fact is, I was roped into a drinking party\on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that!\In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter, response:	got trapped in the Hotel Insomnia, and started sending out SOS's?
context: The fact is, I was roped into a drinking party\on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that!\In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's? response:	Then Takky invaded the hotel.
context: on the pretense of prospective employee training.\So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that!\In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel. response:	But the Johnny Hunter was gone,
context: So they took your cell phone away, huh? I hear you.\But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that!\In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel.\But the Johnny Hunter was gone, response:	and all that remained were signs that someone had been confined there.
context: But thank goodness. I'm so glad your johnny didn't get cut off!\Don't say that!\In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel.\But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there. response:	WORLD VIEW NEWS
context: Don't say that!\In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel.\But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS response:	Explosion at Hotel Insomnia
context: In other words, after you left Kasuga, someone took your bag,\then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel.\But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS\Explosion at Hotel Insomnia response:	Signs Someone was Confined There
context: then ran into the Johnny Hunter,\got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel.\But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS\Explosion at Hotel Insomnia\Signs Someone was Confined There response:	Could it be the notorious Johnny Hunter?
context: got trapped in the Hotel Insomnia, and started sending out SOS's?\Then Takky invaded the hotel.\But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS\Explosion at Hotel Insomnia\Signs Someone was Confined There\Could it be the notorious Johnny Hunter? response:	Connection to the Play-by-Play Posted to a Certain Site Being Investigated
context: Then Takky invaded the hotel.\But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS\Explosion at Hotel Insomnia\Signs Someone was Confined There\Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated response:	Can I ask one question?
context: But the Johnny Hunter was gone,\and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS\Explosion at Hotel Insomnia\Signs Someone was Confined There\Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question? response:	What relationship are we going to have with this Takizawa now?
context: and all that remained were signs that someone had been confined there.\WORLD VIEW NEWS\Explosion at Hotel Insomnia\Signs Someone was Confined There\Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question?\What relationship are we going to have with this Takizawa now? response:	I have to go drop by work now.
context: WORLD VIEW NEWS\Explosion at Hotel Insomnia\Signs Someone was Confined There\Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question?\What relationship are we going to have with this Takizawa now?\I have to go drop by work now. response:	Eden of the East
context: Explosion at Hotel Insomnia\Signs Someone was Confined There\Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question?\What relationship are we going to have with this Takizawa now?\I have to go drop by work now.\Eden of the East response:	Then I'm going to go pick up Saki.
context: Signs Someone was Confined There\Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question?\What relationship are we going to have with this Takizawa now?\I have to go drop by work now.\Eden of the East\Then I'm going to go pick up Saki. response:	And if you guys are going to team up with this Takizawa guy,
context: Could it be the notorious Johnny Hunter?\Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question?\What relationship are we going to have with this Takizawa now?\I have to go drop by work now.\Eden of the East\Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy, response:	I'm sorry, but we'll probably never all meet like this again.
context: Connection to the Play-by-Play Posted to a Certain Site Being Investigated\Can I ask one question?\What relationship are we going to have with this Takizawa now?\I have to go drop by work now.\Eden of the East\Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again. response:	Why not?
context: Can I ask one question?\What relationship are we going to have with this Takizawa now?\I have to go drop by work now.\Eden of the East\Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again.\Why not? response:	Even I have my pride.
context: What relationship are we going to have with this Takizawa now?\I have to go drop by work now.\Eden of the East\Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again.\Why not?\Even I have my pride. response:	Osugi!
context: I have to go drop by work now.\Eden of the East\Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again.\Why not?\Even I have my pride.\Osugi! response:	So, what now?
context: Eden of the East\Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again.\Why not?\Even I have my pride.\Osugi!\So, what now? response:	I don't think he's a bad guy, but...
