context: Kawagoe Seminar Azumi Kotarou response:	Koumei Private High School
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School response:	I'm applying.
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School\I'm applying. response:	I haven't even told my parents yet.
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School\I'm applying.\I haven't even told my parents yet. response:	Clubs
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School\I'm applying.\I haven't even told my parents yet.\Clubs response:	All right.
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School\I'm applying.\I haven't even told my parents yet.\Clubs\All right. response:	It seems like Kotarou...
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School\I'm applying.\I haven't even told my parents yet.\Clubs\All right.\It seems like Kotarou... response:	has started studying for exams recently.
context: Kawagoe Seminar Azumi Kotarou\Koumei Private High School\I'm applying.\I haven't even told my parents yet.\Clubs\All right.\It seems like Kotarou...\has started studying for exams recently. response:	The Kawagoe Festival's over now, too.
context: Koumei Private High School\I'm applying.\I haven't even told my parents yet.\Clubs\All right.\It seems like Kotarou...\has started studying for exams recently.\The Kawagoe Festival's over now, too. response:	I suppose he's finally taking his future more seriously.
context: I'm applying.\I haven't even told my parents yet.\Clubs\All right.\It seems like Kotarou...\has started studying for exams recently.\The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously. response:	Just as Dazai said...
context: I haven't even told my parents yet.\Clubs\All right.\It seems like Kotarou...\has started studying for exams recently.\The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously.\Just as Dazai said... response:	To decide that I'm hopeless before I even begin is nothing but laziness.
context: Clubs\All right.\It seems like Kotarou...\has started studying for exams recently.\The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously.\Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness. response:	He's been so absorbed in his novels and the festival,
context: All right.\It seems like Kotarou...\has started studying for exams recently.\The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously.\Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival, response:	he wouldn't listen to me at all.
context: It seems like Kotarou...\has started studying for exams recently.\The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously.\Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all. response:	Is that so?
context: has started studying for exams recently.\The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously.\Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all.\Is that so? response:	We'd prefer it if he went to a local public school.
context: The Kawagoe Festival's over now, too.\I suppose he's finally taking his future more seriously.\Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all.\Is that so?\We'd prefer it if he went to a local public school. response:	A municipal high school would be convenient.
context: I suppose he's finally taking his future more seriously.\Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all.\Is that so?\We'd prefer it if he went to a local public school.\A municipal high school would be convenient. response:	I think that would suit his abilities, too.
context: Just as Dazai said...\To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all.\Is that so?\We'd prefer it if he went to a local public school.\A municipal high school would be convenient.\I think that would suit his abilities, too. response:	So your preference is a municipal school?
context: To decide that I'm hopeless before I even begin is nothing but laziness.\He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all.\Is that so?\We'd prefer it if he went to a local public school.\A municipal high school would be convenient.\I think that would suit his abilities, too.\So your preference is a municipal school? response:	No.
context: He's been so absorbed in his novels and the festival,\he wouldn't listen to me at all.\Is that so?\We'd prefer it if he went to a local public school.\A municipal high school would be convenient.\I think that would suit his abilities, too.\So your preference is a municipal school?\No. response:	A private school.
context: he wouldn't listen to me at all.\Is that so?\We'd prefer it if he went to a local public school.\A municipal high school would be convenient.\I think that would suit his abilities, too.\So your preference is a municipal school?\No.\A private school. response:	Koumei High School.
context: Is that so?\We'd prefer it if he went to a local public school.\A municipal high school would be convenient.\I think that would suit his abilities, too.\So your preference is a municipal school?\No.\A private school.\Koumei High School. response:	Koumei? Isn't that...
context: We'd prefer it if he went to a local public school.\A municipal high school would be convenient.\I think that would suit his abilities, too.\So your preference is a municipal school?\No.\A private school.\Koumei High School.\Koumei? Isn't that... response:	the same one as Mizuno-san?
context: A municipal high school would be convenient.\I think that would suit his abilities, too.\So your preference is a municipal school?\No.\A private school.\Koumei High School.\Koumei? Isn't that...\the same one as Mizuno-san? response:	Yeah.
context: I think that would suit his abilities, too.\So your preference is a municipal school?\No.\A private school.\Koumei High School.\Koumei? Isn't that...\the same one as Mizuno-san?\Yeah. response:	Kotarou, what is this about?
context: So your preference is a municipal school?\No.\A private school.\Koumei High School.\Koumei? Isn't that...\the same one as Mizuno-san?\Yeah.\Kotarou, what is this about? response:	Tell me!
