context: Tsuritama Episode 3 response:	I don't regret my decision to fish,
context: Tsuritama Episode 3\I don't regret my decision to fish, response:	but I don't get this at all.
context: Tsuritama Episode 3\I don't regret my decision to fish,\but I don't get this at all. response:	Lonely Casting
context: Tsuritama Episode 3\I don't regret my decision to fish,\but I don't get this at all.\Lonely Casting response:	You're doing it wrong.
context: Tsuritama Episode 3\I don't regret my decision to fish,\but I don't get this at all.\Lonely Casting\You're doing it wrong. response:	I knew you guys weren't ready for the ocean yet.
context: Tsuritama Episode 3\I don't regret my decision to fish,\but I don't get this at all.\Lonely Casting\You're doing it wrong.\I knew you guys weren't ready for the ocean yet. response:	Listen, you can't just throw your lure
context: Tsuritama Episode 3\I don't regret my decision to fish,\but I don't get this at all.\Lonely Casting\You're doing it wrong.\I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure response:	out randomly when you cast.
context: Tsuritama Episode 3\I don't regret my decision to fish,\but I don't get this at all.\Lonely Casting\You're doing it wrong.\I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure\out randomly when you cast. response:	You have to aim precisely for the fish.
context: I don't regret my decision to fish,\but I don't get this at all.\Lonely Casting\You're doing it wrong.\I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure\out randomly when you cast.\You have to aim precisely for the fish. response:	I'm not letting you fish in the ocean
context: but I don't get this at all.\Lonely Casting\You're doing it wrong.\I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure\out randomly when you cast.\You have to aim precisely for the fish.\I'm not letting you fish in the ocean response:	until you can cast into this bucket.
context: Lonely Casting\You're doing it wrong.\I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure\out randomly when you cast.\You have to aim precisely for the fish.\I'm not letting you fish in the ocean\until you can cast into this bucket. response:	Seriously?
context: You're doing it wrong.\I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure\out randomly when you cast.\You have to aim precisely for the fish.\I'm not letting you fish in the ocean\until you can cast into this bucket.\Seriously? response:	Yuki, you can do it!
context: I knew you guys weren't ready for the ocean yet.\Listen, you can't just throw your lure\out randomly when you cast.\You have to aim precisely for the fish.\I'm not letting you fish in the ocean\until you can cast into this bucket.\Seriously?\Yuki, you can do it! response:	Fine. Just watch.
context: Listen, you can't just throw your lure\out randomly when you cast.\You have to aim precisely for the fish.\I'm not letting you fish in the ocean\until you can cast into this bucket.\Seriously?\Yuki, you can do it!\Fine. Just watch. response:	I'll get it in.
context: out randomly when you cast.\You have to aim precisely for the fish.\I'm not letting you fish in the ocean\until you can cast into this bucket.\Seriously?\Yuki, you can do it!\Fine. Just watch.\I'll get it in. response:	Use this practice lure.
context: You have to aim precisely for the fish.\I'm not letting you fish in the ocean\until you can cast into this bucket.\Seriously?\Yuki, you can do it!\Fine. Just watch.\I'll get it in.\Use this practice lure. response:	I like this one.
context: I'm not letting you fish in the ocean\until you can cast into this bucket.\Seriously?\Yuki, you can do it!\Fine. Just watch.\I'll get it in.\Use this practice lure.\I like this one. response:	Don't be ridiculous!
context: until you can cast into this bucket.\Seriously?\Yuki, you can do it!\Fine. Just watch.\I'll get it in.\Use this practice lure.\I like this one.\Don't be ridiculous! response:	Okay.
context: Seriously?\Yuki, you can do it!\Fine. Just watch.\I'll get it in.\Use this practice lure.\I like this one.\Don't be ridiculous!\Okay. response:	Listen, I'm only going to say this once.
context: Yuki, you can do it!\Fine. Just watch.\I'll get it in.\Use this practice lure.\I like this one.\Don't be ridiculous!\Okay.\Listen, I'm only going to say this once. response:	First, place the line on your index finger
context: Fine. Just watch.\I'll get it in.\Use this practice lure.\I like this one.\Don't be ridiculous!\Okay.\Listen, I'm only going to say this once.\First, place the line on your index finger response:	and lift the bail.
context: I'll get it in.\Use this practice lure.\I like this one.\Don't be ridiculous!\Okay.\Listen, I'm only going to say this once.\First, place the line on your index finger\and lift the bail. response:	The line's the string?
context: Use this practice lure.\I like this one.\Don't be ridiculous!\Okay.\Listen, I'm only going to say this once.\First, place the line on your index finger\and lift the bail.\The line's the string? response:	Is this the bail?
context: I like this one.\Don't be ridiculous!\Okay.\Listen, I'm only going to say this once.\First, place the line on your index finger\and lift the bail.\The line's the string?\Is this the bail? response:	Put your other hand on the end of the grip.
context: Don't be ridiculous!\Okay.\Listen, I'm only going to say this once.\First, place the line on your index finger\and lift the bail.\The line's the string?\Is this the bail?\Put your other hand on the end of the grip. response:	Swing the rod straight back...
context: Okay.\Listen, I'm only going to say this once.\First, place the line on your index finger\and lift the bail.\The line's the string?\Is this the bail?\Put your other hand on the end of the grip.\Swing the rod straight back... response:	and let go of the line when you swing forward.
context: Listen, I'm only going to say this once.\First, place the line on your index finger\and lift the bail.\The line's the string?\Is this the bail?\Put your other hand on the end of the grip.\Swing the rod straight back...\and let go of the line when you swing forward. response:	When you're starting out, count to three as you do it.
context: First, place the line on your index finger\and lift the bail.\The line's the string?\Is this the bail?\Put your other hand on the end of the grip.\Swing the rod straight back...\and let go of the line when you swing forward.\When you're starting out, count to three as you do it. response:	One, two, three.
context: and lift the bail.\The line's the string?\Is this the bail?\Put your other hand on the end of the grip.\Swing the rod straight back...\and let go of the line when you swing forward.\When you're starting out, count to three as you do it.\One, two, three. response:	Seriously?
context: The line's the string?\Is this the bail?\Put your other hand on the end of the grip.\Swing the rod straight back...\and let go of the line when you swing forward.\When you're starting out, count to three as you do it.\One, two, three.\Seriously? response:	You're amazing, Prince!
context: Is this the bail?\Put your other hand on the end of the grip.\Swing the rod straight back...\and let go of the line when you swing forward.\When you're starting out, count to three as you do it.\One, two, three.\Seriously?\You're amazing, Prince! response:	Count out loud when you do it.
context: Put your other hand on the end of the grip.\Swing the rod straight back...\and let go of the line when you swing forward.\When you're starting out, count to three as you do it.\One, two, three.\Seriously?\You're amazing, Prince!\Count out loud when you do it. response:	Think of something to say for
context: Swing the rod straight back...\and let go of the line when you swing forward.\When you're starting out, count to three as you do it.\One, two, three.\Seriously?\You're amazing, Prince!\Count out loud when you do it.\Think of something to say for response:	each of the three beats when you cast.
context: and let go of the line when you swing forward.\When you're starting out, count to three as you do it.\One, two, three.\Seriously?\You're amazing, Prince!\Count out loud when you do it.\Think of something to say for\each of the three beats when you cast. response:	What? I have to talk out here?
context: When you're starting out, count to three as you do it.\One, two, three.\Seriously?\You're amazing, Prince!\Count out loud when you do it.\Think of something to say for\each of the three beats when you cast.\What? I have to talk out here? response:	I can't do that.
context: One, two, three.\Seriously?\You're amazing, Prince!\Count out loud when you do it.\Think of something to say for\each of the three beats when you cast.\What? I have to talk out here?\I can't do that. response:	Yuki! Haru! Prince!
context: Seriously?\You're amazing, Prince!\Count out loud when you do it.\Think of something to say for\each of the three beats when you cast.\What? I have to talk out here?\I can't do that.\Yuki! Haru! Prince! response:	Doesn't this guy have any shame?
context: You're amazing, Prince!\Count out loud when you do it.\Think of something to say for\each of the three beats when you cast.\What? I have to talk out here?\I can't do that.\Yuki! Haru! Prince!\Doesn't this guy have any shame? response:	Fishing! Fishing! Fishing!
context: Count out loud when you do it.\Think of something to say for\each of the three beats when you cast.\What? I have to talk out here?\I can't do that.\Yuki! Haru! Prince!\Doesn't this guy have any shame?\Fishing! Fishing! Fishing! response:	Eno-shima bowl.
context: Think of something to say for\each of the three beats when you cast.\What? I have to talk out here?\I can't do that.\Yuki! Haru! Prince!\Doesn't this guy have any shame?\Fishing! Fishing! Fishing!\Eno-shima bowl. response:	Enoshima bowl?
context: each of the three beats when you cast.\What? I have to talk out here?\I can't do that.\Yuki! Haru! Prince!\Doesn't this guy have any shame?\Fishing! Fishing! Fishing!\Eno-shima bowl.\Enoshima bowl? response:	Here you are.
context: What? I have to talk out here?\I can't do that.\Yuki! Haru! Prince!\Doesn't this guy have any shame?\Fishing! Fishing! Fishing!\Eno-shima bowl.\Enoshima bowl?\Here you are. response:	No way.
context: I can't do that.\Yuki! Haru! Prince!\Doesn't this guy have any shame?\Fishing! Fishing! Fishing!\Eno-shima bowl.\Enoshima bowl?\Here you are.\No way. response:	Eno-shima bowl.
context: Yuki! Haru! Prince!\Doesn't this guy have any shame?\Fishing! Fishing! Fishing!\Eno-shima bowl.\Enoshima bowl?\Here you are.\No way.\Eno-shima bowl. response:	There's no way!
context: Doesn't this guy have any shame?\Fishing! Fishing! Fishing!\Eno-shima bowl.\Enoshima bowl?\Here you are.\No way.\Eno-shima bowl.\There's no way! response:	You guys go with that.
context: Fishing! Fishing! Fishing!\Eno-shima bowl.\Enoshima bowl?\Here you are.\No way.\Eno-shima bowl.\There's no way!\You guys go with that. response:	No!
context: Eno-shima bowl.\Enoshima bowl?\Here you are.\No way.\Eno-shima bowl.\There's no way!\You guys go with that.\No! response:	Do it! Shout it!
context: Enoshima bowl?\Here you are.\No way.\Eno-shima bowl.\There's no way!\You guys go with that.\No!\Do it! Shout it! response:	Eno-shima bowl!
context: Here you are.\No way.\Eno-shima bowl.\There's no way!\You guys go with that.\No!\Do it! Shout it!\Eno-shima bowl! response:	Huh? It's not even close.
context: No way.\Eno-shima bowl.\There's no way!\You guys go with that.\No!\Do it! Shout it!\Eno-shima bowl!\Huh? It's not even close. response:	You're letting go too early.
context: Eno-shima bowl.\There's no way!\You guys go with that.\No!\Do it! Shout it!\Eno-shima bowl!\Huh? It's not even close.\You're letting go too early. response:	That's why it's going up so high.
context: There's no way!\You guys go with that.\No!\Do it! Shout it!\Eno-shima bowl!\Huh? It's not even close.\You're letting go too early.\That's why it's going up so high. response:	Enoshima bowl!
context: You guys go with that.\No!\Do it! Shout it!\Eno-shima bowl!\Huh? It's not even close.\You're letting go too early.\That's why it's going up so high.\Enoshima bowl! response:	That's too late.
context: No!\Do it! Shout it!\Eno-shima bowl!\Huh? It's not even close.\You're letting go too early.\That's why it's going up so high.\Enoshima bowl!\That's too late. response:	What? Around here, then?
context: Do it! Shout it!\Eno-shima bowl!\Huh? It's not even close.\You're letting go too early.\That's why it's going up so high.\Enoshima bowl!\That's too late.\What? Around here, then? response:	I told you, that's too early.
context: Eno-shima bowl!\Huh? It's not even close.\You're letting go too early.\That's why it's going up so high.\Enoshima bowl!\That's too late.\What? Around here, then?\I told you, that's too early. response:	I don't get this!
context: Huh? It's not even close.\You're letting go too early.\That's why it's going up so high.\Enoshima bowl!\That's too late.\What? Around here, then?\I told you, that's too early.\I don't get this! response:	Why? Why?
context: You're letting go too early.\That's why it's going up so high.\Enoshima bowl!\That's too late.\What? Around here, then?\I told you, that's too early.\I don't get this!\Why? Why? response:	Why is Haru scared of him?
context: That's why it's going up so high.\Enoshima bowl!\That's too late.\What? Around here, then?\I told you, that's too early.\I don't get this!\Why? Why?\Why is Haru scared of him? response:	Excuse me.
context: Enoshima bowl!\That's too late.\What? Around here, then?\I told you, that's too early.\I don't get this!\Why? Why?\Why is Haru scared of him?\Excuse me. response:	Oh, I'm sorry. I'll leave.
context: That's too late.\What? Around here, then?\I told you, that's too early.\I don't get this!\Why? Why?\Why is Haru scared of him?\Excuse me.\Oh, I'm sorry. I'll leave. response:	What's your name?
