context: They said they got a fiefdom, response:	so I was expecting, well, you know.
context: They said they got a fiefdom,\so I was expecting, well, you know. response:	This is the middle of nowhere.
context: They said they got a fiefdom,\so I was expecting, well, you know.\This is the middle of nowhere. response:	I don't mean to be rude,
context: They said they got a fiefdom,\so I was expecting, well, you know.\This is the middle of nowhere.\I don't mean to be rude, response:	but I wonder about the previous owner,
context: They said they got a fiefdom,\so I was expecting, well, you know.\This is the middle of nowhere.\I don't mean to be rude,\but I wonder about the previous owner, response:	letting this place go like that...
context: They said they got a fiefdom,\so I was expecting, well, you know.\This is the middle of nowhere.\I don't mean to be rude,\but I wonder about the previous owner,\letting this place go like that... response:	The old master died ten years ago
context: They said they got a fiefdom,\so I was expecting, well, you know.\This is the middle of nowhere.\I don't mean to be rude,\but I wonder about the previous owner,\letting this place go like that...\The old master died ten years ago response:	and since he had no heirs,
context: They said they got a fiefdom,\so I was expecting, well, you know.\This is the middle of nowhere.\I don't mean to be rude,\but I wonder about the previous owner,\letting this place go like that...\The old master died ten years ago\and since he had no heirs, response:	the land went into the keeping of the queen.
context: so I was expecting, well, you know.\This is the middle of nowhere.\I don't mean to be rude,\but I wonder about the previous owner,\letting this place go like that...\The old master died ten years ago\and since he had no heirs,\the land went into the keeping of the queen. response:	That's why...
context: This is the middle of nowhere.\I don't mean to be rude,\but I wonder about the previous owner,\letting this place go like that...\The old master died ten years ago\and since he had no heirs,\the land went into the keeping of the queen.\That's why... response:	The young folks have all given up their land
context: I don't mean to be rude,\but I wonder about the previous owner,\letting this place go like that...\The old master died ten years ago\and since he had no heirs,\the land went into the keeping of the queen.\That's why...\The young folks have all given up their land response:	and gone to the cities.
context: but I wonder about the previous owner,\letting this place go like that...\The old master died ten years ago\and since he had no heirs,\the land went into the keeping of the queen.\That's why...\The young folks have all given up their land\and gone to the cities. response:	All you've got left are old-timers like me,
context: letting this place go like that...\The old master died ten years ago\and since he had no heirs,\the land went into the keeping of the queen.\That's why...\The young folks have all given up their land\and gone to the cities.\All you've got left are old-timers like me, response:	scrabbling along to keep the land tilled.
