context: For one still so young, your calligraphy is highly conformist. response:	I don't know if it's better described as copybook-style,
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style, response:	or made simply to win calligraphy awards.
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards. response:	Did you even attempt to scale the wall of mediocrity?
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity? response:	Eika Prize Award Reception
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception response:	With all due respect, Director...
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception\With all due respect, Director... response:	Managing the hall for many years has given me a discerning eye.
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception\With all due respect, Director...\Managing the hall for many years has given me a discerning eye. response:	And your calligraphy is just plain dull.
context: For one still so young, your calligraphy is highly conformist.\I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception\With all due respect, Director...\Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull. response:	Say, I took these photos earlier...
context: I don't know if it's better described as copybook-style,\or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception\With all due respect, Director...\Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull.\Say, I took these photos earlier... response:	Hey! Handa!
context: or made simply to win calligraphy awards.\Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception\With all due respect, Director...\Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull.\Say, I took these photos earlier...\Hey! Handa! response:	What's wrong with my calligraphy?!
context: Did you even attempt to scale the wall of mediocrity?\Eika Prize Award Reception\With all due respect, Director...\Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull.\Say, I took these photos earlier...\Hey! Handa!\What's wrong with my calligraphy?! response:	What are you doing, you idiot?!
context: Eika Prize Award Reception\With all due respect, Director...\Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull.\Say, I took these photos earlier...\Hey! Handa!\What's wrong with my calligraphy?!\What are you doing, you idiot?! response:	Let me go! He can't insult me like that!
context: With all due respect, Director...\Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull.\Say, I took these photos earlier...\Hey! Handa!\What's wrong with my calligraphy?!\What are you doing, you idiot?!\Let me go! He can't insult me like that! response:	He doesn't even know how hard I've worked!
context: Managing the hall for many years has given me a discerning eye.\And your calligraphy is just plain dull.\Say, I took these photos earlier...\Hey! Handa!\What's wrong with my calligraphy?!\What are you doing, you idiot?!\Let me go! He can't insult me like that!\He doesn't even know how hard I've worked! response:	Ow!
context: And your calligraphy is just plain dull.\Say, I took these photos earlier...\Hey! Handa!\What's wrong with my calligraphy?!\What are you doing, you idiot?!\Let me go! He can't insult me like that!\He doesn't even know how hard I've worked!\Ow! response:	1 New Message
context: Say, I took these photos earlier...\Hey! Handa!\What's wrong with my calligraphy?!\What are you doing, you idiot?!\Let me go! He can't insult me like that!\He doesn't even know how hard I've worked!\Ow!\1 New Message response:	From Kawafuji Sub How's the island?
context: Hey! Handa!\What's wrong with my calligraphy?!\What are you doing, you idiot?!\Let me go! He can't insult me like that!\He doesn't even know how hard I've worked!\Ow!\1 New Message\From Kawafuji Sub How's the island? response:	Not much to it...
context: What's wrong with my calligraphy?!\What are you doing, you idiot?!\Let me go! He can't insult me like that!\He doesn't even know how hard I've worked!\Ow!\1 New Message\From Kawafuji Sub How's the island?\Not much to it... response:	Airport Gotou Bus
context: What are you doing, you idiot?!\Let me go! He can't insult me like that!\He doesn't even know how hard I've worked!\Ow!\1 New Message\From Kawafuji Sub How's the island?\Not much to it...\Airport Gotou Bus response:	Runs 6/14-7/31
context: Let me go! He can't insult me like that!\He doesn't even know how hard I've worked!\Ow!\1 New Message\From Kawafuji Sub How's the island?\Not much to it...\Airport Gotou Bus\Runs 6/14-7/31 response:	*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.
context: He doesn't even know how hard I've worked!\Ow!\1 New Message\From Kawafuji Sub How's the island?\Not much to it...\Airport Gotou Bus\Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended. response:	Is nobody here?
context: Ow!\1 New Message\From Kawafuji Sub How's the island?\Not much to it...\Airport Gotou Bus\Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here? response:	Barakamon
context: 1 New Message\From Kawafuji Sub How's the island?\Not much to it...\Airport Gotou Bus\Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here?\Barakamon response:	Baraka Kodon
context: From Kawafuji Sub How's the island?\Not much to it...\Airport Gotou Bus\Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here?\Barakamon\Baraka Kodon response:	Translation: Cheerful Child
context: Not much to it...\Airport Gotou Bus\Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here?\Barakamon\Baraka Kodon\Translation: Cheerful Child response:	Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei
context: Airport Gotou Bus\Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here?\Barakamon\Baraka Kodon\Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei response:	Yer lucky, sonny!
context: Runs 6/14-7/31\*Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here?\Barakamon\Baraka Kodon\Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny! response:	If I hadn't come by,
context: *Buses 1-7 only in service June 14 to July 31 Note: Bus service may be suspended in the event that flights are suspended.\Is nobody here?\Barakamon\Baraka Kodon\Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny!\If I hadn't come by, response:	it mighta taken you more'n half a day get to Nanatsutake Village!
context: Is nobody here?\Barakamon\Baraka Kodon\Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny!\If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village! response:	Huh?
