context: The one who showed up this time sure is pretentious. response:	According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium. response:	Burned to a crisp, just like the bacon I ate this morning.
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning. response:	Moratorium, huh?
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh? response:	This isn't good.
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh?\This isn't good. response:	What's going on?
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh?\This isn't good.\What's going on? response:	Why Tahara's daughter?
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh?\This isn't good.\What's going on?\Why Tahara's daughter? response:	Do you have any particular information on her?
context: The one who showed up this time sure is pretentious.\According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh?\This isn't good.\What's going on?\Why Tahara's daughter?\Do you have any particular information on her? response:	When I was a child, Papa told me there was an amulet inside that was protecting me.
context: According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.\Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh?\This isn't good.\What's going on?\Why Tahara's daughter?\Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me. response:	Information about Tahara's daughter being a contractor or something didn't exist until today.
context: Burned to a crisp, just like the bacon I ate this morning.\Moratorium, huh?\This isn't good.\What's going on?\Why Tahara's daughter?\Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today. response:	Do you know what this means?
context: Moratorium, huh?\This isn't good.\What's going on?\Why Tahara's daughter?\Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means? response:	Tahara's research was progressing according to his plans.
context: This isn't good.\What's going on?\Why Tahara's daughter?\Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means?\Tahara's research was progressing according to his plans. response:	We'll obtain both at once.
context: What's going on?\Why Tahara's daughter?\Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means?\Tahara's research was progressing according to his plans.\We'll obtain both at once. response:	It's time for work, Ruuko.
context: Why Tahara's daughter?\Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means?\Tahara's research was progressing according to his plans.\We'll obtain both at once.\It's time for work, Ruuko. response:	No...
