context: Who will you give it to? response:	Li-kun!!
context: Who will you give it to?\Li-kun!! response:	N' nooo' way'
context: Who will you give it to?\Li-kun!!\N' nooo' way' response:	Why am I thinking about her?
context: Who will you give it to?\Li-kun!!\N' nooo' way'\Why am I thinking about her? response:	This can't be'!!
context: Who will you give it to?\Li-kun!!\N' nooo' way'\Why am I thinking about her?\This can't be'!! response:	What's wrong with me?
context: Who will you give it to?\Li-kun!!\N' nooo' way'\Why am I thinking about her?\This can't be'!!\What's wrong with me? response:	Why do I keep having her images in my mind'
context: Who will you give it to?\Li-kun!!\N' nooo' way'\Why am I thinking about her?\This can't be'!!\What's wrong with me?\Why do I keep having her images in my mind' response:	If your mind is calm,
context: Who will you give it to?\Li-kun!!\N' nooo' way'\Why am I thinking about her?\This can't be'!!\What's wrong with me?\Why do I keep having her images in my mind'\If your mind is calm, response:	then you will realize your inner truth
context: Li-kun!!\N' nooo' way'\Why am I thinking about her?\This can't be'!!\What's wrong with me?\Why do I keep having her images in my mind'\If your mind is calm,\then you will realize your inner truth response:	Inner truth'
context: N' nooo' way'\Why am I thinking about her?\This can't be'!!\What's wrong with me?\Why do I keep having her images in my mind'\If your mind is calm,\then you will realize your inner truth\Inner truth' response:	What do you mean?
context: Why am I thinking about her?\This can't be'!!\What's wrong with me?\Why do I keep having her images in my mind'\If your mind is calm,\then you will realize your inner truth\Inner truth'\What do you mean? response:	As for the rest of its meaning, you'll have to figure it out by yourself.
context: This can't be'!!\What's wrong with me?\Why do I keep having her images in my mind'\If your mind is calm,\then you will realize your inner truth\Inner truth'\What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself. response:	Inner truth' What is going on'
context: What's wrong with me?\Why do I keep having her images in my mind'\If your mind is calm,\then you will realize your inner truth\Inner truth'\What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on' response:	Good morning!
context: Why do I keep having her images in my mind'\If your mind is calm,\then you will realize your inner truth\Inner truth'\What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on'\Good morning! response:	Good morning, Tomoyo-chan!
context: If your mind is calm,\then you will realize your inner truth\Inner truth'\What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on'\Good morning!\Good morning, Tomoyo-chan! response:	' Hi, Sakura-chan!' Good morning, Rika-chan!
context: then you will realize your inner truth\Inner truth'\What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on'\Good morning!\Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan! response:	Look at this'
context: Inner truth'\What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on'\Good morning!\Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this' response:	Teddy Bear Show?
context: What do you mean?\As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on'\Good morning!\Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this'\Teddy Bear Show? response:	How cute'
context: As for the rest of its meaning, you'll have to figure it out by yourself.\Inner truth' What is going on'\Good morning!\Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this'\Teddy Bear Show?\How cute' response:	Sakura really like teddy bear, right?
context: Inner truth' What is going on'\Good morning!\Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this'\Teddy Bear Show?\How cute'\Sakura really like teddy bear, right? response:	Perhaps you will like to see it.
context: Good morning!\Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this'\Teddy Bear Show?\How cute'\Sakura really like teddy bear, right?\Perhaps you will like to see it. response:	Love to see it!
context: Good morning, Tomoyo-chan!\' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this'\Teddy Bear Show?\How cute'\Sakura really like teddy bear, right?\Perhaps you will like to see it.\Love to see it! response:	We can all go to see it tomorrow.
context: ' Hi, Sakura-chan!' Good morning, Rika-chan!\Look at this'\Teddy Bear Show?\How cute'\Sakura really like teddy bear, right?\Perhaps you will like to see it.\Love to see it!\We can all go to see it tomorrow. response:	Sorry,
context: Look at this'\Teddy Bear Show?\How cute'\Sakura really like teddy bear, right?\Perhaps you will like to see it.\Love to see it!\We can all go to see it tomorrow.\Sorry, response:	I have a ballet lesson tomorrow
context: Teddy Bear Show?\How cute'\Sakura really like teddy bear, right?\Perhaps you will like to see it.\Love to see it!\We can all go to see it tomorrow.\Sorry,\I have a ballet lesson tomorrow response:	I can't go.
context: How cute'\Sakura really like teddy bear, right?\Perhaps you will like to see it.\Love to see it!\We can all go to see it tomorrow.\Sorry,\I have a ballet lesson tomorrow\I can't go. response:	Chihara-chan and Naoko-chan
context: Sakura really like teddy bear, right?\Perhaps you will like to see it.\Love to see it!\We can all go to see it tomorrow.\Sorry,\I have a ballet lesson tomorrow\I can't go.\Chihara-chan and Naoko-chan response:	don't have time to go either.
context: Perhaps you will like to see it.\Love to see it!\We can all go to see it tomorrow.\Sorry,\I have a ballet lesson tomorrow\I can't go.\Chihara-chan and Naoko-chan\don't have time to go either. response:	You and Tomoyo-chan can go, it's already good enough.
context: Love to see it!\We can all go to see it tomorrow.\Sorry,\I have a ballet lesson tomorrow\I can't go.\Chihara-chan and Naoko-chan\don't have time to go either.\You and Tomoyo-chan can go, it's already good enough. response:	I see' then' thank you very much, Rika-chan!
context: We can all go to see it tomorrow.\Sorry,\I have a ballet lesson tomorrow\I can't go.\Chihara-chan and Naoko-chan\don't have time to go either.\You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan! response:	Tomoyo-chan, do you have anything to do tomorrow?
context: Sorry,\I have a ballet lesson tomorrow\I can't go.\Chihara-chan and Naoko-chan\don't have time to go either.\You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow? response:	No, it would be nice if we could go together.
context: I have a ballet lesson tomorrow\I can't go.\Chihara-chan and Naoko-chan\don't have time to go either.\You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together. response:	Great!
context: I can't go.\Chihara-chan and Naoko-chan\don't have time to go either.\You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together.\Great! response:	Is it a teddy bear show?
context: Chihara-chan and Naoko-chan\don't have time to go either.\You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together.\Great!\Is it a teddy bear show? response:	' Eriol-kun, Good morning!' Good morning!
context: don't have time to go either.\You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together.\Great!\Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning! response:	Really?
context: You and Tomoyo-chan can go, it's already good enough.\I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together.\Great!\Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning!\Really? response:	Eriol-kun is really smart.
context: I see' then' thank you very much, Rika-chan!\Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together.\Great!\Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning!\Really?\Eriol-kun is really smart. response:	Oh not at all'
context: Tomoyo-chan, do you have anything to do tomorrow?\No, it would be nice if we could go together.\Great!\Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning!\Really?\Eriol-kun is really smart.\Oh not at all' response:	Then, Eriol-kun, let's go
context: No, it would be nice if we could go together.\Great!\Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning!\Really?\Eriol-kun is really smart.\Oh not at all'\Then, Eriol-kun, let's go response:	together tomorrow, okay?
context: Great!\Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning!\Really?\Eriol-kun is really smart.\Oh not at all'\Then, Eriol-kun, let's go\together tomorrow, okay? response:	Would that be too much of a trouble for you?
context: Is it a teddy bear show?\' Eriol-kun, Good morning!' Good morning!\Really?\Eriol-kun is really smart.\Oh not at all'\Then, Eriol-kun, let's go\together tomorrow, okay?\Would that be too much of a trouble for you? response:	' Good morning, Li-kun!' Good morning'
context: ' Eriol-kun, Good morning!' Good morning!\Really?\Eriol-kun is really smart.\Oh not at all'\Then, Eriol-kun, let's go\together tomorrow, okay?\Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning' response:	Oh, Li-kun, lets go together.
context: Really?\Eriol-kun is really smart.\Oh not at all'\Then, Eriol-kun, let's go\together tomorrow, okay?\Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together. response:	It's a teddy bear show. It will be really fun.
context: Eriol-kun is really smart.\Oh not at all'\Then, Eriol-kun, let's go\together tomorrow, okay?\Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun. response:	Right!
context: Oh not at all'\Then, Eriol-kun, let's go\together tomorrow, okay?\Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun.\Right! response:	Great!
context: Then, Eriol-kun, let's go\together tomorrow, okay?\Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun.\Right!\Great! response:	Yes, yes, lots of bears, yes, yes, yes
context: together tomorrow, okay?\Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun.\Right!\Great!\Yes, yes, lots of bears, yes, yes, yes response:	Look at this, you could get a teddy bear gift in the show too.
context: Would that be too much of a trouble for you?\' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun.\Right!\Great!\Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too. response:	Everybody could be able to get one.
context: ' Good morning, Li-kun!' Good morning'\Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun.\Right!\Great!\Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one. response:	Can't wait till tomorrow.
