context: To Mr. Junichi Katsuragi response:	I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face. response:	- Arita
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita response:	- Arita
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita\- Arita response:	What should I do?
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita\- Arita\What should I do? response:	I forget what I was like before I met you
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita\- Arita\What should I do?\I forget what I was like before I met you response:	The wind caresses my cheek
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita\- Arita\What should I do?\I forget what I was like before I met you\The wind caresses my cheek response:	JLullaby of BirdlandJ
context: To Mr. Junichi Katsuragi\I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita\- Arita\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ response:	Kick my heels going down the slope
context: I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.\- Arita\- Arita\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope response:	As my worthless shadow grows
context: - Arita\- Arita\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows response:	It's like an endless summer vacation
context: - Arita\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation response:	Feels like sneakin' into the swimming pool
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool response:	Hey, let's swim with our clothes on, jump in!!
context: I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!! response:	A shocking seductive spiral
context: The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral response:	This beat that pierces my heart is strange
context: JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange response:	(It flares up, then vanishes)
context: Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes) response:	Every miserable day is swell,
context: As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell, response:	dress it up
context: It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up response:	A high-speed swing surrounds us
