context: Signs response:	Openingz
context: Signs\Openingz response:	Ending
context: Signs\Openingz\Ending response:	Over a century ago, mankind had to face a new enemy.
context: Signs\Openingz\Ending\Over a century ago, mankind had to face a new enemy. response:	The difference of power between mankind and their newfound enemy was overwhelming.
context: Signs\Openingz\Ending\Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming. response:	Soon, mankind was driven to the brink of extinction.
context: Signs\Openingz\Ending\Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction. response:	The surviving humans built three walls: the Maria, the Rose, and the Sina.
context: Signs\Openingz\Ending\Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina. response:	They then lived the next century in peace, under their protection.
context: Signs\Openingz\Ending\Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection. response:	However, in year 845,
context: Openingz\Ending\Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection.\However, in year 845, response:	the Colossal Titan and the Armored Titan appeared out of nowhere.
context: Ending\Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection.\However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere. response:	Instantly, the walls were shattered, along with the peace of everyday life.
context: Over a century ago, mankind had to face a new enemy.\The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection.\However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life. response:	Mankind abandoned Wall Maria.
context: The difference of power between mankind and their newfound enemy was overwhelming.\Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection.\However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria. response:	They lost a fifth of their population, and a third of their territory,
context: Soon, mankind was driven to the brink of extinction.\The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection.\However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory, response:	as human activity was pushed back to Wall Rose.
context: The surviving humans built three walls: the Maria, the Rose, and the Sina.\They then lived the next century in peace, under their protection.\However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose. response:	In year 850,
context: They then lived the next century in peace, under their protection.\However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\In year 850, response:	the Colossal Titan once again appeared out of nowhere and broke the wall,
context: However, in year 845,\the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall, response:	allowing for the further advance of the Titans.
context: the Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans. response:	In two hours, the evacuation of civilians was completed.
context: Instantly, the walls were shattered, along with the peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed. response:	No one fell victim to the Titans,
context: Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans, response:	with the exception of the soldiers who sacrificed themselves in the defense.
context: They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense. response:	Eren! As long as you're there for me, I can do anything.
context: as human activity was pushed back to Wall Rose.\In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything. response:	Please stop, Commander!
context: In year 850,\the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything.\Please stop, Commander! response:	If the Titans attacked, us supports won't be able to hold this place by ourselves!
context: the Colossal Titan once again appeared out of nowhere and broke the wall,\allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything.\Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves! response:	Please stay with us!
context: allowing for the further advance of the Titans.\In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything.\Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us! response:	Get out of my way.
context: In two hours, the evacuation of civilians was completed.\No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything.\Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us!\Get out of my way. response:	I must leave to oversee the organization of the reinforcements.
context: No one fell victim to the Titans,\with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything.\Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us!\Get out of my way.\I must leave to oversee the organization of the reinforcements. response:	Behind the safer inner gate?
context: with the exception of the soldiers who sacrificed themselves in the defense.\Eren! As long as you're there for me, I can do anything.\Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us!\Get out of my way.\I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate? response:	What the hell are you trying to say?
context: Eren! As long as you're there for me, I can do anything.\Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us!\Get out of my way.\I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate?\What the hell are you trying to say? response:	My actions adhere to the regulations.
context: Please stop, Commander!\If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us!\Get out of my way.\I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate?\What the hell are you trying to say?\My actions adhere to the regulations. response:	I am just following the rules! It is what soldiers are supposed to do!
context: If the Titans attacked, us supports won't be able to hold this place by ourselves!\Please stay with us!\Get out of my way.\I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate?\What the hell are you trying to say?\My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do! response:	But if this place falls
