context: In order to conduct a force reconnaissance mission response:	and uncover the secrets behind the Valvraves,
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves, response:	Haruto Tokishima and the others went down to Earth.
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth. response:	However, encountering Dorssian interference,
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference, response:	they were forced to make an emergency landing within Dorssia itself.
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself. response:	A chance meeting with his father, the developer of the Valvraves.
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves. response:	The death of Marie, who had been a Valvrave test pilot.
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot. response:	The existence of the Phantoms, which harvest human Runes.
context: In order to conduct a force reconnaissance mission\and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes. response:	And Lieselotte, the light that L-elf had searched for,
context: and uncover the secrets behind the Valvraves,\Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for, response:	turned out to be a Magius, a nonhuman entity.
context: Haruto Tokishima and the others went down to Earth.\However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity. response:	She told Haruto that a secret organization composed
context: However, encountering Dorssian interference,\they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed response:	of both humans and Magiuses called the
context: they were forced to make an emergency landing within Dorssia itself.\A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed\of both humans and Magiuses called the response:	Council of 101 existed in the shadows of this world.
context: A chance meeting with his father, the developer of the Valvraves.\The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed\of both humans and Magiuses called the\Council of 101 existed in the shadows of this world. response:	As Haruto and the others pursue the secrets of the Valvraves,
context: The death of Marie, who had been a Valvrave test pilot.\The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed\of both humans and Magiuses called the\Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves, response:	they begin to realize that this world is awash in secrets.
context: The existence of the Phantoms, which harvest human Runes.\And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed\of both humans and Magiuses called the\Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets. response:	But now, they must return home.
context: And Lieselotte, the light that L-elf had searched for,\turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed\of both humans and Magiuses called the\Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets.\But now, they must return home. response:	For they have learned that one of these Phantoms is on
context: turned out to be a Magius, a nonhuman entity.\She told Haruto that a secret organization composed\of both humans and Magiuses called the\Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets.\But now, they must return home.\For they have learned that one of these Phantoms is on response:	its way to Module 77.
context: She told Haruto that a secret organization composed\of both humans and Magiuses called the\Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets.\But now, they must return home.\For they have learned that one of these Phantoms is on\its way to Module 77. response:	Found it.
context: of both humans and Magiuses called the\Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets.\But now, they must return home.\For they have learned that one of these Phantoms is on\its way to Module 77.\Found it. response:	Speed, 16. Heading for the debris field.
context: Council of 101 existed in the shadows of this world.\As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets.\But now, they must return home.\For they have learned that one of these Phantoms is on\its way to Module 77.\Found it.\Speed, 16. Heading for the debris field. response:	I'm gonna take that thing down before it can reach Module 77!
context: As Haruto and the others pursue the secrets of the Valvraves,\they begin to realize that this world is awash in secrets.\But now, they must return home.\For they have learned that one of these Phantoms is on\its way to Module 77.\Found it.\Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77! response:	Firing angle correction complete.
context: they begin to realize that this world is awash in secrets.\But now, they must return home.\For they have learned that one of these Phantoms is on\its way to Module 77.\Found it.\Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete. response:	Adjusting firing timing...
context: But now, they must return home.\For they have learned that one of these Phantoms is on\its way to Module 77.\Found it.\Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete.\Adjusting firing timing... response:	Fire in 5... 3... 2... 1...
context: For they have learned that one of these Phantoms is on\its way to Module 77.\Found it.\Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete.\Adjusting firing timing...\Fire in 5... 3... 2... 1... response:	Fire!
context: its way to Module 77.\Found it.\Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete.\Adjusting firing timing...\Fire in 5... 3... 2... 1...\Fire! response:	They didn't hit!
context: Found it.\Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete.\Adjusting firing timing...\Fire in 5... 3... 2... 1...\Fire!\They didn't hit! response:	I seem to recall someone
context: Speed, 16. Heading for the debris field.\I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete.\Adjusting firing timing...\Fire in 5... 3... 2... 1...\Fire!\They didn't hit!\I seem to recall someone response:	saying that we used two units, one would be sure to hit!
