context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven. response:	We linked up with Sho and other past friends of Erza's
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's response:	and somehow managed to defeat Trinity Raven of the Assassin's Guild.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild. response:	But... Hurry, Natsu! Etherion is about to fire!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire! response:	What is your real goal?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire!\What is your real goal? response:	You haven't really completed the R-system, have you?
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire!\What is your real goal?\You haven't really completed the R-system, have you? response:	I haven't been doing nothing for these past 8 years.
context: and sit back from the screen,'kay?\A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire!\What is your real goal?\You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years. response:	I researched the R-system myself.
context: A past comrade of Erza's, Jellal, is plotting to resurrect Zeref using the Tower of Heaven.\We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire!\What is your real goal?\You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years.\I researched the R-system myself. response:	It's true there were no errors in the construction or theory of the blueprints back then.
context: We linked up with Sho and other past friends of Erza's\and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire!\What is your real goal?\You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years.\I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then. response:	But there is something essential missing from the R-system.
context: and somehow managed to defeat Trinity Raven of the Assassin's Guild.\But... Hurry, Natsu! Etherion is about to fire!\What is your real goal?\You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years.\I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system. response:	I told you, remember? You are the sacrifice.
context: But... Hurry, Natsu! Etherion is about to fire!\What is your real goal?\You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years.\I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice. response:	A problem more basic than that.
context: What is your real goal?\You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years.\I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice.\A problem more basic than that. response:	The thing you lack is... magical power!
context: You haven't really completed the R-system, have you?\I haven't been doing nothing for these past 8 years.\I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice.\A problem more basic than that.\The thing you lack is... magical power! response:	A Prayer Under the Holy Light
context: I haven't been doing nothing for these past 8 years.\I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice.\A problem more basic than that.\The thing you lack is... magical power!\A Prayer Under the Holy Light response:	To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.
context: I researched the R-system myself.\It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice.\A problem more basic than that.\The thing you lack is... magical power!\A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy. response:	Even if you assembled every wizard on this continent, I'm not sure it would be enough.
context: It's true there were no errors in the construction or theory of the blueprints back then.\But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice.\A problem more basic than that.\The thing you lack is... magical power!\A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough. response:	So of course there is no way an individual could store enough energy in this tower.
context: But there is something essential missing from the R-system.\I told you, remember? You are the sacrifice.\A problem more basic than that.\The thing you lack is... magical power!\A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower. response:	And moreover, you know about the Council's attack but are not trying to escape.
context: I told you, remember? You are the sacrifice.\A problem more basic than that.\The thing you lack is... magical power!\A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape. response:	What are you thinking?
context: A problem more basic than that.\The thing you lack is... magical power!\A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking? response:	Three minutes until Etherion.
context: The thing you lack is... magical power!\A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking?\Three minutes until Etherion. response:	Jellal!
context: A Prayer Under the Holy Light\To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking?\Three minutes until Etherion.\Jellal! response:	Your dream is already over!
context: To activate a magical spell of this magnitude, you need a tremendous amount of magical energy.\Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking?\Three minutes until Etherion.\Jellal!\Your dream is already over! response:	Do you simply wish to die like this?
context: Even if you assembled every wizard on this continent, I'm not sure it would be enough.\So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking?\Three minutes until Etherion.\Jellal!\Your dream is already over!\Do you simply wish to die like this? response:	If that's the case, then we go together.
context: So of course there is no way an individual could store enough energy in this tower.\And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking?\Three minutes until Etherion.\Jellal!\Your dream is already over!\Do you simply wish to die like this?\If that's the case, then we go together. response:	I will not release this hand until the final moment!
context: And moreover, you know about the Council's attack but are not trying to escape.\What are you thinking?\Three minutes until Etherion.\Jellal!\Your dream is already over!\Do you simply wish to die like this?\If that's the case, then we go together.\I will not release this hand until the final moment! response:	Sure... That doesn't sound too bad.
