context: My fingertips tingle softly. response:	It spreads throughout my entire body like blood,
context: My fingertips tingle softly.\It spreads throughout my entire body like blood, response:	and bliss fills everything.
context: My fingertips tingle softly.\It spreads throughout my entire body like blood,\and bliss fills everything. response:	I know when he approaches without having to look.
context: My fingertips tingle softly.\It spreads throughout my entire body like blood,\and bliss fills everything.\I know when he approaches without having to look. response:	Wherever he is,
context: My fingertips tingle softly.\It spreads throughout my entire body like blood,\and bliss fills everything.\I know when he approaches without having to look.\Wherever he is, response:	I can always feel his presence.
context: My fingertips tingle softly.\It spreads throughout my entire body like blood,\and bliss fills everything.\I know when he approaches without having to look.\Wherever he is,\I can always feel his presence. response:	Is the one with this special power...
context: My fingertips tingle softly.\It spreads throughout my entire body like blood,\and bliss fills everything.\I know when he approaches without having to look.\Wherever he is,\I can always feel his presence.\Is the one with this special power... response:	Or is it me, who loves him so?
context: My fingertips tingle softly.\It spreads throughout my entire body like blood,\and bliss fills everything.\I know when he approaches without having to look.\Wherever he is,\I can always feel his presence.\Is the one with this special power...\Or is it me, who loves him so? response:	Miyazawa.
context: It spreads throughout my entire body like blood,\and bliss fills everything.\I know when he approaches without having to look.\Wherever he is,\I can always feel his presence.\Is the one with this special power...\Or is it me, who loves him so?\Miyazawa. response:	Um, you're... Tonami-kun!
context: and bliss fills everything.\I know when he approaches without having to look.\Wherever he is,\I can always feel his presence.\Is the one with this special power...\Or is it me, who loves him so?\Miyazawa.\Um, you're... Tonami-kun! response:	You sure are early.
context: I know when he approaches without having to look.\Wherever he is,\I can always feel his presence.\Is the one with this special power...\Or is it me, who loves him so?\Miyazawa.\Um, you're... Tonami-kun!\You sure are early. response:	You have practice or something?
context: Wherever he is,\I can always feel his presence.\Is the one with this special power...\Or is it me, who loves him so?\Miyazawa.\Um, you're... Tonami-kun!\You sure are early.\You have practice or something? response:	No, I wasn't getting into my morning studying,
context: I can always feel his presence.\Is the one with this special power...\Or is it me, who loves him so?\Miyazawa.\Um, you're... Tonami-kun!\You sure are early.\You have practice or something?\No, I wasn't getting into my morning studying, response:	so I thought I'd do it at school.
context: Is the one with this special power...\Or is it me, who loves him so?\Miyazawa.\Um, you're... Tonami-kun!\You sure are early.\You have practice or something?\No, I wasn't getting into my morning studying,\so I thought I'd do it at school. response:	My, how ambitious...
context: Or is it me, who loves him so?\Miyazawa.\Um, you're... Tonami-kun!\You sure are early.\You have practice or something?\No, I wasn't getting into my morning studying,\so I thought I'd do it at school.\My, how ambitious... response:	Oh, yeah, I have a favor to ask.
context: Miyazawa.\Um, you're... Tonami-kun!\You sure are early.\You have practice or something?\No, I wasn't getting into my morning studying,\so I thought I'd do it at school.\My, how ambitious...\Oh, yeah, I have a favor to ask. response:	What?
context: Um, you're... Tonami-kun!\You sure are early.\You have practice or something?\No, I wasn't getting into my morning studying,\so I thought I'd do it at school.\My, how ambitious...\Oh, yeah, I have a favor to ask.\What? response:	Miyazawa.
context: You sure are early.\You have practice or something?\No, I wasn't getting into my morning studying,\so I thought I'd do it at school.\My, how ambitious...\Oh, yeah, I have a favor to ask.\What?\Miyazawa. response:	Are you friends with Sakura's gang in 1-D?
context: You have practice or something?\No, I wasn't getting into my morning studying,\so I thought I'd do it at school.\My, how ambitious...\Oh, yeah, I have a favor to ask.\What?\Miyazawa.\Are you friends with Sakura's gang in 1-D? response:	Yeah, I am.
context: No, I wasn't getting into my morning studying,\so I thought I'd do it at school.\My, how ambitious...\Oh, yeah, I have a favor to ask.\What?\Miyazawa.\Are you friends with Sakura's gang in 1-D?\Yeah, I am. response:	If they ever ask you if I'm the same Tonami who was in their middle school,
