context: I put on the armillary compass I found in the laboratory basement, response:	which sent me back to 19th century London with Mari.
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari. response:	You've got to be kidding me!
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari.\You've got to be kidding me! response:	This is the worst possible time, when I'm still fighting with Futa!
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari.\You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa! response:	There, we met the scientist, Mr. Faraday.
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari.\You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday. response:	And then he used his electromagnetic... um... rotation device...
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari.\You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device... response:	for an experiment that proved a relationship between electricity and magnetism.
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari.\You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism. response:	But Mr. Farraday's patron, Sir Davy, said this about his results...
context: I put on the armillary compass I found in the laboratory basement,\which sent me back to 19th century London with Mari.\You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results... response:	These experimental results and your thesis are both stolen from our research!
context: which sent me back to 19th century London with Mari.\You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research! response:	Wait, sir!
context: You've got to be kidding me!\This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research!\Wait, sir! response:	Things were looking real bad, but...
context: This is the worst possible time, when I'm still fighting with Futa!\There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research!\Wait, sir!\Things were looking real bad, but... response:	Sir...
context: There, we met the scientist, Mr. Faraday.\And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research!\Wait, sir!\Things were looking real bad, but...\Sir... response:	Something happened, so I couldn't even worry about that!
context: And then he used his electromagnetic... um... rotation device...\for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research!\Wait, sir!\Things were looking real bad, but...\Sir...\Something happened, so I couldn't even worry about that! response:	Where's Mari?
context: for an experiment that proved a relationship between electricity and magnetism.\But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research!\Wait, sir!\Things were looking real bad, but...\Sir...\Something happened, so I couldn't even worry about that!\Where's Mari? response:	Episode 6 Faraday's Resolve
