context: The same power, the same voice... response:	I see. It's uncanny.
context: The same power, the same voice...\I see. It's uncanny. response:	That power interests me!
context: The same power, the same voice...\I see. It's uncanny.\That power interests me! response:	Your very presence disgusts me!
context: The same power, the same voice...\I see. It's uncanny.\That power interests me!\Your very presence disgusts me! response:	It is time I ended this.
context: The same power, the same voice...\I see. It's uncanny.\That power interests me!\Your very presence disgusts me!\It is time I ended this. response:	Professor Happy's Fairy Tail Lectures!
context: The same power, the same voice...\I see. It's uncanny.\That power interests me!\Your very presence disgusts me!\It is time I ended this.\Professor Happy's Fairy Tail Lectures! response:	This time, I'll be teaching you about Carla and myself's homeland, Edolas!
context: The same power, the same voice...\I see. It's uncanny.\That power interests me!\Your very presence disgusts me!\It is time I ended this.\Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas! response:	The world we live in is called Earthland...
context: The same power, the same voice...\I see. It's uncanny.\That power interests me!\Your very presence disgusts me!\It is time I ended this.\Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland... response:	Edolas is a different world.
context: I see. It's uncanny.\That power interests me!\Your very presence disgusts me!\It is time I ended this.\Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland...\Edolas is a different world. response:	In Edolas, magic power is a limited resource that will one day be used up.
context: That power interests me!\Your very presence disgusts me!\It is time I ended this.\Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland...\Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up. response:	Because of that, King Faust
context: Your very presence disgusts me!\It is time I ended this.\Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland...\Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust response:	used the hyperspace magic Anima to absorb magic power from Earthland!
context: It is time I ended this.\Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland...\Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland! response:	The guild and people from Magnolia were turned into a lacrima,
context: Professor Happy's Fairy Tail Lectures!\This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland...\Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima, response:	and we're all fighting to return them to normal.
context: This time, I'll be teaching you about Carla and myself's homeland, Edolas!\The world we live in is called Earthland...\Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal. response:	By the way, there's a separate set of Natsu and the others in Edolas.
context: The world we live in is called Earthland...\Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas. response:	But the Erza in Edolas is our enemy!
context: Edolas is a different world.\In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy! response:	Scary, huh?
context: In Edolas, magic power is a limited resource that will one day be used up.\Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy!\Scary, huh? response:	Can't rest easy, huh?
context: Because of that, King Faust\used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy!\Scary, huh?\Can't rest easy, huh? response:	And there you have it. Let's get back to the story.
context: used the hyperspace magic Anima to absorb magic power from Earthland!\The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy!\Scary, huh?\Can't rest easy, huh?\And there you have it. Let's get back to the story. response:	Stand, bow...
context: The guild and people from Magnolia were turned into a lacrima,\and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy!\Scary, huh?\Can't rest easy, huh?\And there you have it. Let's get back to the story.\Stand, bow... response:	Aye, sir!
context: and we're all fighting to return them to normal.\By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy!\Scary, huh?\Can't rest easy, huh?\And there you have it. Let's get back to the story.\Stand, bow...\Aye, sir! response:	Oh, it's her!
context: By the way, there's a separate set of Natsu and the others in Edolas.\But the Erza in Edolas is our enemy!\Scary, huh?\Can't rest easy, huh?\And there you have it. Let's get back to the story.\Stand, bow...\Aye, sir!\Oh, it's her! response:	Isn't that one of the Fallen?
context: But the Erza in Edolas is our enemy!\Scary, huh?\Can't rest easy, huh?\And there you have it. Let's get back to the story.\Stand, bow...\Aye, sir!\Oh, it's her!\Isn't that one of the Fallen? response:	There's even a human!
context: Scary, huh?\Can't rest easy, huh?\And there you have it. Let's get back to the story.\Stand, bow...\Aye, sir!\Oh, it's her!\Isn't that one of the Fallen?\There's even a human! response:	Whoa, I've never seen one before!
context: Can't rest easy, huh?\And there you have it. Let's get back to the story.\Stand, bow...\Aye, sir!\Oh, it's her!\Isn't that one of the Fallen?\There's even a human!\Whoa, I've never seen one before! response:	It's a human, a human!
context: And there you have it. Let's get back to the story.\Stand, bow...\Aye, sir!\Oh, it's her!\Isn't that one of the Fallen?\There's even a human!\Whoa, I've never seen one before!\It's a human, a human! response:	What is she doing here?
context: Stand, bow...\Aye, sir!\Oh, it's her!\Isn't that one of the Fallen?\There's even a human!\Whoa, I've never seen one before!\It's a human, a human!\What is she doing here? response:	What's going on?
context: Aye, sir!\Oh, it's her!\Isn't that one of the Fallen?\There's even a human!\Whoa, I've never seen one before!\It's a human, a human!\What is she doing here?\What's going on? response:	The Fallen one...
context: Oh, it's her!\Isn't that one of the Fallen?\There's even a human!\Whoa, I've never seen one before!\It's a human, a human!\What is she doing here?\What's going on?\The Fallen one... response:	brought a human...
context: Isn't that one of the Fallen?\There's even a human!\Whoa, I've never seen one before!\It's a human, a human!\What is she doing here?\What's going on?\The Fallen one...\brought a human... response:	Please let me see the Queen!
