context: She's so annoying. response:	And she's so loud, even though she's tiny.
context: She's so annoying.\And she's so loud, even though she's tiny. response:	Who does she think she is, telling me what to do?
context: She's so annoying.\And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do? response:	Screw her. Die already.
context: She's so annoying.\And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do?\Screw her. Die already. response:	Oops...
context: She's so annoying.\And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do?\Screw her. Die already.\Oops... response:	What are you mumbling about?
context: She's so annoying.\And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do?\Screw her. Die already.\Oops...\What are you mumbling about? response:	N- Nothing...
context: She's so annoying.\And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do?\Screw her. Die already.\Oops...\What are you mumbling about?\N- Nothing... response:	The person staying in the Wave Room
context: She's so annoying.\And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do?\Screw her. Die already.\Oops...\What are you mumbling about?\N- Nothing...\The person staying in the Wave Room response:	says he won't be needing breakfast.
context: And she's so loud, even though she's tiny.\Who does she think she is, telling me what to do?\Screw her. Die already.\Oops...\What are you mumbling about?\N- Nothing...\The person staying in the Wave Room\says he won't be needing breakfast. response:	That damned novelist seriously thinks it's our fault.
context: Who does she think she is, telling me what to do?\Screw her. Die already.\Oops...\What are you mumbling about?\N- Nothing...\The person staying in the Wave Room\says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault. response:	I have an idea. Why don't we eat his fish?
context: Screw her. Die already.\Oops...\What are you mumbling about?\N- Nothing...\The person staying in the Wave Room\says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish? response:	But I need to keep my stomach empty...
context: Oops...\What are you mumbling about?\N- Nothing...\The person staying in the Wave Room\says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty... response:	You got something planned?
context: What are you mumbling about?\N- Nothing...\The person staying in the Wave Room\says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty...\You got something planned? response:	I-I need to prepare myself mentally.
context: N- Nothing...\The person staying in the Wave Room\says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty...\You got something planned?\I-I need to prepare myself mentally. response:	Huh?
context: The person staying in the Wave Room\says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty...\You got something planned?\I-I need to prepare myself mentally.\Huh? response:	Morning.
context: says he won't be needing breakfast.\That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty...\You got something planned?\I-I need to prepare myself mentally.\Huh?\Morning. response:	Oh, morning.
context: That damned novelist seriously thinks it's our fault.\I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty...\You got something planned?\I-I need to prepare myself mentally.\Huh?\Morning.\Oh, morning. response:	The revenge meal...
context: I have an idea. Why don't we eat his fish?\But I need to keep my stomach empty...\You got something planned?\I-I need to prepare myself mentally.\Huh?\Morning.\Oh, morning.\The revenge meal... response:	What if she adds stuff like lizards in addition to the taros?
context: But I need to keep my stomach empty...\You got something planned?\I-I need to prepare myself mentally.\Huh?\Morning.\Oh, morning.\The revenge meal...\What if she adds stuff like lizards in addition to the taros? response:	I'll eat it.
context: You got something planned?\I-I need to prepare myself mentally.\Huh?\Morning.\Oh, morning.\The revenge meal...\What if she adds stuff like lizards in addition to the taros?\I'll eat it. response:	The lizard?!
context: I-I need to prepare myself mentally.\Huh?\Morning.\Oh, morning.\The revenge meal...\What if she adds stuff like lizards in addition to the taros?\I'll eat it.\The lizard?! response:	Won't you?
context: Huh?\Morning.\Oh, morning.\The revenge meal...\What if she adds stuff like lizards in addition to the taros?\I'll eat it.\The lizard?!\Won't you? response:	If you don't like her.
context: Morning.\Oh, morning.\The revenge meal...\What if she adds stuff like lizards in addition to the taros?\I'll eat it.\The lizard?!\Won't you?\If you don't like her. response:	No, I don't dislike her...
