context: A healthy soul... response:	I'll leave this to you.
context: A healthy soul...\I'll leave this to you. response:	Be careful, don't overdo it.
context: A healthy soul...\I'll leave this to you.\Be careful, don't overdo it. response:	Yeah.
context: A healthy soul...\I'll leave this to you.\Be careful, don't overdo it.\Yeah. response:	If it gets dangerous, call for me.
context: A healthy soul...\I'll leave this to you.\Be careful, don't overdo it.\Yeah.\If it gets dangerous, call for me. response:	For any of my friends, I'd come to help.
context: A healthy soul...\I'll leave this to you.\Be careful, don't overdo it.\Yeah.\If it gets dangerous, call for me.\For any of my friends, I'd come to help. response:	Geez. I got it, so hurry up and go on!
context: A healthy soul...\I'll leave this to you.\Be careful, don't overdo it.\Yeah.\If it gets dangerous, call for me.\For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on! response:	Let's do it, Maka.
context: A healthy soul...\I'll leave this to you.\Be careful, don't overdo it.\Yeah.\If it gets dangerous, call for me.\For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on!\Let's do it, Maka. response:	Yeah.
context: I'll leave this to you.\Be careful, don't overdo it.\Yeah.\If it gets dangerous, call for me.\For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on!\Let's do it, Maka.\Yeah. response:	Tsubaki, we're catching up with Kid and the others.
context: Be careful, don't overdo it.\Yeah.\If it gets dangerous, call for me.\For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on!\Let's do it, Maka.\Yeah.\Tsubaki, we're catching up with Kid and the others. response:	Yes.
context: Yeah.\If it gets dangerous, call for me.\For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on!\Let's do it, Maka.\Yeah.\Tsubaki, we're catching up with Kid and the others.\Yes. response:	I won't let you...
context: If it gets dangerous, call for me.\For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on!\Let's do it, Maka.\Yeah.\Tsubaki, we're catching up with Kid and the others.\Yes.\I won't let you... response:	Speed Star!
context: For any of my friends, I'd come to help.\Geez. I got it, so hurry up and go on!\Let's do it, Maka.\Yeah.\Tsubaki, we're catching up with Kid and the others.\Yes.\I won't let you...\Speed Star! response:	See ya, Devil Sword!
context: Geez. I got it, so hurry up and go on!\Let's do it, Maka.\Yeah.\Tsubaki, we're catching up with Kid and the others.\Yes.\I won't let you...\Speed Star!\See ya, Devil Sword! response:	That's fine.
context: Let's do it, Maka.\Yeah.\Tsubaki, we're catching up with Kid and the others.\Yes.\I won't let you...\Speed Star!\See ya, Devil Sword!\That's fine. response:	He was the easiest to hold down, physically.
context: Yeah.\Tsubaki, we're catching up with Kid and the others.\Yes.\I won't let you...\Speed Star!\See ya, Devil Sword!\That's fine.\He was the easiest to hold down, physically. response:	Won't you die?
context: Tsubaki, we're catching up with Kid and the others.\Yes.\I won't let you...\Speed Star!\See ya, Devil Sword!\That's fine.\He was the easiest to hold down, physically.\Won't you die? response:	I won't let you!
context: Yes.\I won't let you...\Speed Star!\See ya, Devil Sword!\That's fine.\He was the easiest to hold down, physically.\Won't you die?\I won't let you! response:	You're in my way.
context: I won't let you...\Speed Star!\See ya, Devil Sword!\That's fine.\He was the easiest to hold down, physically.\Won't you die?\I won't let you!\You're in my way. response:	Try to finish it!
context: Speed Star!\See ya, Devil Sword!\That's fine.\He was the easiest to hold down, physically.\Won't you die?\I won't let you!\You're in my way.\Try to finish it! response:	Rather than attacks that focus on her point of balance,
context: See ya, Devil Sword!\That's fine.\He was the easiest to hold down, physically.\Won't you die?\I won't let you!\You're in my way.\Try to finish it!\Rather than attacks that focus on her point of balance, response:	For now, what I have to do is hold her down,
context: That's fine.\He was the easiest to hold down, physically.\Won't you die?\I won't let you!\You're in my way.\Try to finish it!\Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down, response:	Tough.
context: He was the easiest to hold down, physically.\Won't you die?\I won't let you!\You're in my way.\Try to finish it!\Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down,\Tough. response:	It feels like I'm punching lead.
context: Won't you die?\I won't let you!\You're in my way.\Try to finish it!\Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down,\Tough.\It feels like I'm punching lead. response:	Chrona, forget about the running boy!
context: I won't let you!\You're in my way.\Try to finish it!\Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down,\Tough.\It feels like I'm punching lead.\Chrona, forget about the running boy! response:	Focus on the girl in front of us.
context: You're in my way.\Try to finish it!\Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down,\Tough.\It feels like I'm punching lead.\Chrona, forget about the running boy!\Focus on the girl in front of us. response:	Get blown away, idiot!
context: Try to finish it!\Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down,\Tough.\It feels like I'm punching lead.\Chrona, forget about the running boy!\Focus on the girl in front of us.\Get blown away, idiot! response:	This is absurd...
context: Rather than attacks that focus on her point of balance,\For now, what I have to do is hold her down,\Tough.\It feels like I'm punching lead.\Chrona, forget about the running boy!\Focus on the girl in front of us.\Get blown away, idiot!\This is absurd... response:	Suddenly, I'm a mess.
context: For now, what I have to do is hold her down,\Tough.\It feels like I'm punching lead.\Chrona, forget about the running boy!\Focus on the girl in front of us.\Get blown away, idiot!\This is absurd...\Suddenly, I'm a mess. response:	I don't know how to deal with that weak girl...
context: Tough.\It feels like I'm punching lead.\Chrona, forget about the running boy!\Focus on the girl in front of us.\Get blown away, idiot!\This is absurd...\Suddenly, I'm a mess.\I don't know how to deal with that weak girl... response:	Kill her.
context: It feels like I'm punching lead.\Chrona, forget about the running boy!\Focus on the girl in front of us.\Get blown away, idiot!\This is absurd...\Suddenly, I'm a mess.\I don't know how to deal with that weak girl...\Kill her. response:	Yeah...
context: Chrona, forget about the running boy!\Focus on the girl in front of us.\Get blown away, idiot!\This is absurd...\Suddenly, I'm a mess.\I don't know how to deal with that weak girl...\Kill her.\Yeah... response:	Even though we landed the first attack,
context: Focus on the girl in front of us.\Get blown away, idiot!\This is absurd...\Suddenly, I'm a mess.\I don't know how to deal with that weak girl...\Kill her.\Yeah...\Even though we landed the first attack, response:	Do we have any prospects of victory?
