context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	Will set out on their journey as the war rages on.
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on. response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	BROKEN HEART
context: and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\BROKEN HEART response:	Enemy missiles closing in!
context: Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\BROKEN HEART\Enemy missiles closing in! response:	We're reading a metallic signature at 1 o'clock, range 10 km!
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\BROKEN HEART\Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km! response:	A metallic signature? I wonder if it's the enemy base?
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\BROKEN HEART\Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base? response:	Enemy missiles, twenty seconds to impact!
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\BROKEN HEART\Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact! response:	Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!
context: Macross! Macross!\Macross!\BROKEN HEART\Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once! response:	Skull Leader, we're reading a metallic signature at the missile launch site.
context: Macross!\BROKEN HEART\Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site. response:	Input the data and attack!
context: BROKEN HEART\Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack! response:	Roger!
context: Enemy missiles closing in!\We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack!\Roger! response:	Now it's our turn!
context: We're reading a metallic signature at 1 o'clock, range 10 km!\A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack!\Roger!\Now it's our turn! response:	ATTACK!
context: A metallic signature? I wonder if it's the enemy base?\Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack!\Roger!\Now it's our turn!\ATTACK! response:	I'm not getting any life signs.
context: Enemy missiles, twenty seconds to impact!\Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack!\Roger!\Now it's our turn!\ATTACK!\I'm not getting any life signs. response:	There's no one here.
context: Enemy missiles are closing in! Skull 5, 6, and 7, intercept at once!\Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack!\Roger!\Now it's our turn!\ATTACK!\I'm not getting any life signs.\There's no one here. response:	Looks like those missiles were an automated attack system.
context: Skull Leader, we're reading a metallic signature at the missile launch site.\Input the data and attack!\Roger!\Now it's our turn!\ATTACK!\I'm not getting any life signs.\There's no one here.\Looks like those missiles were an automated attack system. response:	The guys who were here must have really panicked.
context: Input the data and attack!\Roger!\Now it's our turn!\ATTACK!\I'm not getting any life signs.\There's no one here.\Looks like those missiles were an automated attack system.\The guys who were here must have really panicked. response:	They couldn't have left more than two or three hours ago.
context: Roger!\Now it's our turn!\ATTACK!\I'm not getting any life signs.\There's no one here.\Looks like those missiles were an automated attack system.\The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago. response:	Hayase here.
context: Now it's our turn!\ATTACK!\I'm not getting any life signs.\There's no one here.\Looks like those missiles were an automated attack system.\The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago.\Hayase here. response:	Commander, there's a large stash of weapons in the arms depot.
context: ATTACK!\I'm not getting any life signs.\There's no one here.\Looks like those missiles were an automated attack system.\The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago.\Hayase here.\Commander, there's a large stash of weapons in the arms depot. response:	Roger. Go ahead and block off the depot, just to be safe.
context: I'm not getting any life signs.\There's no one here.\Looks like those missiles were an automated attack system.\The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago.\Hayase here.\Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe. response:	Roger!
context: There's no one here.\Looks like those missiles were an automated attack system.\The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago.\Hayase here.\Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe.\Roger! response:	Looks like our job just got easier.
context: Looks like those missiles were an automated attack system.\The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago.\Hayase here.\Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe.\Roger!\Looks like our job just got easier. response:	I sure hope so...
context: The guys who were here must have really panicked.\They couldn't have left more than two or three hours ago.\Hayase here.\Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe.\Roger!\Looks like our job just got easier.\I sure hope so... response:	But won't they just do something reckless to get more weapons?
context: They couldn't have left more than two or three hours ago.\Hayase here.\Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe.\Roger!\Looks like our job just got easier.\I sure hope so...\But won't they just do something reckless to get more weapons? response:	Knowing Kamujin?
context: Hayase here.\Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe.\Roger!\Looks like our job just got easier.\I sure hope so...\But won't they just do something reckless to get more weapons?\Knowing Kamujin? response:	This feeling of speed is the best!
context: Commander, there's a large stash of weapons in the arms depot.\Roger. Go ahead and block off the depot, just to be safe.\Roger!\Looks like our job just got easier.\I sure hope so...\But won't they just do something reckless to get more weapons?\Knowing Kamujin?\This feeling of speed is the best! response:	Hey, are you bums keeping up?!
context: Roger. Go ahead and block off the depot, just to be safe.\Roger!\Looks like our job just got easier.\I sure hope so...\But won't they just do something reckless to get more weapons?\Knowing Kamujin?\This feeling of speed is the best!\Hey, are you bums keeping up?! response:	Lap'Lamiz!
context: Roger!\Looks like our job just got easier.\I sure hope so...\But won't they just do something reckless to get more weapons?\Knowing Kamujin?\This feeling of speed is the best!\Hey, are you bums keeping up?!\Lap'Lamiz! response:	You can go even faster!
context: Looks like our job just got easier.\I sure hope so...\But won't they just do something reckless to get more weapons?\Knowing Kamujin?\This feeling of speed is the best!\Hey, are you bums keeping up?!\Lap'Lamiz!\You can go even faster! response:	You're in a good mood, Boss.
context: I sure hope so...\But won't they just do something reckless to get more weapons?\Knowing Kamujin?\This feeling of speed is the best!\Hey, are you bums keeping up?!\Lap'Lamiz!\You can go even faster!\You're in a good mood, Boss. response:	In a good mood, huh?
context: But won't they just do something reckless to get more weapons?\Knowing Kamujin?\This feeling of speed is the best!\Hey, are you bums keeping up?!\Lap'Lamiz!\You can go even faster!\You're in a good mood, Boss.\In a good mood, huh? response:	Yahoo!
context: Knowing Kamujin?\This feeling of speed is the best!\Hey, are you bums keeping up?!\Lap'Lamiz!\You can go even faster!\You're in a good mood, Boss.\In a good mood, huh?\Yahoo! response:	You say I'm falling for him
context: This feeling of speed is the best!\Hey, are you bums keeping up?!\Lap'Lamiz!\You can go even faster!\You're in a good mood, Boss.\In a good mood, huh?\Yahoo!\You say I'm falling for him response:	Minmay!
context: Hey, are you bums keeping up?!\Lap'Lamiz!\You can go even faster!\You're in a good mood, Boss.\In a good mood, huh?\Yahoo!\You say I'm falling for him\Minmay! response:	But I love you more
context: Lap'Lamiz!\You can go even faster!\You're in a good mood, Boss.\In a good mood, huh?\Yahoo!\You say I'm falling for him\Minmay!\But I love you more response:	Always together on Sunset Beach
context: You can go even faster!\You're in a good mood, Boss.\In a good mood, huh?\Yahoo!\You say I'm falling for him\Minmay!\But I love you more\Always together on Sunset Beach response:	A salt breeze blows, a big wave
context: You're in a good mood, Boss.\In a good mood, huh?\Yahoo!\You say I'm falling for him\Minmay!\But I love you more\Always together on Sunset Beach\A salt breeze blows, a big wave response:	He begins to occupy my heart...
context: In a good mood, huh?\Yahoo!\You say I'm falling for him\Minmay!\But I love you more\Always together on Sunset Beach\A salt breeze blows, a big wave\He begins to occupy my heart... response:	Minmay, we've got to get out of here! Minmay!
context: Yahoo!\You say I'm falling for him\Minmay!\But I love you more\Always together on Sunset Beach\A salt breeze blows, a big wave\He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay! response:	This way!
context: You say I'm falling for him\Minmay!\But I love you more\Always together on Sunset Beach\A salt breeze blows, a big wave\He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay!\This way! response:	Ow!
context: Minmay!\But I love you more\Always together on Sunset Beach\A salt breeze blows, a big wave\He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay!\This way!\Ow! response:	What do you think you're doing?!
context: But I love you more\Always together on Sunset Beach\A salt breeze blows, a big wave\He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay!\This way!\Ow!\What do you think you're doing?! response:	Behave yourselves.
context: Always together on Sunset Beach\A salt breeze blows, a big wave\He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay!\This way!\Ow!\What do you think you're doing?!\Behave yourselves. response:	Bastard! What are you doing with Minmay?!
context: A salt breeze blows, a big wave\He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay!\This way!\Ow!\What do you think you're doing?!\Behave yourselves.\Bastard! What are you doing with Minmay?! response:	Hey...
context: He begins to occupy my heart...\Minmay, we've got to get out of here! Minmay!\This way!\Ow!\What do you think you're doing?!\Behave yourselves.\Bastard! What are you doing with Minmay?!\Hey... response:	It's got nothing to do with you losers.
context: Minmay, we've got to get out of here! Minmay!\This way!\Ow!\What do you think you're doing?!\Behave yourselves.\Bastard! What are you doing with Minmay?!\Hey...\It's got nothing to do with you losers. response:	Come on, let's get the hell out of this town.
context: This way!\Ow!\What do you think you're doing?!\Behave yourselves.\Bastard! What are you doing with Minmay?!\Hey...\It's got nothing to do with you losers.\Come on, let's get the hell out of this town. response:	It's been a long time, old man Global.
context: Ow!\What do you think you're doing?!\Behave yourselves.\Bastard! What are you doing with Minmay?!\Hey...\It's got nothing to do with you losers.\Come on, let's get the hell out of this town.\It's been a long time, old man Global. response:	How you been?
context: What do you think you're doing?!\Behave yourselves.\Bastard! What are you doing with Minmay?!\Hey...\It's got nothing to do with you losers.\Come on, let's get the hell out of this town.\It's been a long time, old man Global.\How you been? response:	I'm fine.
context: Behave yourselves.\Bastard! What are you doing with Minmay?!\Hey...\It's got nothing to do with you losers.\Come on, let's get the hell out of this town.\It's been a long time, old man Global.\How you been?\I'm fine. response:	But what do you want?
context: Bastard! What are you doing with Minmay?!\Hey...\It's got nothing to do with you losers.\Come on, let's get the hell out of this town.\It's been a long time, old man Global.\How you been?\I'm fine.\But what do you want? response:	Take a look at this.
context: Hey...\It's got nothing to do with you losers.\Come on, let's get the hell out of this town.\It's been a long time, old man Global.\How you been?\I'm fine.\But what do you want?\Take a look at this. response:	See?
