context: Until the competition is over, response:	there will be no practice.
context: Until the competition is over,\there will be no practice. response:	Oi, Chiaki
context: Until the competition is over,\there will be no practice.\Oi, Chiaki response:	Senpai, please wait!
context: Until the competition is over,\there will be no practice.\Oi, Chiaki\Senpai, please wait! response:	what was that just now...?
context: Until the competition is over,\there will be no practice.\Oi, Chiaki\Senpai, please wait!\what was that just now...? response:	that was the plane at that time...
context: Until the competition is over,\there will be no practice.\Oi, Chiaki\Senpai, please wait!\what was that just now...?\that was the plane at that time... response:	But..
context: Until the competition is over,\there will be no practice.\Oi, Chiaki\Senpai, please wait!\what was that just now...?\that was the plane at that time...\But.. response:	the first thing I saw...
context: Until the competition is over,\there will be no practice.\Oi, Chiaki\Senpai, please wait!\what was that just now...?\that was the plane at that time...\But..\the first thing I saw... response:	was that a human being?
context: there will be no practice.\Oi, Chiaki\Senpai, please wait!\what was that just now...?\that was the plane at that time...\But..\the first thing I saw...\was that a human being? response:	Chiaki Senpai, are you ok?
context: Oi, Chiaki\Senpai, please wait!\what was that just now...?\that was the plane at that time...\But..\the first thing I saw...\was that a human being?\Chiaki Senpai, are you ok? response:	I'm OK
context: Senpai, please wait!\what was that just now...?\that was the plane at that time...\But..\the first thing I saw...\was that a human being?\Chiaki Senpai, are you ok?\I'm OK response:	Okay, for a while, everybody please practice individually
context: what was that just now...?\that was the plane at that time...\But..\the first thing I saw...\was that a human being?\Chiaki Senpai, are you ok?\I'm OK\Okay, for a while, everybody please practice individually response:	Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!
context: that was the plane at that time...\But..\the first thing I saw...\was that a human being?\Chiaki Senpai, are you ok?\I'm OK\Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance! response:	Hey, all of you!
context: But..\the first thing I saw...\was that a human being?\Chiaki Senpai, are you ok?\I'm OK\Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you! response:	Kangaroo...
context: the first thing I saw...\was that a human being?\Chiaki Senpai, are you ok?\I'm OK\Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you!\Kangaroo... response:	Deer...
context: was that a human being?\Chiaki Senpai, are you ok?\I'm OK\Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you!\Kangaroo...\Deer... response:	Senpai.. It must be a real shock for you..
context: Chiaki Senpai, are you ok?\I'm OK\Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you!\Kangaroo...\Deer...\Senpai.. It must be a real shock for you.. response:	that everyone in the orchestra isn't serious about this Oke..
context: I'm OK\Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you!\Kangaroo...\Deer...\Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke.. response:	but I'm returning to Boston in spring.
context: Okay, for a while, everybody please practice individually\Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you!\Kangaroo...\Deer...\Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring. response:	Me too, sooner or later, I intend to return to Vienna
context: Ha? What are you talking about, Kiyora!! There's not much time left until the public performance!\Hey, all of you!\Kangaroo...\Deer...\Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna response:	but about professional Oke, are you serious??
context: Hey, all of you!\Kangaroo...\Deer...\Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious?? response:	No.. Not at all!
context: Kangaroo...\Deer...\Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious??\No.. Not at all! response:	Nodame don't mind... even if I have to eat canned foods...
