context: He became a prince out of necessity. response:	He realized that if nothing else, the future we hoped for
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for response:	would never come unless someone became the sacrificial lamb called a prince.
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince. response:	So even though it wasn't what he wanted, he decided to be a prince.
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince. response:	In this world with no king...
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king... response:	But exactly how did he become a prince?
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king...\But exactly how did he become a prince? response:	I still don't know that secret.
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king...\But exactly how did he become a prince?\I still don't know that secret. response:	Well, here we are, Miss.
context: He became a prince out of necessity.\He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king...\But exactly how did he become a prince?\I still don't know that secret.\Well, here we are, Miss. response:	And here's your bag.
context: He realized that if nothing else, the future we hoped for\would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king...\But exactly how did he become a prince?\I still don't know that secret.\Well, here we are, Miss.\And here's your bag. response:	This is the center of the world?
context: would never come unless someone became the sacrificial lamb called a prince.\So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king...\But exactly how did he become a prince?\I still don't know that secret.\Well, here we are, Miss.\And here's your bag.\This is the center of the world? response:	Episode 1 : I Picked Up a Prince
context: So even though it wasn't what he wanted, he decided to be a prince.\In this world with no king...\But exactly how did he become a prince?\I still don't know that secret.\Well, here we are, Miss.\And here's your bag.\This is the center of the world?\Episode 1 : I Picked Up a Prince response:	It's different than I imagined, somehow.
