context: I have put up a barrier. response:	Those insects cannot get through.
context: I have put up a barrier.\Those insects cannot get through. response:	Without the souls of the dead...
context: I have put up a barrier.\Those insects cannot get through.\Without the souls of the dead... response:	you cannot move.
context: I have put up a barrier.\Those insects cannot get through.\Without the souls of the dead...\you cannot move. response:	Kikyo... Just what are you thinking?
context: I have put up a barrier.\Those insects cannot get through.\Without the souls of the dead...\you cannot move.\Kikyo... Just what are you thinking? response:	In the mountain where the Fuko spell was cast...
context: I have put up a barrier.\Those insects cannot get through.\Without the souls of the dead...\you cannot move.\Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast... response:	many demons were sealed inside...
context: I have put up a barrier.\Those insects cannot get through.\Without the souls of the dead...\you cannot move.\Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast...\many demons were sealed inside... response:	in order to create my new body.
context: I have put up a barrier.\Those insects cannot get through.\Without the souls of the dead...\you cannot move.\Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast...\many demons were sealed inside...\in order to create my new body. response:	Lured by the miasma around the mountain...
context: Those insects cannot get through.\Without the souls of the dead...\you cannot move.\Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast...\many demons were sealed inside...\in order to create my new body.\Lured by the miasma around the mountain... response:	Inuyasha stumbled onto the scene...
context: Without the souls of the dead...\you cannot move.\Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast...\many demons were sealed inside...\in order to create my new body.\Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene... response:	and began fighting with the demon being forged into Kodoku.
context: you cannot move.\Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast...\many demons were sealed inside...\in order to create my new body.\Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku. response:	Then you appeared.
context: Kikyo... Just what are you thinking?\In the mountain where the Fuko spell was cast...\many demons were sealed inside...\in order to create my new body.\Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku.\Then you appeared. response:	Your arrows have the power...
context: In the mountain where the Fuko spell was cast...\many demons were sealed inside...\in order to create my new body.\Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku.\Then you appeared.\Your arrows have the power... response:	to easily break the seal of the spell.
context: many demons were sealed inside...\in order to create my new body.\Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku.\Then you appeared.\Your arrows have the power...\to easily break the seal of the spell. response:	At that time, if you had wanted to protect Inuyasha...
context: in order to create my new body.\Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku.\Then you appeared.\Your arrows have the power...\to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha... response:	from being fused with the demon...
context: Lured by the miasma around the mountain...\Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku.\Then you appeared.\Your arrows have the power...\to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha...\from being fused with the demon... response:	you should have shot the demon with your arrow.
context: Inuyasha stumbled onto the scene...\and began fighting with the demon being forged into Kodoku.\Then you appeared.\Your arrows have the power...\to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha...\from being fused with the demon...\you should have shot the demon with your arrow. response:	The demon would have disintegrated...
context: and began fighting with the demon being forged into Kodoku.\Then you appeared.\Your arrows have the power...\to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha...\from being fused with the demon...\you should have shot the demon with your arrow.\The demon would have disintegrated... response:	and the Fuko spell would have been broken.
context: Then you appeared.\Your arrows have the power...\to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha...\from being fused with the demon...\you should have shot the demon with your arrow.\The demon would have disintegrated...\and the Fuko spell would have been broken. response:	Were you trying to see...
context: Your arrows have the power...\to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha...\from being fused with the demon...\you should have shot the demon with your arrow.\The demon would have disintegrated...\and the Fuko spell would have been broken.\Were you trying to see... response:	what waited beyond the creation of the Kodoku?
context: to easily break the seal of the spell.\At that time, if you had wanted to protect Inuyasha...\from being fused with the demon...\you should have shot the demon with your arrow.\The demon would have disintegrated...\and the Fuko spell would have been broken.\Were you trying to see...\what waited beyond the creation of the Kodoku? response:	And there you were.
context: At that time, if you had wanted to protect Inuyasha...\from being fused with the demon...\you should have shot the demon with your arrow.\The demon would have disintegrated...\and the Fuko spell would have been broken.\Were you trying to see...\what waited beyond the creation of the Kodoku?\And there you were. response:	That is a fine disguise, Onigumo.
context: from being fused with the demon...\you should have shot the demon with your arrow.\The demon would have disintegrated...\and the Fuko spell would have been broken.\Were you trying to see...\what waited beyond the creation of the Kodoku?\And there you were.\That is a fine disguise, Onigumo. response:	Onigumo, huh? How nostalgic.
context: you should have shot the demon with your arrow.\The demon would have disintegrated...\and the Fuko spell would have been broken.\Were you trying to see...\what waited beyond the creation of the Kodoku?\And there you were.\That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic. response:	Fifty years ago...
context: The demon would have disintegrated...\and the Fuko spell would have been broken.\Were you trying to see...\what waited beyond the creation of the Kodoku?\And there you were.\That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic.\Fifty years ago... response:	you saved a wounded fugitive... and sheltered him in a cave.
context: and the Fuko spell would have been broken.\Were you trying to see...\what waited beyond the creation of the Kodoku?\And there you were.\That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic.\Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave. response:	Onigumo offered his body to the demons...
context: Were you trying to see...\what waited beyond the creation of the Kodoku?\And there you were.\That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic.\Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons... response:	latched onto his evil soul...
context: what waited beyond the creation of the Kodoku?\And there you were.\That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic.\Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons...\latched onto his evil soul... response:	and thus was born me - Naraku.
context: And there you were.\That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic.\Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons...\latched onto his evil soul...\and thus was born me - Naraku. response:	That's!
context: That is a fine disguise, Onigumo.\Onigumo, huh? How nostalgic.\Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons...\latched onto his evil soul...\and thus was born me - Naraku.\That's! response:	Exactly...
context: Onigumo, huh? How nostalgic.\Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons...\latched onto his evil soul...\and thus was born me - Naraku.\That's!\Exactly... response:	The very thing you gave your life in trying to erase from the world...
context: Fifty years ago...\you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons...\latched onto his evil soul...\and thus was born me - Naraku.\That's!\Exactly...\The very thing you gave your life in trying to erase from the world... response:	a fragment of the Sacred Jewel.
context: you saved a wounded fugitive... and sheltered him in a cave.\Onigumo offered his body to the demons...\latched onto his evil soul...\and thus was born me - Naraku.\That's!\Exactly...\The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel. response:	I have heard that you killed me...
context: Onigumo offered his body to the demons...\latched onto his evil soul...\and thus was born me - Naraku.\That's!\Exactly...\The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel.\I have heard that you killed me... response:	in your desire to possess the Sacred Jewel.
context: latched onto his evil soul...\and thus was born me - Naraku.\That's!\Exactly...\The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel.\I have heard that you killed me...\in your desire to possess the Sacred Jewel. response:	It's laughable I'm telling it all to you...
context: and thus was born me - Naraku.\That's!\Exactly...\The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel.\I have heard that you killed me...\in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you... response:	a mere collection of the souls of the dead.
context: That's!\Exactly...\The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel.\I have heard that you killed me...\in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you...\a mere collection of the souls of the dead. response:	But the fragments are gathering within my grasp.
context: Exactly...\The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel.\I have heard that you killed me...\in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you...\a mere collection of the souls of the dead.\But the fragments are gathering within my grasp. response:	Do you know the girl who resembles you?
context: The very thing you gave your life in trying to erase from the world...\a fragment of the Sacred Jewel.\I have heard that you killed me...\in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you...\a mere collection of the souls of the dead.\But the fragments are gathering within my grasp.\Do you know the girl who resembles you? response:	A battle between those who possess the power to purify evil.
context: a fragment of the Sacred Jewel.\I have heard that you killed me...\in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you...\a mere collection of the souls of the dead.\But the fragments are gathering within my grasp.\Do you know the girl who resembles you?\A battle between those who possess the power to purify evil. response:	If you yearn for this world...
context: I have heard that you killed me...\in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you...\a mere collection of the souls of the dead.\But the fragments are gathering within my grasp.\Do you know the girl who resembles you?\A battle between those who possess the power to purify evil.\If you yearn for this world... response:	defeat her.
context: in your desire to possess the Sacred Jewel.\It's laughable I'm telling it all to you...\a mere collection of the souls of the dead.\But the fragments are gathering within my grasp.\Do you know the girl who resembles you?\A battle between those who possess the power to purify evil.\If you yearn for this world...\defeat her. response:	Don't you think those two have been acting strange?
context: It's laughable I'm telling it all to you...\a mere collection of the souls of the dead.\But the fragments are gathering within my grasp.\Do you know the girl who resembles you?\A battle between those who possess the power to purify evil.\If you yearn for this world...\defeat her.\Don't you think those two have been acting strange? response:	Yes...
context: a mere collection of the souls of the dead.\But the fragments are gathering within my grasp.\Do you know the girl who resembles you?\A battle between those who possess the power to purify evil.\If you yearn for this world...\defeat her.\Don't you think those two have been acting strange?\Yes... response:	Inuyasha...
context: But the fragments are gathering within my grasp.\Do you know the girl who resembles you?\A battle between those who possess the power to purify evil.\If you yearn for this world...\defeat her.\Don't you think those two have been acting strange?\Yes...\Inuyasha... response:	Hey!
context: Do you know the girl who resembles you?\A battle between those who possess the power to purify evil.\If you yearn for this world...\defeat her.\Don't you think those two have been acting strange?\Yes...\Inuyasha...\Hey! response:	Let's go! We must save Kikyo.
context: A battle between those who possess the power to purify evil.\If you yearn for this world...\defeat her.\Don't you think those two have been acting strange?\Yes...\Inuyasha...\Hey!\Let's go! We must save Kikyo. response:	They can't have gone far yet.
context: If you yearn for this world...\defeat her.\Don't you think those two have been acting strange?\Yes...\Inuyasha...\Hey!\Let's go! We must save Kikyo.\They can't have gone far yet. response:	I'll go alone.
context: defeat her.\Don't you think those two have been acting strange?\Yes...\Inuyasha...\Hey!\Let's go! We must save Kikyo.\They can't have gone far yet.\I'll go alone. response:	Don't be ridiculous, fool!
context: Don't you think those two have been acting strange?\Yes...\Inuyasha...\Hey!\Let's go! We must save Kikyo.\They can't have gone far yet.\I'll go alone.\Don't be ridiculous, fool! response:	Naraku is the one who took Kikyo.
context: Yes...\Inuyasha...\Hey!\Let's go! We must save Kikyo.\They can't have gone far yet.\I'll go alone.\Don't be ridiculous, fool!\Naraku is the one who took Kikyo. response:	Naraku is the evil creature...
context: Inuyasha...\Hey!\Let's go! We must save Kikyo.\They can't have gone far yet.\I'll go alone.\Don't be ridiculous, fool!\Naraku is the one who took Kikyo.\Naraku is the evil creature... response:	who created this nuisance of a hole in my right hand! I owe him!
context: Hey!\Let's go! We must save Kikyo.\They can't have gone far yet.\I'll go alone.\Don't be ridiculous, fool!\Naraku is the one who took Kikyo.\Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him! response:	We are all after Naraku.
context: Let's go! We must save Kikyo.\They can't have gone far yet.\I'll go alone.\Don't be ridiculous, fool!\Naraku is the one who took Kikyo.\Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku. response:	It's not your problem alone, Inuyasha!
context: They can't have gone far yet.\I'll go alone.\Don't be ridiculous, fool!\Naraku is the one who took Kikyo.\Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku.\It's not your problem alone, Inuyasha! response:	We're all worried about you and Kikyo.
context: I'll go alone.\Don't be ridiculous, fool!\Naraku is the one who took Kikyo.\Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku.\It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo. response:	So stop sneaking around and trying to solve everything alone.
context: Don't be ridiculous, fool!\Naraku is the one who took Kikyo.\Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku.\It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone. response:	Sneaking around?! When did I ever do that?!
context: Naraku is the one who took Kikyo.\Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku.\It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?! response:	Inuyasha! Look!
context: Naraku is the evil creature...\who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku.\It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?!\Inuyasha! Look! response:	They're Kikyo's soul collectors!
context: who created this nuisance of a hole in my right hand! I owe him!\We are all after Naraku.\It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?!\Inuyasha! Look!\They're Kikyo's soul collectors! response:	Kikyo is close by, after all!
context: We are all after Naraku.\It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?!\Inuyasha! Look!\They're Kikyo's soul collectors!\Kikyo is close by, after all! response:	- Let's follow them! - Okay!
context: It's not your problem alone, Inuyasha!\We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?!\Inuyasha! Look!\They're Kikyo's soul collectors!\Kikyo is close by, after all!\- Let's follow them! - Okay! response:	Kagome... why aren't you hitching onto Inuyasha's back like usual?
context: We're all worried about you and Kikyo.\So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?!\Inuyasha! Look!\They're Kikyo's soul collectors!\Kikyo is close by, after all!\- Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual? response:	Well...
context: So stop sneaking around and trying to solve everything alone.\Sneaking around?! When did I ever do that?!\Inuyasha! Look!\They're Kikyo's soul collectors!\Kikyo is close by, after all!\- Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well... response:	Inuyasha's mind is full of Kikyo right now.
context: Sneaking around?! When did I ever do that?!\Inuyasha! Look!\They're Kikyo's soul collectors!\Kikyo is close by, after all!\- Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well...\Inuyasha's mind is full of Kikyo right now. response:	Besides, why did I always go onto his back...
context: Inuyasha! Look!\They're Kikyo's soul collectors!\Kikyo is close by, after all!\- Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well...\Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back... response:	when he was not even my boyfriend?
context: They're Kikyo's soul collectors!\Kikyo is close by, after all!\- Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well...\Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back...\when he was not even my boyfriend? response:	Oh dear...I feel so embarrassed!
context: Kikyo is close by, after all!\- Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well...\Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back...\when he was not even my boyfriend?\Oh dear...I feel so embarrassed! response:	Oh dear...how embarrassing!
context: - Let's follow them! - Okay!\Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well...\Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back...\when he was not even my boyfriend?\Oh dear...I feel so embarrassed!\Oh dear...how embarrassing! response:	What's the matter with Kagome?
context: Kagome... why aren't you hitching onto Inuyasha's back like usual?\Well...\Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back...\when he was not even my boyfriend?\Oh dear...I feel so embarrassed!\Oh dear...how embarrassing!\What's the matter with Kagome? response:	Dunno...
