context: Timing and Subtitles brought to you by The Little Lover Team@Viki. response:	Moon Bunny Michaela!
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela! response:	Ah... Shhh.
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela!\Ah... Shhh. response:	You are famous now in the on-line novel world.
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela!\Ah... Shhh.\You are famous now in the on-line novel world. response:	I love... Moon Bunny Michaela.
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela!\Ah... Shhh.\You are famous now in the on-line novel world.\I love... Moon Bunny Michaela. response:	I love... Horikiri Chiyomi.
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela!\Ah... Shhh.\You are famous now in the on-line novel world.\I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi. response:	I've liked Minami-kun...
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela!\Ah... Shhh.\You are famous now in the on-line novel world.\I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi.\I've liked Minami-kun... response:	all this time.
context: Timing and Subtitles brought to you by The Little Lover Team@Viki.\Moon Bunny Michaela!\Ah... Shhh.\You are famous now in the on-line novel world.\I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi.\I've liked Minami-kun...\all this time. response:	I'm not going to take the entrance exam. I know exactly what I want to do.
context: Moon Bunny Michaela!\Ah... Shhh.\You are famous now in the on-line novel world.\I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi.\I've liked Minami-kun...\all this time.\I'm not going to take the entrance exam. I know exactly what I want to do. response:	You are so spoiled and easy going.
context: Ah... Shhh.\You are famous now in the on-line novel world.\I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi.\I've liked Minami-kun...\all this time.\I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going. response:	I want to get back to that time again.
context: You are famous now in the on-line novel world.\I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi.\I've liked Minami-kun...\all this time.\I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to get back to that time again. response:	I want to be little again.
context: I love... Moon Bunny Michaela.\I love... Horikiri Chiyomi.\I've liked Minami-kun...\all this time.\I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to get back to that time again.\I want to be little again. response:	Minami-kun...
context: I love... Horikiri Chiyomi.\I've liked Minami-kun...\all this time.\I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to get back to that time again.\I want to be little again.\Minami-kun... response:	Why?
