context: And, the one-inch-boy, wearing a needle sword response:	that his grandfather made,
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made, response:	rode a soup bowl
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made,\rode a soup bowl response:	his grandmother prepared as a boat
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made,\rode a soup bowl\his grandmother prepared as a boat response:	and headed for Kyoto.
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made,\rode a soup bowl\his grandmother prepared as a boat\and headed for Kyoto. response:	He is so cool even though he is small!
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made,\rode a soup bowl\his grandmother prepared as a boat\and headed for Kyoto.\He is so cool even though he is small! response:	Right. Even though he is small,
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made,\rode a soup bowl\his grandmother prepared as a boat\and headed for Kyoto.\He is so cool even though he is small!\Right. Even though he is small, response:	he is very brave.
context: And, the one-inch-boy, wearing a needle sword\that his grandfather made,\rode a soup bowl\his grandmother prepared as a boat\and headed for Kyoto.\He is so cool even though he is small!\Right. Even though he is small,\he is very brave. response:	I want to see him.
context: that his grandfather made,\rode a soup bowl\his grandmother prepared as a boat\and headed for Kyoto.\He is so cool even though he is small!\Right. Even though he is small,\he is very brave.\I want to see him. response:	Oh, come to think of it, there is a legend in this area
context: rode a soup bowl\his grandmother prepared as a boat\and headed for Kyoto.\He is so cool even though he is small!\Right. Even though he is small,\he is very brave.\I want to see him.\Oh, come to think of it, there is a legend in this area response:	that is called'one-inch-princess.'
context: his grandmother prepared as a boat\and headed for Kyoto.\He is so cool even though he is small!\Right. Even though he is small,\he is very brave.\I want to see him.\Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.' response:	- One-inch-princess? - One-inch-princess?
context: and headed for Kyoto.\He is so cool even though he is small!\Right. Even though he is small,\he is very brave.\I want to see him.\Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess? response:	Really? Does she really exist?
context: He is so cool even though he is small!\Right. Even though he is small,\he is very brave.\I want to see him.\Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess?\Really? Does she really exist? response:	I don't know...
context: Right. Even though he is small,\he is very brave.\I want to see him.\Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess?\Really? Does she really exist?\I don't know... response:	I wonder.
context: he is very brave.\I want to see him.\Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess?\Really? Does she really exist?\I don't know...\I wonder. response:	- One-inch-princess! - One-inch-princess!
context: I want to see him.\Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess?\Really? Does she really exist?\I don't know...\I wonder.\- One-inch-princess! - One-inch-princess! response:	Where are you?
context: Oh, come to think of it, there is a legend in this area\that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess?\Really? Does she really exist?\I don't know...\I wonder.\- One-inch-princess! - One-inch-princess!\Where are you? response:	Where?
context: that is called'one-inch-princess.'\- One-inch-princess? - One-inch-princess?\Really? Does she really exist?\I don't know...\I wonder.\- One-inch-princess! - One-inch-princess!\Where are you?\Where? response:	One-inch-princess!
context: - One-inch-princess? - One-inch-princess?\Really? Does she really exist?\I don't know...\I wonder.\- One-inch-princess! - One-inch-princess!\Where are you?\Where?\One-inch-princess! response:	One-inch-princess!
context: Really? Does she really exist?\I don't know...\I wonder.\- One-inch-princess! - One-inch-princess!\Where are you?\Where?\One-inch-princess!\One-inch-princess! response:	Where are you? Over there?
context: I don't know...\I wonder.\- One-inch-princess! - One-inch-princess!\Where are you?\Where?\One-inch-princess!\One-inch-princess!\Where are you? Over there? response:	Come out, one-inch-princess.
context: I wonder.\- One-inch-princess! - One-inch-princess!\Where are you?\Where?\One-inch-princess!\One-inch-princess!\Where are you? Over there?\Come out, one-inch-princess. response:	I am sure she is here.
context: - One-inch-princess! - One-inch-princess!\Where are you?\Where?\One-inch-princess!\One-inch-princess!\Where are you? Over there?\Come out, one-inch-princess.\I am sure she is here. response:	For example, under the grass like this.
context: Where are you?\Where?\One-inch-princess!\One-inch-princess!\Where are you? Over there?\Come out, one-inch-princess.\I am sure she is here.\For example, under the grass like this. response:	Oh, it's a frog. Over there?
context: Where?\One-inch-princess!\One-inch-princess!\Where are you? Over there?\Come out, one-inch-princess.\I am sure she is here.\For example, under the grass like this.\Oh, it's a frog. Over there? response:	- Over here. - One-inch-princess!
context: One-inch-princess!\One-inch-princess!\Where are you? Over there?\Come out, one-inch-princess.\I am sure she is here.\For example, under the grass like this.\Oh, it's a frog. Over there?\- Over here. - One-inch-princess! response:	Where is she?
context: One-inch-princess!\Where are you? Over there?\Come out, one-inch-princess.\I am sure she is here.\For example, under the grass like this.\Oh, it's a frog. Over there?\- Over here. - One-inch-princess!\Where is she? response:	Ah... I got wet.
context: Where are you? Over there?\Come out, one-inch-princess.\I am sure she is here.\For example, under the grass like this.\Oh, it's a frog. Over there?\- Over here. - One-inch-princess!\Where is she?\Ah... I got wet. response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: Come out, one-inch-princess.\I am sure she is here.\For example, under the grass like this.\Oh, it's a frog. Over there?\- Over here. - One-inch-princess!\Where is she?\Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	What's the matter? Are you okay?
context: I am sure she is here.\For example, under the grass like this.\Oh, it's a frog. Over there?\- Over here. - One-inch-princess!\Where is she?\Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay? response:	- One-inch-princess. - Eh?
context: For example, under the grass like this.\Oh, it's a frog. Over there?\- Over here. - One-inch-princess!\Where is she?\Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay?\- One-inch-princess. - Eh? response:	She was really here.
context: Oh, it's a frog. Over there?\- Over here. - One-inch-princess!\Where is she?\Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay?\- One-inch-princess. - Eh?\She was really here. response:	I saw her now. See over there?
