context: Huh, that's strange... response:	This is even more amazing than your room, my lord.
context: Huh, that's strange...\This is even more amazing than your room, my lord. response:	Where did they go? I was certain they were here...
context: Huh, that's strange...\This is even more amazing than your room, my lord.\Where did they go? I was certain they were here... response:	I'm terribly sorry.
context: Huh, that's strange...\This is even more amazing than your room, my lord.\Where did they go? I was certain they were here...\I'm terribly sorry. response:	I could've sworn I had potions to drink somewhere.
context: Huh, that's strange...\This is even more amazing than your room, my lord.\Where did they go? I was certain they were here...\I'm terribly sorry.\I could've sworn I had potions to drink somewhere. response:	It's fine.
context: Huh, that's strange...\This is even more amazing than your room, my lord.\Where did they go? I was certain they were here...\I'm terribly sorry.\I could've sworn I had potions to drink somewhere.\It's fine. response:	Help yourself.
context: Huh, that's strange...\This is even more amazing than your room, my lord.\Where did they go? I was certain they were here...\I'm terribly sorry.\I could've sworn I had potions to drink somewhere.\It's fine.\Help yourself. response:	By the way, isn't that Dazaneg's magic bag?
context: Huh, that's strange...\This is even more amazing than your room, my lord.\Where did they go? I was certain they were here...\I'm terribly sorry.\I could've sworn I had potions to drink somewhere.\It's fine.\Help yourself.\By the way, isn't that Dazaneg's magic bag? response:	I believe making one requires a purple flame crystal and a winged dragon skin.
context: This is even more amazing than your room, my lord.\Where did they go? I was certain they were here...\I'm terribly sorry.\I could've sworn I had potions to drink somewhere.\It's fine.\Help yourself.\By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin. response:	Yes.
context: Where did they go? I was certain they were here...\I'm terribly sorry.\I could've sworn I had potions to drink somewhere.\It's fine.\Help yourself.\By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin.\Yes. response:	I got the items, and I had someone make it for me.
context: I'm terribly sorry.\I could've sworn I had potions to drink somewhere.\It's fine.\Help yourself.\By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin.\Yes.\I got the items, and I had someone make it for me. response:	He knows the requirements for the level-45 quest Get the Magic Bag.
context: I could've sworn I had potions to drink somewhere.\It's fine.\Help yourself.\By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin.\Yes.\I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag. response:	Who is he?
context: It's fine.\Help yourself.\By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin.\Yes.\I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he? response:	Tomorrow, we'll go in the afternoon, too.
context: Help yourself.\By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin.\Yes.\I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he?\Tomorrow, we'll go in the afternoon, too. response:	Right...
context: By the way, isn't that Dazaneg's magic bag?\I believe making one requires a purple flame crystal and a winged dragon skin.\Yes.\I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he?\Tomorrow, we'll go in the afternoon, too.\Right... response:	An hour's rest will restore our HP and MP back to max.
context: I believe making one requires a purple flame crystal and a winged dragon skin.\Yes.\I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he?\Tomorrow, we'll go in the afternoon, too.\Right...\An hour's rest will restore our HP and MP back to max. response:	Yes.
context: Yes.\I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he?\Tomorrow, we'll go in the afternoon, too.\Right...\An hour's rest will restore our HP and MP back to max.\Yes. response:	But you're only allowed to enter a dungeon once per day...
context: I got the items, and I had someone make it for me.\He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he?\Tomorrow, we'll go in the afternoon, too.\Right...\An hour's rest will restore our HP and MP back to max.\Yes.\But you're only allowed to enter a dungeon once per day... response:	That's exactly right.
context: He knows the requirements for the level-45 quest Get the Magic Bag.\Who is he?\Tomorrow, we'll go in the afternoon, too.\Right...\An hour's rest will restore our HP and MP back to max.\Yes.\But you're only allowed to enter a dungeon once per day...\That's exactly right. response:	Master Naotsugu!
context: Who is he?\Tomorrow, we'll go in the afternoon, too.\Right...\An hour's rest will restore our HP and MP back to max.\Yes.\But you're only allowed to enter a dungeon once per day...\That's exactly right.\Master Naotsugu! response:	If you can't follow the rules, you'll have to go back to Akihabara.
context: Tomorrow, we'll go in the afternoon, too.\Right...\An hour's rest will restore our HP and MP back to max.\Yes.\But you're only allowed to enter a dungeon once per day...\That's exactly right.\Master Naotsugu!\If you can't follow the rules, you'll have to go back to Akihabara. response:	But...
context: Right...\An hour's rest will restore our HP and MP back to max.\Yes.\But you're only allowed to enter a dungeon once per day...\That's exactly right.\Master Naotsugu!\If you can't follow the rules, you'll have to go back to Akihabara.\But... response:	Adventurers should follow the rules.
