context: The girl I fell in love with at first sight, Rebecca, response:	has successfully become Pastillage's Hero!
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero! response:	I gave wings to the adoration that I always held in my heart
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart response:	and invited her into the skies.
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart\and invited her into the skies. response:	That's the power of our treasure sword!
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart\and invited her into the skies.\That's the power of our treasure sword! response:	So let's go!
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart\and invited her into the skies.\That's the power of our treasure sword!\So let's go! response:	Let's bust in on Millihi-nee and Leo-nee's war!
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart\and invited her into the skies.\That's the power of our treasure sword!\So let's go!\Let's bust in on Millihi-nee and Leo-nee's war! response:	I'll do my best!
context: The girl I fell in love with at first sight, Rebecca,\has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart\and invited her into the skies.\That's the power of our treasure sword!\So let's go!\Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best! response:	We unexpectedly have three now!
context: has successfully become Pastillage's Hero!\I gave wings to the adoration that I always held in my heart\and invited her into the skies.\That's the power of our treasure sword!\So let's go!\Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best!\We unexpectedly have three now! response:	Pastillage's hero, Rebecca, was just born!
context: I gave wings to the adoration that I always held in my heart\and invited her into the skies.\That's the power of our treasure sword!\So let's go!\Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best!\We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born! response:	Becky's a...
context: and invited her into the skies.\That's the power of our treasure sword!\So let's go!\Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best!\We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born!\Becky's a... response:	Go, Rebecca!
context: That's the power of our treasure sword!\So let's go!\Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best!\We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born!\Becky's a...\Go, Rebecca! response:	Show them the power of Pastillage's Hero!
context: So let's go!\Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best!\We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born!\Becky's a...\Go, Rebecca!\Show them the power of Pastillage's Hero! response:	I will, Cou-sama!
context: Let's bust in on Millihi-nee and Leo-nee's war!\I'll do my best!\We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born!\Becky's a...\Go, Rebecca!\Show them the power of Pastillage's Hero!\I will, Cou-sama! response:	With the Sacred Sword Mercurius.
context: I'll do my best!\We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born!\Becky's a...\Go, Rebecca!\Show them the power of Pastillage's Hero!\I will, Cou-sama!\With the Sacred Sword Mercurius. response:	Three Heroes!
context: We unexpectedly have three now!\Pastillage's hero, Rebecca, was just born!\Becky's a...\Go, Rebecca!\Show them the power of Pastillage's Hero!\I will, Cou-sama!\With the Sacred Sword Mercurius.\Three Heroes! response:	I do this to turn.
context: Pastillage's hero, Rebecca, was just born!\Becky's a...\Go, Rebecca!\Show them the power of Pastillage's Hero!\I will, Cou-sama!\With the Sacred Sword Mercurius.\Three Heroes!\I do this to turn. response:	She's flying!
context: Becky's a...\Go, Rebecca!\Show them the power of Pastillage's Hero!\I will, Cou-sama!\With the Sacred Sword Mercurius.\Three Heroes!\I do this to turn.\She's flying! response:	Pastillage's Hero, Rebecca,
context: Go, Rebecca!\Show them the power of Pastillage's Hero!\I will, Cou-sama!\With the Sacred Sword Mercurius.\Three Heroes!\I do this to turn.\She's flying!\Pastillage's Hero, Rebecca, response:	has mounted a broom and is now soaring through the sky!
context: Show them the power of Pastillage's Hero!\I will, Cou-sama!\With the Sacred Sword Mercurius.\Three Heroes!\I do this to turn.\She's flying!\Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky! response:	I have to push these buttons together
context: I will, Cou-sama!\With the Sacred Sword Mercurius.\Three Heroes!\I do this to turn.\She's flying!\Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky!\I have to push these buttons together response:	to change gears, and for special moves.
context: With the Sacred Sword Mercurius.\Three Heroes!\I do this to turn.\She's flying!\Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky!\I have to push these buttons together\to change gears, and for special moves. response:	I did it!
context: Three Heroes!\I do this to turn.\She's flying!\Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky!\I have to push these buttons together\to change gears, and for special moves.\I did it! response:	Our Hero isn't the only one who can fly!
context: I do this to turn.\She's flying!\Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky!\I have to push these buttons together\to change gears, and for special moves.\I did it!\Our Hero isn't the only one who can fly! response:	Awaken, Heavenly Spear Crimaris!
context: She's flying!\Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky!\I have to push these buttons together\to change gears, and for special moves.\I did it!\Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris! response:	My Bright Power Gear!
context: Pastillage's Hero, Rebecca,\has mounted a broom and is now soaring through the sky!\I have to push these buttons together\to change gears, and for special moves.\I did it!\Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris!\My Bright Power Gear! response:	Pastillage's Princess Couverte is joining the battle!
context: has mounted a broom and is now soaring through the sky!\I have to push these buttons together\to change gears, and for special moves.\I did it!\Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris!\My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle! response:	Go, Skyer!
context: I have to push these buttons together\to change gears, and for special moves.\I did it!\Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris!\My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle!\Go, Skyer! response:	Rebecca and I are going to turn the tide now!
context: to change gears, and for special moves.\I did it!\Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris!\My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle!\Go, Skyer!\Rebecca and I are going to turn the tide now! response:	The Pastillage army's morale went up.
context: I did it!\Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris!\My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle!\Go, Skyer!\Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up. response:	Couverte-sama seems to be quite popular, too.
context: Our Hero isn't the only one who can fly!\Awaken, Heavenly Spear Crimaris!\My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle!\Go, Skyer!\Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too. response:	Rebecca!
context: Awaken, Heavenly Spear Crimaris!\My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle!\Go, Skyer!\Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too.\Rebecca! response:	Cou-sama!
context: My Bright Power Gear!\Pastillage's Princess Couverte is joining the battle!\Go, Skyer!\Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too.\Rebecca!\Cou-sama! response:	Looks like my eyes didn't deceive me.
context: Pastillage's Princess Couverte is joining the battle!\Go, Skyer!\Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too.\Rebecca!\Cou-sama!\Looks like my eyes didn't deceive me. response:	Your flying is great!
context: Go, Skyer!\Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too.\Rebecca!\Cou-sama!\Looks like my eyes didn't deceive me.\Your flying is great! response:	I've fallen for you once again.
context: Rebecca and I are going to turn the tide now!\The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too.\Rebecca!\Cou-sama!\Looks like my eyes didn't deceive me.\Your flying is great!\I've fallen for you once again. response:	Thanks!
