context: It's been a long time, kid. response:	I'm taking Hana back.
context: It's been a long time, kid.\I'm taking Hana back. response:	Daichi Manatsu,
context: It's been a long time, kid.\I'm taking Hana back.\Daichi Manatsu, response:	do you realize what you're about to do?
context: It's been a long time, kid.\I'm taking Hana back.\Daichi Manatsu,\do you realize what you're about to do? response:	Sleeping within this ship are thousands of young men...
context: It's been a long time, kid.\I'm taking Hana back.\Daichi Manatsu,\do you realize what you're about to do?\Sleeping within this ship are thousands of young men... response:	Young men entrusted with humanity's future.
context: It's been a long time, kid.\I'm taking Hana back.\Daichi Manatsu,\do you realize what you're about to do?\Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future. response:	You're trying to destroy their lives and humanity's future.
context: It's been a long time, kid.\I'm taking Hana back.\Daichi Manatsu,\do you realize what you're about to do?\Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future. response:	No!
context: It's been a long time, kid.\I'm taking Hana back.\Daichi Manatsu,\do you realize what you're about to do?\Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future.\No! response:	The captain is trying to save their lives.
context: I'm taking Hana back.\Daichi Manatsu,\do you realize what you're about to do?\Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future.\No!\The captain is trying to save their lives. response:	What is the life you speak of?
context: Daichi Manatsu,\do you realize what you're about to do?\Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future.\No!\The captain is trying to save their lives.\What is the life you speak of? response:	The boys sleeping within this ship
context: do you realize what you're about to do?\Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future.\No!\The captain is trying to save their lives.\What is the life you speak of?\The boys sleeping within this ship response:	will face a future where only they survive, locked in this iron box.
context: Sleeping within this ship are thousands of young men...\Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future.\No!\The captain is trying to save their lives.\What is the life you speak of?\The boys sleeping within this ship\will face a future where only they survive, locked in this iron box. response:	They'll sleep for thousands,
context: Young men entrusted with humanity's future.\You're trying to destroy their lives and humanity's future.\No!\The captain is trying to save their lives.\What is the life you speak of?\The boys sleeping within this ship\will face a future where only they survive, locked in this iron box.\They'll sleep for thousands, response:	tens of thousands of years, perhaps forever, inside a spaceship.
context: You're trying to destroy their lives and humanity's future.\No!\The captain is trying to save their lives.\What is the life you speak of?\The boys sleeping within this ship\will face a future where only they survive, locked in this iron box.\They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship. response:	That isn't life.
context: No!\The captain is trying to save their lives.\What is the life you speak of?\The boys sleeping within this ship\will face a future where only they survive, locked in this iron box.\They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life. response:	The way I felt in that cold spaceship, just watching time pass...
context: The captain is trying to save their lives.\What is the life you speak of?\The boys sleeping within this ship\will face a future where only they survive, locked in this iron box.\They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life.\The way I felt in that cold spaceship, just watching time pass... response:	I don't want anyone else to experience that.
context: What is the life you speak of?\The boys sleeping within this ship\will face a future where only they survive, locked in this iron box.\They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life.\The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that. response:	It's miserable.
context: The boys sleeping within this ship\will face a future where only they survive, locked in this iron box.\They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life.\The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that.\It's miserable. response:	I'm sure they all want to run around, full of life, on that blue planet below!
