context: Ouma Shu has obtained the Void Genome and recovered his powers. response:	He has also materialized his own Void.
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void. response:	I know.
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void.\I know. response:	You know? You dont mean
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void.\I know.\You know? You dont mean response:	How are things, Mana?
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void.\I know.\You know? You dont mean\How are things, Mana? response:	Its cramped in here.
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void.\I know.\You know? You dont mean\How are things, Mana?\Its cramped in here. response:	This girls pretty stubborn for a fake.
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void.\I know.\You know? You dont mean\How are things, Mana?\Its cramped in here.\This girls pretty stubborn for a fake. response:	But soon, all of this will be me.
context: Ouma Shu has obtained the Void Genome and recovered his powers.\He has also materialized his own Void.\I know.\You know? You dont mean\How are things, Mana?\Its cramped in here.\This girls pretty stubborn for a fake.\But soon, all of this will be me. response:	Then we can have lots of fun together
context: He has also materialized his own Void.\I know.\You know? You dont mean\How are things, Mana?\Its cramped in here.\This girls pretty stubborn for a fake.\But soon, all of this will be me.\Then we can have lots of fun together response:	Triton.
context: I know.\You know? You dont mean\How are things, Mana?\Its cramped in here.\This girls pretty stubborn for a fake.\But soon, all of this will be me.\Then we can have lots of fun together\Triton. response:	The reality of the destruction around us fills our mind
context: You know? You dont mean\How are things, Mana?\Its cramped in here.\This girls pretty stubborn for a fake.\But soon, all of this will be me.\Then we can have lots of fun together\Triton.\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: How are things, Mana?\Its cramped in here.\This girls pretty stubborn for a fake.\But soon, all of this will be me.\Then we can have lots of fun together\Triton.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: Its cramped in here.\This girls pretty stubborn for a fake.\But soon, all of this will be me.\Then we can have lots of fun together\Triton.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: This girls pretty stubborn for a fake.\But soon, all of this will be me.\Then we can have lots of fun together\Triton.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: But soon, all of this will be me.\Then we can have lots of fun together\Triton.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Then we can have lots of fun together\Triton.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Triton.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	Here you are, Yahiro.
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Here you are, Yahiro. response:	Shu was pretty amazing, wasn't he?
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Here you are, Yahiro.\Shu was pretty amazing, wasn't he? response:	Arent you going to say anything to him?
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Here you are, Yahiro.\Shu was pretty amazing, wasn't he?\Arent you going to say anything to him? response:	What should I say?
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Here you are, Yahiro.\Shu was pretty amazing, wasn't he?\Arent you going to say anything to him?\What should I say? response:	Theres a message from Ward 24.
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Here you are, Yahiro.\Shu was pretty amazing, wasn't he?\Arent you going to say anything to him?\What should I say?\Theres a message from Ward 24. response:	Gais talking! Hurry!
context: Even when all you see in your path are storms\remember that your strength is no coincidence\Here you are, Yahiro.\Shu was pretty amazing, wasn't he?\Arent you going to say anything to him?\What should I say?\Theres a message from Ward 24.\Gais talking! Hurry! response:	I warned you once.
context: remember that your strength is no coincidence\Here you are, Yahiro.\Shu was pretty amazing, wasn't he?\Arent you going to say anything to him?\What should I say?\Theres a message from Ward 24.\Gais talking! Hurry!\I warned you once. response:	Dont get in my way.
context: Here you are, Yahiro.\Shu was pretty amazing, wasn't he?\Arent you going to say anything to him?\What should I say?\Theres a message from Ward 24.\Gais talking! Hurry!\I warned you once.\Dont get in my way. response:	Yet, there have been 34 invasion attempts
context: Shu was pretty amazing, wasn't he?\Arent you going to say anything to him?\What should I say?\Theres a message from Ward 24.\Gais talking! Hurry!\I warned you once.\Dont get in my way.\Yet, there have been 34 invasion attempts response:	and 42,000 hacking attempts on Ward 24.
context: Arent you going to say anything to him?\What should I say?\Theres a message from Ward 24.\Gais talking! Hurry!\I warned you once.\Dont get in my way.\Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24. response:	Therefore, I have come to a conclusion.
context: What should I say?\Theres a message from Ward 24.\Gais talking! Hurry!\I warned you once.\Dont get in my way.\Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion. response:	You want to die.
context: Theres a message from Ward 24.\Gais talking! Hurry!\I warned you once.\Dont get in my way.\Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion.\You want to die. response:	You want to be destroyed.
context: Gais talking! Hurry!\I warned you once.\Dont get in my way.\Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion.\You want to die.\You want to be destroyed. response:	Very well. I shall grant your wish.
context: I warned you once.\Dont get in my way.\Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion.\You want to die.\You want to be destroyed.\Very well. I shall grant your wish. response:	Ive decided to let this world determine each of your individual worths.
context: Dont get in my way.\Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion.\You want to die.\You want to be destroyed.\Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths. response:	On December 25th, the current world shall end
context: Yet, there have been 34 invasion attempts\and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion.\You want to die.\You want to be destroyed.\Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end response:	and a new world shall begin.
context: and 42,000 hacking attempts on Ward 24.\Therefore, I have come to a conclusion.\You want to die.\You want to be destroyed.\Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end\and a new world shall begin. response:	Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.
context: Therefore, I have come to a conclusion.\You want to die.\You want to be destroyed.\Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end\and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai. response:	To do that, well join forces with a PMC tomorrow morning.
context: You want to die.\You want to be destroyed.\Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end\and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning. response:	That is, a private military company.
context: You want to be destroyed.\Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end\and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning.\That is, a private military company. response:	Ouma Shu,
context: Very well. I shall grant your wish.\Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end\and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning.\That is, a private military company.\Ouma Shu, response:	would you fight with us?
context: Ive decided to let this world determine each of your individual worths.\On December 25th, the current world shall end\and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning.\That is, a private military company.\Ouma Shu,\would you fight with us? response:	Ill ask the rest of you as well.
context: On December 25th, the current world shall end\and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning.\That is, a private military company.\Ouma Shu,\would you fight with us?\Ill ask the rest of you as well. response:	Please lend us your help!
context: and a new world shall begin.\Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning.\That is, a private military company.\Ouma Shu,\would you fight with us?\Ill ask the rest of you as well.\Please lend us your help! response:	Would someone tell me something first?
context: Mr. Kuhouin instructed me to use all his assets and connections to fight Gai.\To do that, well join forces with a PMC tomorrow morning.\That is, a private military company.\Ouma Shu,\would you fight with us?\Ill ask the rest of you as well.\Please lend us your help!\Would someone tell me something first? response:	Whats Gai trying to do exactly?
context: To do that, well join forces with a PMC tomorrow morning.\That is, a private military company.\Ouma Shu,\would you fight with us?\Ill ask the rest of you as well.\Please lend us your help!\Would someone tell me something first?\Whats Gai trying to do exactly? response:	The Fourth Apocalypse.
context: That is, a private military company.\Ouma Shu,\would you fight with us?\Ill ask the rest of you as well.\Please lend us your help!\Would someone tell me something first?\Whats Gai trying to do exactly?\The Fourth Apocalypse. response:	Gai intends to cause Lost Christmas on a worldwide scale.
context: Ouma Shu,\would you fight with us?\Ill ask the rest of you as well.\Please lend us your help!\Would someone tell me something first?\Whats Gai trying to do exactly?\The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale. response:	Shibungi! No way, are you a ghost?!
