context: We're here? response:	No, we aren't...
context: We're here?\No, we aren't... response:	This isn't Uranus.
context: We're here?\No, we aren't...\This isn't Uranus. response:	I've got it.
context: We're here?\No, we aren't...\This isn't Uranus.\I've got it. response:	What we're seeing is the seventh moon, Hyperion.
context: We're here?\No, we aren't...\This isn't Uranus.\I've got it.\What we're seeing is the seventh moon, Hyperion. response:	We're in orbit around Saturn.
context: We're here?\No, we aren't...\This isn't Uranus.\I've got it.\What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn. response:	We're still a bit away...
context: We're here?\No, we aren't...\This isn't Uranus.\I've got it.\What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn.\We're still a bit away... response:	Hana, can we Entangle Link again?
context: We're here?\No, we aren't...\This isn't Uranus.\I've got it.\What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn.\We're still a bit away...\Hana, can we Entangle Link again? response:	Yeah.
context: No, we aren't...\This isn't Uranus.\I've got it.\What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn.\We're still a bit away...\Hana, can we Entangle Link again?\Yeah. response:	I think so.
context: This isn't Uranus.\I've got it.\What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn.\We're still a bit away...\Hana, can we Entangle Link again?\Yeah.\I think so. response:	I'll start getting ready now.
context: I've got it.\What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn.\We're still a bit away...\Hana, can we Entangle Link again?\Yeah.\I think so.\I'll start getting ready now. response:	Thanks.
context: What we're seeing is the seventh moon, Hyperion.\We're in orbit around Saturn.\We're still a bit away...\Hana, can we Entangle Link again?\Yeah.\I think so.\I'll start getting ready now.\Thanks. response:	But why did we fail?
context: We're in orbit around Saturn.\We're still a bit away...\Hana, can we Entangle Link again?\Yeah.\I think so.\I'll start getting ready now.\Thanks.\But why did we fail? response:	You and I might be the cause, Captain.
context: We're still a bit away...\Hana, can we Entangle Link again?\Yeah.\I think so.\I'll start getting ready now.\Thanks.\But why did we fail?\You and I might be the cause, Captain. response:	Us?
context: Hana, can we Entangle Link again?\Yeah.\I think so.\I'll start getting ready now.\Thanks.\But why did we fail?\You and I might be the cause, Captain.\Us? response:	Our minds weren't used to the Entangle Link. That could've caused interference.
context: Yeah.\I think so.\I'll start getting ready now.\Thanks.\But why did we fail?\You and I might be the cause, Captain.\Us?\Our minds weren't used to the Entangle Link. That could've caused interference. response:	The minds of the crew can interfere with the hyperspace jump.
context: I think so.\I'll start getting ready now.\Thanks.\But why did we fail?\You and I might be the cause, Captain.\Us?\Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump. response:	And there are signs we're being affected by external interference, also.
context: I'll start getting ready now.\Thanks.\But why did we fail?\You and I might be the cause, Captain.\Us?\Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also. response:	Come to think of it, I had a weird dream.
context: Thanks.\But why did we fail?\You and I might be the cause, Captain.\Us?\Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream. response:	It was like they were locking me inside my dream,
context: But why did we fail?\You and I might be the cause, Captain.\Us?\Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream.\It was like they were locking me inside my dream, response:	and trying to keep me there.
context: You and I might be the cause, Captain.\Us?\Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream.\It was like they were locking me inside my dream,\and trying to keep me there. response:	Same here.
context: Us?\Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream.\It was like they were locking me inside my dream,\and trying to keep me there.\Same here. response:	We should assume that was a psychological attack by the enemy.
context: Our minds weren't used to the Entangle Link. That could've caused interference.\The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream.\It was like they were locking me inside my dream,\and trying to keep me there.\Same here.\We should assume that was a psychological attack by the enemy. response:	Kiltgang in sector 79.
context: The minds of the crew can interfere with the hyperspace jump.\And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream.\It was like they were locking me inside my dream,\and trying to keep me there.\Same here.\We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79. response:	Captain, they're coming!
context: And there are signs we're being affected by external interference, also.\Come to think of it, I had a weird dream.\It was like they were locking me inside my dream,\and trying to keep me there.\Same here.\We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79.\Captain, they're coming! response:	I'll stop it!
context: Come to think of it, I had a weird dream.\It was like they were locking me inside my dream,\and trying to keep me there.\Same here.\We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79.\Captain, they're coming!\I'll stop it! response:	Bugbear?
context: It was like they were locking me inside my dream,\and trying to keep me there.\Same here.\We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79.\Captain, they're coming!\I'll stop it!\Bugbear? response:	The captain will be in danger alone!
context: and trying to keep me there.\Same here.\We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79.\Captain, they're coming!\I'll stop it!\Bugbear?\The captain will be in danger alone! response:	I'll go, too.
context: Same here.\We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79.\Captain, they're coming!\I'll stop it!\Bugbear?\The captain will be in danger alone!\I'll go, too. response:	Teppei, use the Boosted.
context: We should assume that was a psychological attack by the enemy.\Kiltgang in sector 79.\Captain, they're coming!\I'll stop it!\Bugbear?\The captain will be in danger alone!\I'll go, too.\Teppei, use the Boosted. response:	Take care of the captain!
context: Kiltgang in sector 79.\Captain, they're coming!\I'll stop it!\Bugbear?\The captain will be in danger alone!\I'll go, too.\Teppei, use the Boosted.\Take care of the captain! response:	Roger.
context: Captain, they're coming!\I'll stop it!\Bugbear?\The captain will be in danger alone!\I'll go, too.\Teppei, use the Boosted.\Take care of the captain!\Roger. response:	This overwhelming force...
context: I'll stop it!\Bugbear?\The captain will be in danger alone!\I'll go, too.\Teppei, use the Boosted.\Take care of the captain!\Roger.\This overwhelming force... response:	The champion?
context: Bugbear?\The captain will be in danger alone!\I'll go, too.\Teppei, use the Boosted.\Take care of the captain!\Roger.\This overwhelming force...\The champion? response:	Daichi Manatsu...
context: The captain will be in danger alone!\I'll go, too.\Teppei, use the Boosted.\Take care of the captain!\Roger.\This overwhelming force...\The champion?\Daichi Manatsu... response:	I thought you didn't want to be the captain.
context: I'll go, too.\Teppei, use the Boosted.\Take care of the captain!\Roger.\This overwhelming force...\The champion?\Daichi Manatsu...\I thought you didn't want to be the captain. response:	He's infiltrated our communications...
context: Teppei, use the Boosted.\Take care of the captain!\Roger.\This overwhelming force...\The champion?\Daichi Manatsu...\I thought you didn't want to be the captain.\He's infiltrated our communications... response:	That isn't all.
context: Take care of the captain!\Roger.\This overwhelming force...\The champion?\Daichi Manatsu...\I thought you didn't want to be the captain.\He's infiltrated our communications...\That isn't all. response:	They...
context: Roger.\This overwhelming force...\The champion?\Daichi Manatsu...\I thought you didn't want to be the captain.\He's infiltrated our communications...\That isn't all.\They... response:	They really were inside my dream.
context: This overwhelming force...\The champion?\Daichi Manatsu...\I thought you didn't want to be the captain.\He's infiltrated our communications...\That isn't all.\They...\They really were inside my dream. response:	Daichi Manatsu, are you really awake?
context: The champion?\Daichi Manatsu...\I thought you didn't want to be the captain.\He's infiltrated our communications...\That isn't all.\They...\They really were inside my dream.\Daichi Manatsu, are you really awake? response:	This might still be your nightmare!
context: Daichi Manatsu...\I thought you didn't want to be the captain.\He's infiltrated our communications...\That isn't all.\They...\They really were inside my dream.\Daichi Manatsu, are you really awake?\This might still be your nightmare! response:	Don't let him fool you, Captain!
context: I thought you didn't want to be the captain.\He's infiltrated our communications...\That isn't all.\They...\They really were inside my dream.\Daichi Manatsu, are you really awake?\This might still be your nightmare!\Don't let him fool you, Captain! response:	I'll scramble our communications.
context: He's infiltrated our communications...\That isn't all.\They...\They really were inside my dream.\Daichi Manatsu, are you really awake?\This might still be your nightmare!\Don't let him fool you, Captain!\I'll scramble our communications. response:	The backdoor I used on them last time...
context: That isn't all.\They...\They really were inside my dream.\Daichi Manatsu, are you really awake?\This might still be your nightmare!\Don't let him fool you, Captain!\I'll scramble our communications.\The backdoor I used on them last time... response:	I guess I can't use it anymore.
context: They...\They really were inside my dream.\Daichi Manatsu, are you really awake?\This might still be your nightmare!\Don't let him fool you, Captain!\I'll scramble our communications.\The backdoor I used on them last time...\I guess I can't use it anymore. response:	Your lives don't even last a century. They're no different than dreams!
context: They really were inside my dream.\Daichi Manatsu, are you really awake?\This might still be your nightmare!\Don't let him fool you, Captain!\I'll scramble our communications.\The backdoor I used on them last time...\I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams! response:	They end quickly, and you lose everything!
context: Daichi Manatsu, are you really awake?\This might still be your nightmare!\Don't let him fool you, Captain!\I'll scramble our communications.\The backdoor I used on them last time...\I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything! response:	What is something like that worth?
context: This might still be your nightmare!\Don't let him fool you, Captain!\I'll scramble our communications.\The backdoor I used on them last time...\I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything!\What is something like that worth? response:	Why are you the one to decide if our lives are worth anything or not?!
context: Don't let him fool you, Captain!\I'll scramble our communications.\The backdoor I used on them last time...\I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything!\What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?! response:	This is the extent of your power.
