context: Endymion... Mother... Usagi has learned everything. response:	Kunzite! You won't always get your way in this world!
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world! response:	In the name of the moon, Sailor Moon will punish you!
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: Endymion... Mother... Usagi has learned everything.\Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Kunzite! You won't always get your way in this world!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	Tuxedo Mask, where are you?
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Tuxedo Mask, where are you? response:	Usagi, wake up! Big news!
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Tuxedo Mask, where are you?\Usagi, wake up! Big news! response:	Tuxedo Mask, I love you!
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Tuxedo Mask, where are you?\Usagi, wake up! Big news!\Tuxedo Mask, I love you! response:	Usagi, Sailor Venus and Artemis found the entrance
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Tuxedo Mask, where are you?\Usagi, wake up! Big news!\Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance response:	that leads to the Dark Kingdom's hideout!
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Tuxedo Mask, where are you?\Usagi, wake up! Big news!\Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout! response:	What did you say?!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Tuxedo Mask, where are you?\Usagi, wake up! Big news!\Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout!\What did you say?! response:	Usagi's Awakening! A Message From the Distant Past
context: Shinjite iru no miracle romance\Tuxedo Mask, where are you?\Usagi, wake up! Big news!\Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout!\What did you say?!\Usagi's Awakening! A Message From the Distant Past response:	I finally found it!
context: Tuxedo Mask, where are you?\Usagi, wake up! Big news!\Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout!\What did you say?!\Usagi's Awakening! A Message From the Distant Past\I finally found it! response:	Good work, Sailor Venus!
context: Usagi, wake up! Big news!\Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout!\What did you say?!\Usagi's Awakening! A Message From the Distant Past\I finally found it!\Good work, Sailor Venus! response:	Here we go!
context: Tuxedo Mask, I love you!\Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout!\What did you say?!\Usagi's Awakening! A Message From the Distant Past\I finally found it!\Good work, Sailor Venus!\Here we go! response:	Is this...
context: Usagi, Sailor Venus and Artemis found the entrance\that leads to the Dark Kingdom's hideout!\What did you say?!\Usagi's Awakening! A Message From the Distant Past\I finally found it!\Good work, Sailor Venus!\Here we go!\Is this... response:	Let's take a look!
context: that leads to the Dark Kingdom's hideout!\What did you say?!\Usagi's Awakening! A Message From the Distant Past\I finally found it!\Good work, Sailor Venus!\Here we go!\Is this...\Let's take a look! response:	Energy?!
context: What did you say?!\Usagi's Awakening! A Message From the Distant Past\I finally found it!\Good work, Sailor Venus!\Here we go!\Is this...\Let's take a look!\Energy?! response:	but preparations to receive you are not ready yet.
context: Usagi's Awakening! A Message From the Distant Past\I finally found it!\Good work, Sailor Venus!\Here we go!\Is this...\Let's take a look!\Energy?!\but preparations to receive you are not ready yet. response:	So I will take you somewhere more fun.
context: I finally found it!\Good work, Sailor Venus!\Here we go!\Is this...\Let's take a look!\Energy?!\but preparations to receive you are not ready yet.\So I will take you somewhere more fun. response:	Give me a break!
context: Good work, Sailor Venus!\Here we go!\Is this...\Let's take a look!\Energy?!\but preparations to receive you are not ready yet.\So I will take you somewhere more fun.\Give me a break! response:	Supreme
context: Here we go!\Is this...\Let's take a look!\Energy?!\but preparations to receive you are not ready yet.\So I will take you somewhere more fun.\Give me a break!\Supreme response:	Thunder!
context: Is this...\Let's take a look!\Energy?!\but preparations to receive you are not ready yet.\So I will take you somewhere more fun.\Give me a break!\Supreme\Thunder! response:	Sailor Moon!
context: Let's take a look!\Energy?!\but preparations to receive you are not ready yet.\So I will take you somewhere more fun.\Give me a break!\Supreme\Thunder!\Sailor Moon! response:	If you quietly hand over the Silver Crystal,
context: Energy?!\but preparations to receive you are not ready yet.\So I will take you somewhere more fun.\Give me a break!\Supreme\Thunder!\Sailor Moon!\If you quietly hand over the Silver Crystal, response:	I will let you live!
context: but preparations to receive you are not ready yet.\So I will take you somewhere more fun.\Give me a break!\Supreme\Thunder!\Sailor Moon!\If you quietly hand over the Silver Crystal,\I will let you live! response:	I'm thinking the same, Kunzite!
context: So I will take you somewhere more fun.\Give me a break!\Supreme\Thunder!\Sailor Moon!\If you quietly hand over the Silver Crystal,\I will let you live!\I'm thinking the same, Kunzite! response:	If you tell me what you've done with Tuxedo Mask,
context: Give me a break!\Supreme\Thunder!\Sailor Moon!\If you quietly hand over the Silver Crystal,\I will let you live!\I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask, response:	I won't punish you!
context: Supreme\Thunder!\Sailor Moon!\If you quietly hand over the Silver Crystal,\I will let you live!\I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask,\I won't punish you! response:	What impudence!
context: Thunder!\Sailor Moon!\If you quietly hand over the Silver Crystal,\I will let you live!\I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask,\I won't punish you!\What impudence! response:	I will send you to the chaotic world of multiple dimensions!
context: Sailor Moon!\If you quietly hand over the Silver Crystal,\I will let you live!\I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask,\I won't punish you!\What impudence!\I will send you to the chaotic world of multiple dimensions! response:	Chaotic world of multiple dimensions?
context: If you quietly hand over the Silver Crystal,\I will let you live!\I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask,\I won't punish you!\What impudence!\I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions? response:	It may be the primitive era in Africa when dinosaurs roamed.
context: I will let you live!\I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask,\I won't punish you!\What impudence!\I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed. response:	Or it could be the era in Europe
context: I'm thinking the same, Kunzite!\If you tell me what you've done with Tuxedo Mask,\I won't punish you!\What impudence!\I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe response:	when fierce wars broke out.
context: If you tell me what you've done with Tuxedo Mask,\I won't punish you!\What impudence!\I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe\when fierce wars broke out. response:	I don't wanna be sent to a messed-up world like that!
context: I won't punish you!\What impudence!\I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe\when fierce wars broke out.\I don't wanna be sent to a messed-up world like that! response:	The Silver Crystal will be mine!
context: What impudence!\I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe\when fierce wars broke out.\I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine! response:	Damn!
context: I will send you to the chaotic world of multiple dimensions!\Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe\when fierce wars broke out.\I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine!\Damn! response:	Where are we?
context: Chaotic world of multiple dimensions?\It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe\when fierce wars broke out.\I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine!\Damn!\Where are we? response:	These are the ruins of Silver Millennium,
context: It may be the primitive era in Africa when dinosaurs roamed.\Or it could be the era in Europe\when fierce wars broke out.\I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine!\Damn!\Where are we?\These are the ruins of Silver Millennium, response:	the land of gods that once attained the pinnacle of glory.
context: Or it could be the era in Europe\when fierce wars broke out.\I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine!\Damn!\Where are we?\These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory. response:	Silver Millennium?
context: when fierce wars broke out.\I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine!\Damn!\Where are we?\These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory.\Silver Millennium? response:	Who are...
context: I don't wanna be sent to a messed-up world like that!\The Silver Crystal will be mine!\Damn!\Where are we?\These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory.\Silver Millennium?\Who are... response:	I am here to bring you a message from the distant past.
context: The Silver Crystal will be mine!\Damn!\Where are we?\These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory.\Silver Millennium?\Who are...\I am here to bring you a message from the distant past. response:	I am the incarnation of the Moon Goddess, Serene.
context: Damn!\Where are we?\These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory.\Silver Millennium?\Who are...\I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene. response:	I am the Queen of Silver Millennium, Queen Serenity.
context: Where are we?\These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory.\Silver Millennium?\Who are...\I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity. response:	I am your mother.
context: These are the ruins of Silver Millennium,\the land of gods that once attained the pinnacle of glory.\Silver Millennium?\Who are...\I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity.\I am your mother. response:	What?! You're my mom?!
context: the land of gods that once attained the pinnacle of glory.\Silver Millennium?\Who are...\I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity.\I am your mother.\What?! You're my mom?! response:	What do you mean by that?
context: Silver Millennium?\Who are...\I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity.\I am your mother.\What?! You're my mom?!\What do you mean by that? response:	I revived Luna and Artemis from their cold sleep,
context: Who are...\I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity.\I am your mother.\What?! You're my mom?!\What do you mean by that?\I revived Luna and Artemis from their cold sleep, response:	had them make contact with you
context: I am here to bring you a message from the distant past.\I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity.\I am your mother.\What?! You're my mom?!\What do you mean by that?\I revived Luna and Artemis from their cold sleep,\had them make contact with you response:	and watched over all of you.
