context: Nana had a red tattoo on her arm. response:	It was the lotus flower, the flower also known as Ren...
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren... response:	What that flower meant to her,
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren...\What that flower meant to her, response:	of course, I had no way of knowing at the time.
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren...\What that flower meant to her,\of course, I had no way of knowing at the time. response:	When I was darkness at that time
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren...\What that flower meant to her,\of course, I had no way of knowing at the time.\When I was darkness at that time response:	With trembling lips
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren...\What that flower meant to her,\of course, I had no way of knowing at the time.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren...\What that flower meant to her,\of course, I had no way of knowing at the time.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Nana had a red tattoo on her arm.\It was the lotus flower, the flower also known as Ren...\What that flower meant to her,\of course, I had no way of knowing at the time.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: It was the lotus flower, the flower also known as Ren...\What that flower meant to her,\of course, I had no way of knowing at the time.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: What that flower meant to her,\of course, I had no way of knowing at the time.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: of course, I had no way of knowing at the time.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Ohh, that's bright. I've gotta get curtains.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Ohh, that's bright. I've gotta get curtains. response:	I've gotta get to work!
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Ohh, that's bright. I've gotta get curtains.\I've gotta get to work! response:	What time is it?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Ohh, that's bright. I've gotta get curtains.\I've gotta get to work!\What time is it? response:	What am I gonna do?!
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Ohh, that's bright. I've gotta get curtains.\I've gotta get to work!\What time is it?\What am I gonna do?! response:	Good morning, Hachiko.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Ohh, that's bright. I've gotta get curtains.\I've gotta get to work!\What time is it?\What am I gonna do?!\Good morning, Hachiko. response:	It's a nice day. Wanna go for a walk?
context: I'm a broken rose\I wanna need your love\Ohh, that's bright. I've gotta get curtains.\I've gotta get to work!\What time is it?\What am I gonna do?!\Good morning, Hachiko.\It's a nice day. Wanna go for a walk? response:	Why didn't you wake me up?!
context: I wanna need your love\Ohh, that's bright. I've gotta get curtains.\I've gotta get to work!\What time is it?\What am I gonna do?!\Good morning, Hachiko.\It's a nice day. Wanna go for a walk?\Why didn't you wake me up?! response:	- You idiot, idiot, idiot! - Why should I hafta wake you up?
context: Ohh, that's bright. I've gotta get curtains.\I've gotta get to work!\What time is it?\What am I gonna do?!\Good morning, Hachiko.\It's a nice day. Wanna go for a walk?\Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up? response:	Because, I have to work!
context: I've gotta get to work!\What time is it?\What am I gonna do?!\Good morning, Hachiko.\It's a nice day. Wanna go for a walk?\Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work! response:	The shop opens at 11 and I'm late my first day!
context: What time is it?\What am I gonna do?!\Good morning, Hachiko.\It's a nice day. Wanna go for a walk?\Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work!\The shop opens at 11 and I'm late my first day! response:	Late? It's still early.
context: What am I gonna do?!\Good morning, Hachiko.\It's a nice day. Wanna go for a walk?\Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work!\The shop opens at 11 and I'm late my first day!\Late? It's still early. response:	You don't have to be at work until about ten, right?
context: Good morning, Hachiko.\It's a nice day. Wanna go for a walk?\Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work!\The shop opens at 11 and I'm late my first day!\Late? It's still early.\You don't have to be at work until about ten, right? response:	You got lots of time.
context: It's a nice day. Wanna go for a walk?\Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work!\The shop opens at 11 and I'm late my first day!\Late? It's still early.\You don't have to be at work until about ten, right?\You got lots of time. response:	You're kidding. But my alarm clock said eleven.
context: Why didn't you wake me up?!\- You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work!\The shop opens at 11 and I'm late my first day!\Late? It's still early.\You don't have to be at work until about ten, right?\You got lots of time.\You're kidding. But my alarm clock said eleven. response:	The clock you got yesterday at Mizukoshi's?
context: - You idiot, idiot, idiot! - Why should I hafta wake you up?\Because, I have to work!\The shop opens at 11 and I'm late my first day!\Late? It's still early.\You don't have to be at work until about ten, right?\You got lots of time.\You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's? response:	You mean it's broken already?
context: Because, I have to work!\The shop opens at 11 and I'm late my first day!\Late? It's still early.\You don't have to be at work until about ten, right?\You got lots of time.\You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's?\You mean it's broken already? response:	Nana, I don't think this clock is moving.
context: The shop opens at 11 and I'm late my first day!\Late? It's still early.\You don't have to be at work until about ten, right?\You got lots of time.\You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's?\You mean it's broken already?\Nana, I don't think this clock is moving. response:	It's still at the time it was when I set it last night.
context: Late? It's still early.\You don't have to be at work until about ten, right?\You got lots of time.\You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's?\You mean it's broken already?\Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night. response:	I'm gonna get that Mizukoshi, just as soon as I get to work.
context: You don't have to be at work until about ten, right?\You got lots of time.\You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's?\You mean it's broken already?\Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work. response:	The refrigerator better be working.
context: You got lots of time.\You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's?\You mean it's broken already?\Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working. response:	Oh good. It's nice and cold.
context: You're kidding. But my alarm clock said eleven.\The clock you got yesterday at Mizukoshi's?\You mean it's broken already?\Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working.\Oh good. It's nice and cold. response:	Were you cooling something?
