context: It comes! From the forest! response:	Slayer! Please!
context: It comes! From the forest!\Slayer! Please! response:	A Sacred Jewel fragment, after all.
context: It comes! From the forest!\Slayer! Please!\A Sacred Jewel fragment, after all. response:	Slayer, what's that?
context: It comes! From the forest!\Slayer! Please!\A Sacred Jewel fragment, after all.\Slayer, what's that? response:	The cause of the centipede going berserk.
context: It comes! From the forest!\Slayer! Please!\A Sacred Jewel fragment, after all.\Slayer, what's that?\The cause of the centipede going berserk. response:	Please call me if you need me.
context: It comes! From the forest!\Slayer! Please!\A Sacred Jewel fragment, after all.\Slayer, what's that?\The cause of the centipede going berserk.\Please call me if you need me. response:	What about your fee?
context: It comes! From the forest!\Slayer! Please!\A Sacred Jewel fragment, after all.\Slayer, what's that?\The cause of the centipede going berserk.\Please call me if you need me.\What about your fee? response:	That's okay... I'll take this instead.
context: It comes! From the forest!\Slayer! Please!\A Sacred Jewel fragment, after all.\Slayer, what's that?\The cause of the centipede going berserk.\Please call me if you need me.\What about your fee?\That's okay... I'll take this instead. response:	Besides, the Sacred Jewel originally came from my province.
context: Slayer! Please!\A Sacred Jewel fragment, after all.\Slayer, what's that?\The cause of the centipede going berserk.\Please call me if you need me.\What about your fee?\That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province. response:	So many stars.
context: A Sacred Jewel fragment, after all.\Slayer, what's that?\The cause of the centipede going berserk.\Please call me if you need me.\What about your fee?\That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province.\So many stars. response:	I wonder which is more...
context: Slayer, what's that?\The cause of the centipede going berserk.\Please call me if you need me.\What about your fee?\That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province.\So many stars.\I wonder which is more... response:	the number of stars or the number of Jewel fragments?
context: The cause of the centipede going berserk.\Please call me if you need me.\What about your fee?\That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province.\So many stars.\I wonder which is more...\the number of stars or the number of Jewel fragments? response:	The road ahead is long.
context: Please call me if you need me.\What about your fee?\That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province.\So many stars.\I wonder which is more...\the number of stars or the number of Jewel fragments?\The road ahead is long. response:	Not really.
context: What about your fee?\That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province.\So many stars.\I wonder which is more...\the number of stars or the number of Jewel fragments?\The road ahead is long.\Not really. response:	Why?!
context: That's okay... I'll take this instead.\Besides, the Sacred Jewel originally came from my province.\So many stars.\I wonder which is more...\the number of stars or the number of Jewel fragments?\The road ahead is long.\Not really.\Why?! response:	That Naraku has the same goal and is gathering the fragments.
context: Besides, the Sacred Jewel originally came from my province.\So many stars.\I wonder which is more...\the number of stars or the number of Jewel fragments?\The road ahead is long.\Not really.\Why?!\That Naraku has the same goal and is gathering the fragments. response:	Simply put, he's saving us work.
context: So many stars.\I wonder which is more...\the number of stars or the number of Jewel fragments?\The road ahead is long.\Not really.\Why?!\That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work. response:	Make him gather lots and lots, then take them all from him.
context: I wonder which is more...\the number of stars or the number of Jewel fragments?\The road ahead is long.\Not really.\Why?!\That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him. response:	Inuyasha...
context: the number of stars or the number of Jewel fragments?\The road ahead is long.\Not really.\Why?!\That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him.\Inuyasha... response:	The more Sacred Jewel fragments he gathers...
context: The road ahead is long.\Not really.\Why?!\That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him.\Inuyasha...\The more Sacred Jewel fragments he gathers... response:	the stronger Naraku becomes!
context: Not really.\Why?!\That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him.\Inuyasha...\The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes! response:	Then it'll be too late!
context: Why?!\That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him.\Inuyasha...\The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes!\Then it'll be too late! response:	We must hurry and gather lots ourselves.
context: That Naraku has the same goal and is gathering the fragments.\Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him.\Inuyasha...\The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes!\Then it'll be too late!\We must hurry and gather lots ourselves. response:	Cripes! Even a kid like me knows that!
