context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	They seem strange and alien.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien. response:	Primitive and peculiar,
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar, response:	they are unlike any flora or fauna known to us.
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us. response:	Since time immemorial,
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial, response:	men have feared these misshapen entities,
context: Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities, response:	which came to be known as mushi.
context: Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi. response:	Hm?
context: Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hm? response:	What is this scent?
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hm?\What is this scent? response:	It smells like a rich fruit wine.
context: Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hm?\What is this scent?\It smells like a rich fruit wine. response:	Is it kouki?
context: they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hm?\What is this scent?\It smells like a rich fruit wine.\Is it kouki? response:	In a place like this?
context: Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hm?\What is this scent?\It smells like a rich fruit wine.\Is it kouki?\In a place like this? response:	No, it can't be.
context: men have feared these misshapen entities,\which came to be known as mushi.\Hm?\What is this scent?\It smells like a rich fruit wine.\Is it kouki?\In a place like this?\No, it can't be. response:	The scent suddenly turned a little sour.
context: which came to be known as mushi.\Hm?\What is this scent?\It smells like a rich fruit wine.\Is it kouki?\In a place like this?\No, it can't be.\The scent suddenly turned a little sour. response:	It's coming from that way.
context: Hm?\What is this scent?\It smells like a rich fruit wine.\Is it kouki?\In a place like this?\No, it can't be.\The scent suddenly turned a little sour.\It's coming from that way. response:	There's something there.
context: What is this scent?\It smells like a rich fruit wine.\Is it kouki?\In a place like this?\No, it can't be.\The scent suddenly turned a little sour.\It's coming from that way.\There's something there. response:	It's...
context: It smells like a rich fruit wine.\Is it kouki?\In a place like this?\No, it can't be.\The scent suddenly turned a little sour.\It's coming from that way.\There's something there.\It's... response:	looking at me.
context: Is it kouki?\In a place like this?\No, it can't be.\The scent suddenly turned a little sour.\It's coming from that way.\There's something there.\It's...\looking at me. response:	My body's petrified.
context: In a place like this?\No, it can't be.\The scent suddenly turned a little sour.\It's coming from that way.\There's something there.\It's...\looking at me.\My body's petrified. response:	I can't move!
context: No, it can't be.\The scent suddenly turned a little sour.\It's coming from that way.\There's something there.\It's...\looking at me.\My body's petrified.\I can't move! response:	Good. Now just stay put.
context: The scent suddenly turned a little sour.\It's coming from that way.\There's something there.\It's...\looking at me.\My body's petrified.\I can't move!\Good. Now just stay put. response:	A person?
context: It's coming from that way.\There's something there.\It's...\looking at me.\My body's petrified.\I can't move!\Good. Now just stay put.\A person? response:	Damn. It's just a person.
context: There's something there.\It's...\looking at me.\My body's petrified.\I can't move!\Good. Now just stay put.\A person?\Damn. It's just a person. response:	Oh well.
context: It's...\looking at me.\My body's petrified.\I can't move!\Good. Now just stay put.\A person?\Damn. It's just a person.\Oh well. response:	Guess you can go.
context: looking at me.\My body's petrified.\I can't move!\Good. Now just stay put.\A person?\Damn. It's just a person.\Oh well.\Guess you can go. response:	I can finally breathe again.
context: My body's petrified.\I can't move!\Good. Now just stay put.\A person?\Damn. It's just a person.\Oh well.\Guess you can go.\I can finally breathe again. response:	Who was that?
context: I can't move!\Good. Now just stay put.\A person?\Damn. It's just a person.\Oh well.\Guess you can go.\I can finally breathe again.\Who was that? response:	A hunter?
context: Good. Now just stay put.\A person?\Damn. It's just a person.\Oh well.\Guess you can go.\I can finally breathe again.\Who was that?\A hunter? response:	Couldn't be. I didn't see any weapons on him.
context: A person?\Damn. It's just a person.\Oh well.\Guess you can go.\I can finally breathe again.\Who was that?\A hunter?\Couldn't be. I didn't see any weapons on him. response:	Not to mention...
context: Damn. It's just a person.\Oh well.\Guess you can go.\I can finally breathe again.\Who was that?\A hunter?\Couldn't be. I didn't see any weapons on him.\Not to mention... response:	that sweet scent disappeared with him.
context: Oh well.\Guess you can go.\I can finally breathe again.\Who was that?\A hunter?\Couldn't be. I didn't see any weapons on him.\Not to mention...\that sweet scent disappeared with him. response:	Just what...
context: Guess you can go.\I can finally breathe again.\Who was that?\A hunter?\Couldn't be. I didn't see any weapons on him.\Not to mention...\that sweet scent disappeared with him.\Just what... response:	was that all about?
context: I can finally breathe again.\Who was that?\A hunter?\Couldn't be. I didn't see any weapons on him.\Not to mention...\that sweet scent disappeared with him.\Just what...\was that all about? response:	The Hand that Caresses the Night
context: Who was that?\A hunter?\Couldn't be. I didn't see any weapons on him.\Not to mention...\that sweet scent disappeared with him.\Just what...\was that all about?\The Hand that Caresses the Night response:	Man, last night was pretty tiring.
context: A hunter?\Couldn't be. I didn't see any weapons on him.\Not to mention...\that sweet scent disappeared with him.\Just what...\was that all about?\The Hand that Caresses the Night\Man, last night was pretty tiring. response:	Maybe I'll eat something to get my energy back up.
context: Couldn't be. I didn't see any weapons on him.\Not to mention...\that sweet scent disappeared with him.\Just what...\was that all about?\The Hand that Caresses the Night\Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up. response:	Don't have any dried meat?
context: Not to mention...\that sweet scent disappeared with him.\Just what...\was that all about?\The Hand that Caresses the Night\Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up.\Don't have any dried meat? response:	Nah, haven't had much luck hunting lately.
context: that sweet scent disappeared with him.\Just what...\was that all about?\The Hand that Caresses the Night\Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up.\Don't have any dried meat?\Nah, haven't had much luck hunting lately. response:	I see.
context: Just what...\was that all about?\The Hand that Caresses the Night\Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up.\Don't have any dried meat?\Nah, haven't had much luck hunting lately.\I see. response:	Hm?
context: was that all about?\The Hand that Caresses the Night\Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up.\Don't have any dried meat?\Nah, haven't had much luck hunting lately.\I see.\Hm? response:	That boy seems to be selling some.
context: The Hand that Caresses the Night\Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up.\Don't have any dried meat?\Nah, haven't had much luck hunting lately.\I see.\Hm?\That boy seems to be selling some. response:	Oh, him. I'd advise against it.
context: Man, last night was pretty tiring.\Maybe I'll eat something to get my energy back up.\Don't have any dried meat?\Nah, haven't had much luck hunting lately.\I see.\Hm?\That boy seems to be selling some.\Oh, him. I'd advise against it. response:	His meat always reeks.
context: Maybe I'll eat something to get my energy back up.\Don't have any dried meat?\Nah, haven't had much luck hunting lately.\I see.\Hm?\That boy seems to be selling some.\Oh, him. I'd advise against it.\His meat always reeks. response:	He's right.
context: Don't have any dried meat?\Nah, haven't had much luck hunting lately.\I see.\Hm?\That boy seems to be selling some.\Oh, him. I'd advise against it.\His meat always reeks.\He's right. response:	The meat does smell a bit rotten.
context: Nah, haven't had much luck hunting lately.\I see.\Hm?\That boy seems to be selling some.\Oh, him. I'd advise against it.\His meat always reeks.\He's right.\The meat does smell a bit rotten. response:	Have any fresh meat?
context: I see.\Hm?\That boy seems to be selling some.\Oh, him. I'd advise against it.\His meat always reeks.\He's right.\The meat does smell a bit rotten.\Have any fresh meat? response:	There's some at home.
context: Hm?\That boy seems to be selling some.\Oh, him. I'd advise against it.\His meat always reeks.\He's right.\The meat does smell a bit rotten.\Have any fresh meat?\There's some at home. response:	Can I tag along and buy some of that instead?
context: That boy seems to be selling some.\Oh, him. I'd advise against it.\His meat always reeks.\He's right.\The meat does smell a bit rotten.\Have any fresh meat?\There's some at home.\Can I tag along and buy some of that instead? response:	Sure.
