context: War... response:	Did you say war?!
context: War...\Did you say war?! response:	Louise...
context: War...\Did you say war?!\Louise... response:	What is it?
context: War...\Did you say war?!\Louise...\What is it? response:	The teacher just said...
context: War...\Did you say war?!\Louise...\What is it?\The teacher just said... response:	There will be a solar eclipse in three days.
context: War...\Did you say war?!\Louise...\What is it?\The teacher just said...\There will be a solar eclipse in three days. response:	He told me that I should fly then.
context: War...\Did you say war?!\Louise...\What is it?\The teacher just said...\There will be a solar eclipse in three days.\He told me that I should fly then. response:	If everything goes well, I will head straight out of this world.
context: War...\Did you say war?!\Louise...\What is it?\The teacher just said...\There will be a solar eclipse in three days.\He told me that I should fly then.\If everything goes well, I will head straight out of this world. response:	I see. Good for you!
context: Did you say war?!\Louise...\What is it?\The teacher just said...\There will be a solar eclipse in three days.\He told me that I should fly then.\If everything goes well, I will head straight out of this world.\I see. Good for you! response:	Congratulations.
context: Louise...\What is it?\The teacher just said...\There will be a solar eclipse in three days.\He told me that I should fly then.\If everything goes well, I will head straight out of this world.\I see. Good for you!\Congratulations. response:	You've been wanting to go back so much!
context: What is it?\The teacher just said...\There will be a solar eclipse in three days.\He told me that I should fly then.\If everything goes well, I will head straight out of this world.\I see. Good for you!\Congratulations.\You've been wanting to go back so much! response:	I hope that everything goes well for you.
context: The teacher just said...\There will be a solar eclipse in three days.\He told me that I should fly then.\If everything goes well, I will head straight out of this world.\I see. Good for you!\Congratulations.\You've been wanting to go back so much!\I hope that everything goes well for you. response:	That's fine!
context: There will be a solar eclipse in three days.\He told me that I should fly then.\If everything goes well, I will head straight out of this world.\I see. Good for you!\Congratulations.\You've been wanting to go back so much!\I hope that everything goes well for you.\That's fine! response:	A history of the couple's romance that starts from the first kiss
context: He told me that I should fly then.\If everything goes well, I will head straight out of this world.\I see. Good for you!\Congratulations.\You've been wanting to go back so much!\I hope that everything goes well for you.\That's fine!\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: If everything goes well, I will head straight out of this world.\I see. Good for you!\Congratulations.\You've been wanting to go back so much!\I hope that everything goes well for you.\That's fine!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: I see. Good for you!\Congratulations.\You've been wanting to go back so much!\I hope that everything goes well for you.\That's fine!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: Congratulations.\You've been wanting to go back so much!\I hope that everything goes well for you.\That's fine!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: You've been wanting to go back so much!\I hope that everything goes well for you.\That's fine!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: I hope that everything goes well for you.\That's fine!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: That's fine!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Louise the Void
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise the Void response:	First, let's send emissaries to talk it out!
