context: True Calendar Year 70 Sakimori Academy Entrance Ceremony response:	To all of our new students,
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students, response:	congratulations on being admitted to Sakimori Academy.
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students,\congratulations on being admitted to Sakimori Academy. response:	On this beautiful Spring day,
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students,\congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day, response:	you have embarked on a new chapter in
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students,\congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day,\you have embarked on a new chapter in response:	your lives as Sakimori Academy students.
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students,\congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day,\you have embarked on a new chapter in\your lives as Sakimori Academy students. response:	as your senpai in school, as well as in life to some degree,
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students,\congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day,\you have embarked on a new chapter in\your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree, response:	and am sincerely happy to be able to learn alongside you.
context: True Calendar Year 70 Sakimori Academy Entrance Ceremony\To all of our new students,\congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day,\you have embarked on a new chapter in\your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you. response:	You might sometimes have
context: To all of our new students,\congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day,\you have embarked on a new chapter in\your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you.\You might sometimes have response:	misgivings about this new, strict life away from your families,
context: congratulations on being admitted to Sakimori Academy.\On this beautiful Spring day,\you have embarked on a new chapter in\your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you.\You might sometimes have\misgivings about this new, strict life away from your families, response:	and it might seem stiff and formal sometimes.
context: On this beautiful Spring day,\you have embarked on a new chapter in\your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you.\You might sometimes have\misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes. response:	I have no memories of anything up until middle school. That's why...
context: you have embarked on a new chapter in\your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you.\You might sometimes have\misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why... response:	That's the next town over from mine!
context: your lives as Sakimori Academy students.\as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you.\You might sometimes have\misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why...\That's the next town over from mine! response:	What a coincidence!
context: as your senpai in school, as well as in life to some degree,\and am sincerely happy to be able to learn alongside you.\You might sometimes have\misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why...\That's the next town over from mine!\What a coincidence! response:	I don't know anything about myself.
context: and am sincerely happy to be able to learn alongside you.\You might sometimes have\misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why...\That's the next town over from mine!\What a coincidence!\I don't know anything about myself. response:	Am I a kindhearted person? Am I cheerful?
context: You might sometimes have\misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why...\That's the next town over from mine!\What a coincidence!\I don't know anything about myself.\Am I a kindhearted person? Am I cheerful? response:	What's my family like?
context: misgivings about this new, strict life away from your families,\and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why...\That's the next town over from mine!\What a coincidence!\I don't know anything about myself.\Am I a kindhearted person? Am I cheerful?\What's my family like? response:	Do I have friends?
context: and it might seem stiff and formal sometimes.\I have no memories of anything up until middle school. That's why...\That's the next town over from mine!\What a coincidence!\I don't know anything about myself.\Am I a kindhearted person? Am I cheerful?\What's my family like?\Do I have friends? response:	What are my favorite things?
context: I have no memories of anything up until middle school. That's why...\That's the next town over from mine!\What a coincidence!\I don't know anything about myself.\Am I a kindhearted person? Am I cheerful?\What's my family like?\Do I have friends?\What are my favorite things? response:	Before I talked to anyone else, I had my hands full talking to myself.
context: That's the next town over from mine!\What a coincidence!\I don't know anything about myself.\Am I a kindhearted person? Am I cheerful?\What's my family like?\Do I have friends?\What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself. response:	What kind of person is Marie Nobi?
context: What a coincidence!\I don't know anything about myself.\Am I a kindhearted person? Am I cheerful?\What's my family like?\Do I have friends?\What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi? response:	But that was always a question without an answer.
context: I don't know anything about myself.\Am I a kindhearted person? Am I cheerful?\What's my family like?\Do I have friends?\What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi?\But that was always a question without an answer. response:	- Why don't we go today, then? - Can you go?
context: Am I a kindhearted person? Am I cheerful?\What's my family like?\Do I have friends?\What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi?\But that was always a question without an answer.\- Why don't we go today, then? - Can you go? response:	Sure, I wanted to check out some accessories, anyway.
context: What's my family like?\Do I have friends?\What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi?\But that was always a question without an answer.\- Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway. response:	True, that store has all kinds of stuff.
context: Do I have friends?\What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi?\But that was always a question without an answer.\- Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff. response:	Yeah, their stuff is super cute.
context: What are my favorite things?\Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi?\But that was always a question without an answer.\- Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff.\Yeah, their stuff is super cute. response:	Marie... I don't believe it, you're a...
context: Before I talked to anyone else, I had my hands full talking to myself.\What kind of person is Marie Nobi?\But that was always a question without an answer.\- Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff.\Yeah, their stuff is super cute.\Marie... I don't believe it, you're a... response:	Marie Nobi. Did you pilot a Valvrave?
context: What kind of person is Marie Nobi?\But that was always a question without an answer.\- Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff.\Yeah, their stuff is super cute.\Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave? response:	What? What are you talking about?
context: But that was always a question without an answer.\- Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff.\Yeah, their stuff is super cute.\Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about? response:	This much power, just from adapting the Valvrave tech...
context: - Why don't we go today, then? - Can you go?\Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff.\Yeah, their stuff is super cute.\Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about?\This much power, just from adapting the Valvrave tech... response:	Captain Cain... The Valvraves...
context: Sure, I wanted to check out some accessories, anyway.\True, that store has all kinds of stuff.\Yeah, their stuff is super cute.\Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about?\This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves... response:	Both go way beyond human understanding.
