context: New Year's response:	Another New Year
context: New Year's\Another New Year response:	New Year's food!
context: New Year's\Another New Year\New Year's food! response:	New Year's food!
context: New Year's\Another New Year\New Year's food!\New Year's food! response:	We've got a lot here.
context: New Year's\Another New Year\New Year's food!\New Year's food!\We've got a lot here. response:	Let's see.
context: New Year's\Another New Year\New Year's food!\New Year's food!\We've got a lot here.\Let's see. response:	Everyone put work into their cards.
context: New Year's\Another New Year\New Year's food!\New Year's food!\We've got a lot here.\Let's see.\Everyone put work into their cards. response:	Oh, this one's from the President.
context: New Year's\Another New Year\New Year's food!\New Year's food!\We've got a lot here.\Let's see.\Everyone put work into their cards.\Oh, this one's from the President. response:	Pussy New Year!! Amakusa Shino
context: Another New Year\New Year's food!\New Year's food!\We've got a lot here.\Let's see.\Everyone put work into their cards.\Oh, this one's from the President.\Pussy New Year!! Amakusa Shino response:	Hey, hey. Come on, now.
context: New Year's food!\New Year's food!\We've got a lot here.\Let's see.\Everyone put work into their cards.\Oh, this one's from the President.\Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now. response:	Dum
context: New Year's food!\We've got a lot here.\Let's see.\Everyone put work into their cards.\Oh, this one's from the President.\Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now.\Dum response:	Tweet
context: We've got a lot here.\Let's see.\Everyone put work into their cards.\Oh, this one's from the President.\Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now.\Dum\Tweet response:	Ousai Academy Student Council Rules,
context: Let's see.\Everyone put work into their cards.\Oh, this one's from the President.\Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now.\Dum\Tweet\Ousai Academy Student Council Rules, response:	Dum
context: Everyone put work into their cards.\Oh, this one's from the President.\Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now.\Dum\Tweet\Ousai Academy Student Council Rules,\Dum response:	Cinderella comes running naked at midnight.
context: Oh, this one's from the President.\Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now.\Dum\Tweet\Ousai Academy Student Council Rules,\Dum\Cinderella comes running naked at midnight. response:	What do you even say to that?!
context: Pussy New Year!! Amakusa Shino\Hey, hey. Come on, now.\Dum\Tweet\Ousai Academy Student Council Rules,\Dum\Cinderella comes running naked at midnight.\What do you even say to that?! response:	Do you know what cherry blossoms stand for?
context: Hey, hey. Come on, now.\Dum\Tweet\Ousai Academy Student Council Rules,\Dum\Cinderella comes running naked at midnight.\What do you even say to that?!\Do you know what cherry blossoms stand for? response:	No, I didn't know they stood for something.
context: Dum\Tweet\Ousai Academy Student Council Rules,\Dum\Cinderella comes running naked at midnight.\What do you even say to that?!\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something. response:	Tell her, Shino-chan.
context: Tweet\Ousai Academy Student Council Rules,\Dum\Cinderella comes running naked at midnight.\What do you even say to that?!\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan. response:	Being well-cultured, noble, pure, and innocent.
