context: Wait! Wait for me! response:	Mukaido
context: Wait! Wait for me!\Mukaido response:	Ow!
context: Wait! Wait for me!\Mukaido\Ow! response:	Why didn't you take care of that last night?
context: Wait! Wait for me!\Mukaido\Ow!\Why didn't you take care of that last night? response:	Because...
context: Wait! Wait for me!\Mukaido\Ow!\Why didn't you take care of that last night?\Because... response:	Ow!
context: Wait! Wait for me!\Mukaido\Ow!\Why didn't you take care of that last night?\Because...\Ow! response:	Well, we've never bought or worn swimsuits before.
context: Wait! Wait for me!\Mukaido\Ow!\Why didn't you take care of that last night?\Because...\Ow!\Well, we've never bought or worn swimsuits before. response:	No kidding, it's so annoying.
context: Wait! Wait for me!\Mukaido\Ow!\Why didn't you take care of that last night?\Because...\Ow!\Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying. response:	They don't even have them at Saya Mart.
context: Mukaido\Ow!\Why didn't you take care of that last night?\Because...\Ow!\Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying.\They don't even have them at Saya Mart. response:	I thought I could get one easily by asking Akari.
context: Ow!\Why didn't you take care of that last night?\Because...\Ow!\Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying.\They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari. response:	Well, Saya Mart doesn't have everything.
context: Why didn't you take care of that last night?\Because...\Ow!\Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying.\They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything. response:	What the heck?
context: Because...\Ow!\Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying.\They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything.\What the heck? response:	They have indoor slippers! And shorts!
context: Ow!\Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying.\They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything.\What the heck?\They have indoor slippers! And shorts! response:	Relying on Akari-san again?
context: Well, we've never bought or worn swimsuits before.\No kidding, it's so annoying.\They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything.\What the heck?\They have indoor slippers! And shorts!\Relying on Akari-san again? response:	Why not? She's there anyway.
context: No kidding, it's so annoying.\They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything.\What the heck?\They have indoor slippers! And shorts!\Relying on Akari-san again?\Why not? She's there anyway. response:	Hikari, you really don't change.
context: They don't even have them at Saya Mart.\I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything.\What the heck?\They have indoor slippers! And shorts!\Relying on Akari-san again?\Why not? She's there anyway.\Hikari, you really don't change. response:	What?
context: I thought I could get one easily by asking Akari.\Well, Saya Mart doesn't have everything.\What the heck?\They have indoor slippers! And shorts!\Relying on Akari-san again?\Why not? She's there anyway.\Hikari, you really don't change.\What? response:	Are you saying I haven't progressed?
context: Well, Saya Mart doesn't have everything.\What the heck?\They have indoor slippers! And shorts!\Relying on Akari-san again?\Why not? She's there anyway.\Hikari, you really don't change.\What?\Are you saying I haven't progressed? response:	S-Sorry to keep you waiting!
context: What the heck?\They have indoor slippers! And shorts!\Relying on Akari-san again?\Why not? She's there anyway.\Hikari, you really don't change.\What?\Are you saying I haven't progressed?\S-Sorry to keep you waiting! response:	Let's go!
context: They have indoor slippers! And shorts!\Relying on Akari-san again?\Why not? She's there anyway.\Hikari, you really don't change.\What?\Are you saying I haven't progressed?\S-Sorry to keep you waiting!\Let's go! response:	O-Okay!
context: Relying on Akari-san again?\Why not? She's there anyway.\Hikari, you really don't change.\What?\Are you saying I haven't progressed?\S-Sorry to keep you waiting!\Let's go!\O-Okay! response:	Well, whatever.
context: Why not? She's there anyway.\Hikari, you really don't change.\What?\Are you saying I haven't progressed?\S-Sorry to keep you waiting!\Let's go!\O-Okay!\Well, whatever. response:	That works.
context: Hikari, you really don't change.\What?\Are you saying I haven't progressed?\S-Sorry to keep you waiting!\Let's go!\O-Okay!\Well, whatever.\That works. response:	Episode Six: Beyond Tomoebi
context: What?\Are you saying I haven't progressed?\S-Sorry to keep you waiting!\Let's go!\O-Okay!\Well, whatever.\That works.\Episode Six: Beyond Tomoebi response:	Ew! You pervert! Lech!
context: Are you saying I haven't progressed?\S-Sorry to keep you waiting!\Let's go!\O-Okay!\Well, whatever.\That works.\Episode Six: Beyond Tomoebi\Ew! You pervert! Lech! response:	What the hell, you peeping tom!
context: S-Sorry to keep you waiting!\Let's go!\O-Okay!\Well, whatever.\That works.\Episode Six: Beyond Tomoebi\Ew! You pervert! Lech!\What the hell, you peeping tom! response:	Hurry up and leave.
context: Let's go!\O-Okay!\Well, whatever.\That works.\Episode Six: Beyond Tomoebi\Ew! You pervert! Lech!\What the hell, you peeping tom!\Hurry up and leave. response:	Girls should head to the changing room.
context: O-Okay!\Well, whatever.\That works.\Episode Six: Beyond Tomoebi\Ew! You pervert! Lech!\What the hell, you peeping tom!\Hurry up and leave.\Girls should head to the changing room. response:	Huh?
context: Well, whatever.\That works.\Episode Six: Beyond Tomoebi\Ew! You pervert! Lech!\What the hell, you peeping tom!\Hurry up and leave.\Girls should head to the changing room.\Huh? response:	Did you plan on changing with the guys?
context: That works.\Episode Six: Beyond Tomoebi\Ew! You pervert! Lech!\What the hell, you peeping tom!\Hurry up and leave.\Girls should head to the changing room.\Huh?\Did you plan on changing with the guys? response:	Girls' Changing Room
context: Episode Six: Beyond Tomoebi\Ew! You pervert! Lech!\What the hell, you peeping tom!\Hurry up and leave.\Girls should head to the changing room.\Huh?\Did you plan on changing with the guys?\Girls' Changing Room response:	I totally got fat. I'm sad.
context: Ew! You pervert! Lech!\What the hell, you peeping tom!\Hurry up and leave.\Girls should head to the changing room.\Huh?\Did you plan on changing with the guys?\Girls' Changing Room\I totally got fat. I'm sad. response:	Same here!
context: What the hell, you peeping tom!\Hurry up and leave.\Girls should head to the changing room.\Huh?\Did you plan on changing with the guys?\Girls' Changing Room\I totally got fat. I'm sad.\Same here! response:	Egawa's totally going to call us fat.
context: Hurry up and leave.\Girls should head to the changing room.\Huh?\Did you plan on changing with the guys?\Girls' Changing Room\I totally got fat. I'm sad.\Same here!\Egawa's totally going to call us fat. response:	So that's how they change.
context: Girls should head to the changing room.\Huh?\Did you plan on changing with the guys?\Girls' Changing Room\I totally got fat. I'm sad.\Same here!\Egawa's totally going to call us fat.\So that's how they change. response:	Those towels are really nice.
context: Huh?\Did you plan on changing with the guys?\Girls' Changing Room\I totally got fat. I'm sad.\Same here!\Egawa's totally going to call us fat.\So that's how they change.\Those towels are really nice. response:	You don't have swimming class in the Village of the Sea?
context: Did you plan on changing with the guys?\Girls' Changing Room\I totally got fat. I'm sad.\Same here!\Egawa's totally going to call us fat.\So that's how they change.\Those towels are really nice.\You don't have swimming class in the Village of the Sea? response:	N-No, we don't. This is our first time.
context: Girls' Changing Room\I totally got fat. I'm sad.\Same here!\Egawa's totally going to call us fat.\So that's how they change.\Those towels are really nice.\You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time. response:	How lucky.
context: I totally got fat. I'm sad.\Same here!\Egawa's totally going to call us fat.\So that's how they change.\Those towels are really nice.\You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time.\How lucky. response:	Be careful, Hiradaira-san.
context: Same here!\Egawa's totally going to call us fat.\So that's how they change.\Those towels are really nice.\You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time.\How lucky.\Be careful, Hiradaira-san. response:	Huh?
context: Egawa's totally going to call us fat.\So that's how they change.\Those towels are really nice.\You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time.\How lucky.\Be careful, Hiradaira-san.\Huh? response:	Man, our class sucks.
context: So that's how they change.\Those towels are really nice.\You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time.\How lucky.\Be careful, Hiradaira-san.\Huh?\Man, our class sucks. response:	There's Hiradaira!
context: Those towels are really nice.\You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time.\How lucky.\Be careful, Hiradaira-san.\Huh?\Man, our class sucks.\There's Hiradaira! response:	She's totally stacked!
context: You don't have swimming class in the Village of the Sea?\N-No, we don't. This is our first time.\How lucky.\Be careful, Hiradaira-san.\Huh?\Man, our class sucks.\There's Hiradaira!\She's totally stacked! response:	Wow.
context: N-No, we don't. This is our first time.\How lucky.\Be careful, Hiradaira-san.\Huh?\Man, our class sucks.\There's Hiradaira!\She's totally stacked!\Wow. response:	Hey!
context: How lucky.\Be careful, Hiradaira-san.\Huh?\Man, our class sucks.\There's Hiradaira!\She's totally stacked!\Wow.\Hey! response:	Hikari, st
context: Be careful, Hiradaira-san.\Huh?\Man, our class sucks.\There's Hiradaira!\She's totally stacked!\Wow.\Hey!\Hikari, st response:	Hiradaira-san really is big.
context: Huh?\Man, our class sucks.\There's Hiradaira!\She's totally stacked!\Wow.\Hey!\Hikari, st\Hiradaira-san really is big. response:	Let me touch them.
context: Man, our class sucks.\There's Hiradaira!\She's totally stacked!\Wow.\Hey!\Hikari, st\Hiradaira-san really is big.\Let me touch them. response:	Huh?!
context: There's Hiradaira!\She's totally stacked!\Wow.\Hey!\Hikari, st\Hiradaira-san really is big.\Let me touch them.\Huh?! response:	Aw, no fair!
context: She's totally stacked!\Wow.\Hey!\Hikari, st\Hiradaira-san really is big.\Let me touch them.\Huh?!\Aw, no fair! response:	Is that how girls become friends?
context: Wow.\Hey!\Hikari, st\Hiradaira-san really is big.\Let me touch them.\Huh?!\Aw, no fair!\Is that how girls become friends? response:	Girls are amazing.
context: Hey!\Hikari, st\Hiradaira-san really is big.\Let me touch them.\Huh?!\Aw, no fair!\Is that how girls become friends?\Girls are amazing. response:	We'll be timing you guys today!
context: Hikari, st\Hiradaira-san really is big.\Let me touch them.\Huh?!\Aw, no fair!\Is that how girls become friends?\Girls are amazing.\We'll be timing you guys today! response:	What are you whining about?
context: Hiradaira-san really is big.\Let me touch them.\Huh?!\Aw, no fair!\Is that how girls become friends?\Girls are amazing.\We'll be timing you guys today!\What are you whining about? response:	You did it last year too.
context: Let me touch them.\Huh?!\Aw, no fair!\Is that how girls become friends?\Girls are amazing.\We'll be timing you guys today!\What are you whining about?\You did it last year too. response:	All right, let's warm up!
