context: Minako's boyfriend is a handsome boy who was born in London! response:	But what do you know?!
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?! response:	A pretty older lady named Katarina showed up.
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?!\A pretty older lady named Katarina showed up. response:	What to do? What to do with this love triangle?
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?!\A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle? response:	Anyhow, anybody who makes a girl in love cry,
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?!\A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry, response:	in the name of the moon, Sailor Moon will punish you!
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?!\A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?!\A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Minako's boyfriend is a handsome boy who was born in London!\But what do you know?!\A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: But what do you know?!\A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: A pretty older lady named Katarina showed up.\What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: What to do? What to do with this love triangle?\Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Anyhow, anybody who makes a girl in love cry,\in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: in the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	Sailor Venus's Past, Minako's Tragic Love
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love response:	Let's see.
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love\Let's see. response:	Not here...
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love\Let's see.\Not here... response:	Not here, either.
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love\Let's see.\Not here...\Not here, either. response:	That leaves...
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love\Let's see.\Not here...\Not here, either.\That leaves... response:	Sorry for being late.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love\Let's see.\Not here...\Not here, either.\That leaves...\Sorry for being late. response:	Oh, I am dead tired.
context: Shinjite iru no miracle romance\Sailor Venus's Past, Minako's Tragic Love\Let's see.\Not here...\Not here, either.\That leaves...\Sorry for being late.\Oh, I am dead tired. response:	How was it?
context: Sailor Venus's Past, Minako's Tragic Love\Let's see.\Not here...\Not here, either.\That leaves...\Sorry for being late.\Oh, I am dead tired.\How was it? response:	The Japanese confectionery store we checked
context: Let's see.\Not here...\Not here, either.\That leaves...\Sorry for being late.\Oh, I am dead tired.\How was it?\The Japanese confectionery store we checked response:	wasn't the doorway to the Dark Kingdom's hideout.
context: Not here...\Not here, either.\That leaves...\Sorry for being late.\Oh, I am dead tired.\How was it?\The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout. response:	I see. So these aren't the places either.
