context: I can see it. The reconstruction of this world is already underway. response:	Wha?
context: I can see it. The reconstruction of this world is already underway.\Wha? response:	A dark being utilized the opportunity to infiltrate...
context: I can see it. The reconstruction of this world is already underway.\Wha?\A dark being utilized the opportunity to infiltrate... response:	This place is an utterly different world!
context: I can see it. The reconstruction of this world is already underway.\Wha?\A dark being utilized the opportunity to infiltrate...\This place is an utterly different world! response:	Either way, it's the same.
context: I can see it. The reconstruction of this world is already underway.\Wha?\A dark being utilized the opportunity to infiltrate...\This place is an utterly different world!\Either way, it's the same. response:	No. It feels alien.
context: I can see it. The reconstruction of this world is already underway.\Wha?\A dark being utilized the opportunity to infiltrate...\This place is an utterly different world!\Either way, it's the same.\No. It feels alien. response:	Has the dark world already eroded so far into this world?
context: I can see it. The reconstruction of this world is already underway.\Wha?\A dark being utilized the opportunity to infiltrate...\This place is an utterly different world!\Either way, it's the same.\No. It feels alien.\Has the dark world already eroded so far into this world? response:	I know what I must do.
context: I can see it. The reconstruction of this world is already underway.\Wha?\A dark being utilized the opportunity to infiltrate...\This place is an utterly different world!\Either way, it's the same.\No. It feels alien.\Has the dark world already eroded so far into this world?\I know what I must do. response:	Schwartz Shield!
context: Wha?\A dark being utilized the opportunity to infiltrate...\This place is an utterly different world!\Either way, it's the same.\No. It feels alien.\Has the dark world already eroded so far into this world?\I know what I must do.\Schwartz Shield! response:	How was your field trip?
context: A dark being utilized the opportunity to infiltrate...\This place is an utterly different world!\Either way, it's the same.\No. It feels alien.\Has the dark world already eroded so far into this world?\I know what I must do.\Schwartz Shield!\How was your field trip? response:	It had its ups and downs.
context: This place is an utterly different world!\Either way, it's the same.\No. It feels alien.\Has the dark world already eroded so far into this world?\I know what I must do.\Schwartz Shield!\How was your field trip?\It had its ups and downs. response:	Wasn't it fun?
context: Either way, it's the same.\No. It feels alien.\Has the dark world already eroded so far into this world?\I know what I must do.\Schwartz Shield!\How was your field trip?\It had its ups and downs.\Wasn't it fun? response:	You two wandered around the city together, right?
