context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul... response:	With the threat of the Demon Blade turning into a Kishin,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\With the threat of the Demon Blade turning into a Kishin, response:	Black Star and Tsubaki-chan went to the Shin village.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village. response:	The Demon Blade possesses its owners, even controlling their shadows.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows. response:	And, in the end, it eats their souls.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls. response:	For the two who had obtained a total of zero souls,
context: Late Night Show\Bones 10th anniversary project\A healthy soul...\With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls.\For the two who had obtained a total of zero souls, response:	Tsubaki.
context: Bones 10th anniversary project\A healthy soul...\With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls.\For the two who had obtained a total of zero souls,\Tsubaki. response:	Big brother.
context: A healthy soul...\With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls.\For the two who had obtained a total of zero souls,\Tsubaki.\Big brother. response:	Only she can stop the Demon Blade.
context: With the threat of the Demon Blade turning into a Kishin,\Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls.\For the two who had obtained a total of zero souls,\Tsubaki.\Big brother.\Only she can stop the Demon Blade. response:	This is a free fansub. Not for sale or rent.
context: Black Star and Tsubaki-chan went to the Shin village.\The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls.\For the two who had obtained a total of zero souls,\Tsubaki.\Big brother.\Only she can stop the Demon Blade.\This is a free fansub. Not for sale or rent. response:	Last week's Late Show had omitted something, hadn't it?
context: The Demon Blade possesses its owners, even controlling their shadows.\And, in the end, it eats their souls.\For the two who had obtained a total of zero souls,\Tsubaki.\Big brother.\Only she can stop the Demon Blade.\This is a free fansub. Not for sale or rent.\Last week's Late Show had omitted something, hadn't it? response:	We've received this postcard rebuking us for this.
context: And, in the end, it eats their souls.\For the two who had obtained a total of zero souls,\Tsubaki.\Big brother.\Only she can stop the Demon Blade.\This is a free fansub. Not for sale or rent.\Last week's Late Show had omitted something, hadn't it?\We've received this postcard rebuking us for this. response:	And so, this week, a Special Drama...
context: For the two who had obtained a total of zero souls,\Tsubaki.\Big brother.\Only she can stop the Demon Blade.\This is a free fansub. Not for sale or rent.\Last week's Late Show had omitted something, hadn't it?\We've received this postcard rebuking us for this.\And so, this week, a Special Drama... response:	It's my new production!!
context: Tsubaki.\Big brother.\Only she can stop the Demon Blade.\This is a free fansub. Not for sale or rent.\Last week's Late Show had omitted something, hadn't it?\We've received this postcard rebuking us for this.\And so, this week, a Special Drama...\It's my new production!! response:	Its title is... that fun will be in the end.
context: Big brother.\Only she can stop the Demon Blade.\This is a free fansub. Not for sale or rent.\Last week's Late Show had omitted something, hadn't it?\We've received this postcard rebuking us for this.\And so, this week, a Special Drama...\It's my new production!!\Its title is... that fun will be in the end. response:	You went inside the Demon Blade, Tsubaki?
