context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, the happiness they sang about
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	It sounds like something that might wake the dead.
context: Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead. response:	A Day in the Life - Rio Runs
context: Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead.\A Day in the Life - Rio Runs response:	Let's eat.
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead.\A Day in the Life - Rio Runs\Let's eat. response:	How is it?
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead.\A Day in the Life - Rio Runs\Let's eat.\How is it? response:	It tastes great.
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead.\A Day in the Life - Rio Runs\Let's eat.\How is it?\It tastes great. response:	Yes. It's delicious.
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead.\A Day in the Life - Rio Runs\Let's eat.\How is it?\It tastes great.\Yes. It's delicious. response:	At least it's edible.
context: In this light pouring down onto you, play tomorrow's song\It sounds like something that might wake the dead.\A Day in the Life - Rio Runs\Let's eat.\How is it?\It tastes great.\Yes. It's delicious.\At least it's edible. response:	That's good.
context: It sounds like something that might wake the dead.\A Day in the Life - Rio Runs\Let's eat.\How is it?\It tastes great.\Yes. It's delicious.\At least it's edible.\That's good. response:	This is a traditional food in my village.
context: A Day in the Life - Rio Runs\Let's eat.\How is it?\It tastes great.\Yes. It's delicious.\At least it's edible.\That's good.\This is a traditional food in my village. response:	So this is that miso thing? And it's made the same way as soy?
context: Let's eat.\How is it?\It tastes great.\Yes. It's delicious.\At least it's edible.\That's good.\This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy? response:	Yes.
context: How is it?\It tastes great.\Yes. It's delicious.\At least it's edible.\That's good.\This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy?\Yes. response:	I brought some miso that my mother made.
context: It tastes great.\Yes. It's delicious.\At least it's edible.\That's good.\This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy?\Yes.\I brought some miso that my mother made. response:	There's still a lot more, so eat as much as you want!
context: Yes. It's delicious.\At least it's edible.\That's good.\This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy?\Yes.\I brought some miso that my mother made.\There's still a lot more, so eat as much as you want! response:	To Treize?
context: At least it's edible.\That's good.\This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy?\Yes.\I brought some miso that my mother made.\There's still a lot more, so eat as much as you want!\To Treize? response:	Yes.
context: That's good.\This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy?\Yes.\I brought some miso that my mother made.\There's still a lot more, so eat as much as you want!\To Treize?\Yes. response:	We finally received word from the Supply Corps.
context: This is a traditional food in my village.\So this is that miso thing? And it's made the same way as soy?\Yes.\I brought some miso that my mother made.\There's still a lot more, so eat as much as you want!\To Treize?\Yes.\We finally received word from the Supply Corps. response:	Kureha and I will go to pick them up.
context: So this is that miso thing? And it's made the same way as soy?\Yes.\I brought some miso that my mother made.\There's still a lot more, so eat as much as you want!\To Treize?\Yes.\We finally received word from the Supply Corps.\Kureha and I will go to pick them up. response:	We were just about to run out of ammunition, medical supplies, and daily necessities.
context: Yes.\I brought some miso that my mother made.\There's still a lot more, so eat as much as you want!\To Treize?\Yes.\We finally received word from the Supply Corps.\Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities. response:	Now we can rest easy.
context: I brought some miso that my mother made.\There's still a lot more, so eat as much as you want!\To Treize?\Yes.\We finally received word from the Supply Corps.\Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy. response:	What about you, Noel?
context: There's still a lot more, so eat as much as you want!\To Treize?\Yes.\We finally received word from the Supply Corps.\Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy.\What about you, Noel? response:	Carl's workshop, right?
context: To Treize?\Yes.\We finally received word from the Supply Corps.\Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy.\What about you, Noel?\Carl's workshop, right? response:	Got you.
context: Yes.\We finally received word from the Supply Corps.\Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy.\What about you, Noel?\Carl's workshop, right?\Got you. response:	Kanata.
context: We finally received word from the Supply Corps.\Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy.\What about you, Noel?\Carl's workshop, right?\Got you.\Kanata. response:	You're getting a full workout on that bugle this afternoon.
context: Kureha and I will go to pick them up.\We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy.\What about you, Noel?\Carl's workshop, right?\Got you.\Kanata.\You're getting a full workout on that bugle this afternoon. response:	Eh? Really?
context: We were just about to run out of ammunition, medical supplies, and daily necessities.\Now we can rest easy.\What about you, Noel?\Carl's workshop, right?\Got you.\Kanata.\You're getting a full workout on that bugle this afternoon.\Eh? Really? response:	Heref youf hoof.
context: Now we can rest easy.\What about you, Noel?\Carl's workshop, right?\Got you.\Kanata.\You're getting a full workout on that bugle this afternoon.\Eh? Really?\Heref youf hoof. response:	Gosh...
context: What about you, Noel?\Carl's workshop, right?\Got you.\Kanata.\You're getting a full workout on that bugle this afternoon.\Eh? Really?\Heref youf hoof.\Gosh... response:	Where are your manners? Wouldn't your dad cry if he saw you?
context: Carl's workshop, right?\Got you.\Kanata.\You're getting a full workout on that bugle this afternoon.\Eh? Really?\Heref youf hoof.\Gosh...\Where are your manners? Wouldn't your dad cry if he saw you? response:	Heh... Wike a' cabe
context: Got you.\Kanata.\You're getting a full workout on that bugle this afternoon.\Eh? Really?\Heref youf hoof.\Gosh...\Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe response:	Here, for your tea.
