context: OP response:	Episode 10
context: OP\Episode 10 response:	ED
context: OP\Episode 10\ED response:	Log on to www.ruri-subs.com or visit us at
context: OP\Episode 10\ED\Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: OP\Episode 10\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.
context: OP\Episode 10\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone. response:	Princess Millhiore, who trusts Princess Leo, has come forward.
context: OP\Episode 10\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward. response:	Will the fate unveiled by the stars remain unchanged?
context: OP\Episode 10\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged? response:	If this goes on, Princess Leo and Princess Millhi will...
context: Episode 10\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will... response:	Oh, please! Someone save them!
context: ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will...\Oh, please! Someone save them! response:	Could that be... the land god who lives around here?
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will...\Oh, please! Someone save them!\Could that be... the land god who lives around here? response:	No, it isn't.
context: Fansubbed by Ruri Subs\Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will...\Oh, please! Someone save them!\Could that be... the land god who lives around here?\No, it isn't. response:	I'm sure you've heard this from d'Arquien before.
context: Princess Leo continues to fight, risking her life despite the misery and pain she holds alone.\Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will...\Oh, please! Someone save them!\Could that be... the land god who lives around here?\No, it isn't.\I'm sure you've heard this from d'Arquien before. response:	That is probably what had been sealed underground a long time ago,
context: Princess Millhiore, who trusts Princess Leo, has come forward.\Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will...\Oh, please! Someone save them!\Could that be... the land god who lives around here?\No, it isn't.\I'm sure you've heard this from d'Arquien before.\That is probably what had been sealed underground a long time ago, response:	the ominous demon.
context: Will the fate unveiled by the stars remain unchanged?\If this goes on, Princess Leo and Princess Millhi will...\Oh, please! Someone save them!\Could that be... the land god who lives around here?\No, it isn't.\I'm sure you've heard this from d'Arquien before.\That is probably what had been sealed underground a long time ago,\the ominous demon. response:	Princess Leo! Princess Millhi!
