context: Huh? response:	Mizusawa High School Athletic Festival
context: Huh?\Mizusawa High School Athletic Festival response:	It's time for the main event in the
context: Huh?\Mizusawa High School Athletic Festival\It's time for the main event in the response:	second half of the Mizusawa High School Athletic Festival!
context: Huh?\Mizusawa High School Athletic Festival\It's time for the main event in the\second half of the Mizusawa High School Athletic Festival! response:	The finals for the club relay!
context: Huh?\Mizusawa High School Athletic Festival\It's time for the main event in the\second half of the Mizusawa High School Athletic Festival!\The finals for the club relay! response:	We have six teams who won their way through the prelims,
context: Huh?\Mizusawa High School Athletic Festival\It's time for the main event in the\second half of the Mizusawa High School Athletic Festival!\The finals for the club relay!\We have six teams who won their way through the prelims, response:	including the favorite, the track team,
context: Huh?\Mizusawa High School Athletic Festival\It's time for the main event in the\second half of the Mizusawa High School Athletic Festival!\The finals for the club relay!\We have six teams who won their way through the prelims,\including the favorite, the track team, response:	as well as the speedy baseball and soccer teams!
context: Huh?\Mizusawa High School Athletic Festival\It's time for the main event in the\second half of the Mizusawa High School Athletic Festival!\The finals for the club relay!\We have six teams who won their way through the prelims,\including the favorite, the track team,\as well as the speedy baseball and soccer teams! response:	Our Nationals-bound tennis team
context: Mizusawa High School Athletic Festival\It's time for the main event in the\second half of the Mizusawa High School Athletic Festival!\The finals for the club relay!\We have six teams who won their way through the prelims,\including the favorite, the track team,\as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team response:	has also shown their ability to run!
context: It's time for the main event in the\second half of the Mizusawa High School Athletic Festival!\The finals for the club relay!\We have six teams who won their way through the prelims,\including the favorite, the track team,\as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team\has also shown their ability to run! response:	You'll want to watch the basketball team
context: second half of the Mizusawa High School Athletic Festival!\The finals for the club relay!\We have six teams who won their way through the prelims,\including the favorite, the track team,\as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team\has also shown their ability to run!\You'll want to watch the basketball team response:	as they use a ball for their baton!
context: The finals for the club relay!\We have six teams who won their way through the prelims,\including the favorite, the track team,\as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team\has also shown their ability to run!\You'll want to watch the basketball team\as they use a ball for their baton! response:	However, all eyes will be on the
context: We have six teams who won their way through the prelims,\including the favorite, the track team,\as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team\has also shown their ability to run!\You'll want to watch the basketball team\as they use a ball for their baton!\However, all eyes will be on the response:	Karuta Club
context: including the favorite, the track team,\as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team\has also shown their ability to run!\You'll want to watch the basketball team\as they use a ball for their baton!\However, all eyes will be on the\Karuta Club response:	non-athletic Karuta club,
context: as well as the speedy baseball and soccer teams!\Our Nationals-bound tennis team\has also shown their ability to run!\You'll want to watch the basketball team\as they use a ball for their baton!\However, all eyes will be on the\Karuta Club\non-athletic Karuta club, response:	which has managed to sneak in to sixth!
context: Our Nationals-bound tennis team\has also shown their ability to run!\You'll want to watch the basketball team\as they use a ball for their baton!\However, all eyes will be on the\Karuta Club\non-athletic Karuta club,\which has managed to sneak in to sixth! response:	the red that is the Tatsuta River
context: has also shown their ability to run!\You'll want to watch the basketball team\as they use a ball for their baton!\However, all eyes will be on the\Karuta Club\non-athletic Karuta club,\which has managed to sneak in to sixth!\the red that is the Tatsuta River response:	On your marks.
context: You'll want to watch the basketball team\as they use a ball for their baton!\However, all eyes will be on the\Karuta Club\non-athletic Karuta club,\which has managed to sneak in to sixth!\the red that is the Tatsuta River\On your marks. response:	Set.
context: as they use a ball for their baton!\However, all eyes will be on the\Karuta Club\non-athletic Karuta club,\which has managed to sneak in to sixth!\the red that is the Tatsuta River\On your marks.\Set. response:	How can this be?!
context: However, all eyes will be on the\Karuta Club\non-athletic Karuta club,\which has managed to sneak in to sixth!\the red that is the Tatsuta River\On your marks.\Set.\How can this be?! response:	The Karuta club had the best start!
context: Karuta Club\non-athletic Karuta club,\which has managed to sneak in to sixth!\the red that is the Tatsuta River\On your marks.\Set.\How can this be?!\The Karuta club had the best start! response:	They already have a considerable lead!
context: non-athletic Karuta club,\which has managed to sneak in to sixth!\the red that is the Tatsuta River\On your marks.\Set.\How can this be?!\The Karuta club had the best start!\They already have a considerable lead! response:	But the track team is also fast!
context: which has managed to sneak in to sixth!\the red that is the Tatsuta River\On your marks.\Set.\How can this be?!\The Karuta club had the best start!\They already have a considerable lead!\But the track team is also fast! response:	Taichi!
context: the red that is the Tatsuta River\On your marks.\Set.\How can this be?!\The Karuta club had the best start!\They already have a considerable lead!\But the track team is also fast!\Taichi! response:	Their second runners take over at almost the exact same time!
context: On your marks.\Set.\How can this be?!\The Karuta club had the best start!\They already have a considerable lead!\But the track team is also fast!\Taichi!\Their second runners take over at almost the exact same time! response:	Mashima-kun!
context: Set.\How can this be?!\The Karuta club had the best start!\They already have a considerable lead!\But the track team is also fast!\Taichi!\Their second runners take over at almost the exact same time!\Mashima-kun! response:	The second runner for the Karuta club is just as fast!
